open_time,open,high,low,close,volume,taker_buy,delta
1675684800000,3.575000,3.622000,3.556000,3.603000,799231.20000000,379484.10000000,-40263.00000000
1675688400000,3.602000,3.627000,3.550000,3.555000,826709.10000000,404909.50000000,-16890.10000000
1675692000000,3.555000,3.687000,3.523000,3.623000,2322389.50000000,1147126.90000000,-28135.70000000
1675695600000,3.624000,3.660000,3.562000,3.656000,1219075.10000000,604669.80000000,-9735.50000000
1675699200000,3.655000,3.690000,3.605000,3.633000,1359629.60000000,675442.10000000,-8745.40000000
1675702800000,3.633000,3.636000,3.574000,3.577000,662242.80000000,277574.50000000,-107093.80000000
1675706400000,3.578000,3.582000,3.522000,3.538000,722990.60000000,387837.00000000,52683.40000000
1675710000000,3.538000,3.572000,3.525000,3.554000,603764.30000000,326739.70000000,49715.10000000
1675713600000,3.553000,3.568000,3.534000,3.548000,302454.90000000,146649.70000000,-9155.50000000
1675717200000,3.548000,3.559000,3.453000,3.483000,1075345.00000000,419200.00000000,-236945.00000000
1675720800000,3.484000,3.507000,3.481000,3.482000,402114.30000000,199455.50000000,-3203.30000000
1675724400000,3.482000,3.538000,3.425000,3.478000,1310747.30000000,623028.50000000,-64690.30000000
1675728000000,3.478000,3.527000,3.467000,3.469000,631707.90000000,330853.60000000,29999.30000000
1675731600000,3.469000,3.482000,3.423000,3.446000,517112.20000000,238358.30000000,-40395.60000000
1675735200000,3.447000,3.534000,3.424000,3.518000,576306.60000000,334870.10000000,93433.60000000
1675738800000,3.518000,3.553000,3.502000,3.547000,488706.20000000,245988.60000000,3271.00000000
1675742400000,3.548000,3.586000,3.540000,3.564000,474998.30000000,241917.50000000,8836.70000000
1675746000000,3.564000,3.820000,3.564000,3.804000,1745013.70000000,1027946.90000000,310880.10000000
1675749600000,3.804000,4.090000,3.760000,4.033000,5975136.20000000,3157653.10000000,340170.00000000
1675753200000,4.033000,4.133000,3.831000,3.855000,4445131.60000000,2054585.80000000,-335960.00000000
1675756800000,3.855000,3.916000,3.781000,3.913000,2257360.00000000,1094955.80000000,-67448.40000000
1675760400000,3.913000,4.079000,3.892000,3.938000,2903154.40000000,1334928.90000000,-233296.60000000
1675764000000,3.937000,4.095000,3.905000,4.020000,2361514.20000000,1183800.20000000,6086.20000000
1675767600000,4.021000,4.054000,3.944000,3.952000,1514100.20000000,655804.50000000,-202491.20000000
1675771200000,3.951000,4.028000,3.946000,4.016000,1165476.70000000,628391.60000000,91306.50000000
1675774800000,4.016000,4.144000,3.986000,4.030000,2978473.60000000,1410667.00000000,-157139.60000000
1675778400000,4.029000,4.049000,3.956000,3.957000,1449019.20000000,688299.70000000,-72419.80000000
1675782000000,3.958000,3.975000,3.913000,3.917000,1133240.60000000,483399.60000000,-166441.40000000
1675785600000,3.918000,3.950000,3.872000,3.918000,1002781.20000000,461533.80000000,-79713.60000000
1675789200000,3.919000,4.120000,3.868000,4.090000,2543861.70000000,1315439.30000000,87016.90000000
1675792800000,4.091000,4.388000,4.010000,4.145000,8690117.10000000,4321315.60000000,-47485.90000000
1675796400000,4.145000,4.246000,4.116000,4.213000,2001678.80000000,1035159.10000000,68639.40000000
1675800000000,4.213000,4.218000,4.150000,4.181000,885356.90000000,404002.30000000,-77352.30000000
1675803600000,4.180000,4.187000,4.063000,4.076000,972356.30000000,407432.80000000,-157490.70000000
1675807200000,4.077000,4.166000,4.071000,4.148000,740689.00000000,429178.70000000,117668.40000000
1675810800000,4.147000,4.186000,4.138000,4.144000,596191.00000000,278275.10000000,-39640.80000000
1675814400000,4.144000,4.230000,4.133000,4.163000,1691389.10000000,888398.40000000,85407.70000000
1675818000000,4.162000,4.252000,4.158000,4.186000,1200337.50000000,570590.00000000,-59157.50000000
1675821600000,4.185000,4.208000,4.119000,4.122000,606455.30000000,228914.20000000,-148626.90000000
1675825200000,4.121000,4.149000,4.112000,4.146000,335289.30000000,173457.70000000,11626.10000000
1675828800000,4.147000,4.207000,4.134000,4.171000,899042.10000000,463686.30000000,28330.50000000
1675832400000,4.172000,4.272000,4.172000,4.238000,1288881.10000000,667517.90000000,46154.70000000
1675836000000,4.239000,4.270000,4.155000,4.171000,950854.00000000,431714.10000000,-87425.80000000
1675839600000,4.170000,4.214000,4.143000,4.160000,733233.20000000,351039.20000000,-31154.80000000
1675843200000,4.159000,4.163000,4.036000,4.067000,992579.70000000,395200.00000000,-202179.70000000
1675846800000,4.068000,4.086000,4.042000,4.053000,559843.00000000,294571.90000000,29300.80000000
1675850400000,4.053000,4.067000,4.011000,4.019000,676382.70000000,317265.00000000,-41852.70000000
1675854000000,4.019000,4.075000,4.019000,4.048000,433888.80000000,242084.40000000,50280.00000000
1675857600000,4.048000,4.061000,3.960000,3.967000,864679.60000000,338527.40000000,-187624.80000000
1675861200000,3.968000,3.994000,3.928000,3.953000,731185.80000000,370164.60000000,9143.40000000
1675864800000,3.953000,3.965000,3.893000,3.912000,1108856.00000000,555105.30000000,1354.60000000
1675868400000,3.912000,3.912000,3.832000,3.842000,1436857.00000000,644408.40000000,-148040.20000000
1675872000000,3.842000,3.850000,3.672000,3.758000,2362781.90000000,1124988.20000000,-112805.50000000
1675875600000,3.758000,3.826000,3.744000,3.763000,1444350.00000000,717170.90000000,-10008.20000000
1675879200000,3.763000,3.771000,3.672000,3.701000,1089033.50000000,568698.40000000,48363.30000000
1675882800000,3.701000,3.726000,3.684000,3.705000,491612.70000000,266446.80000000,41280.90000000
1675886400000,3.705000,3.720000,3.652000,3.685000,760018.70000000,354144.20000000,-51730.30000000
1675890000000,3.684000,3.746000,3.679000,3.746000,573113.20000000,322073.20000000,71033.20000000
1675893600000,3.745000,3.746000,3.707000,3.707000,416677.40000000,191424.00000000,-33829.40000000
1675897200000,3.707000,3.760000,3.698000,3.740000,511013.50000000,263424.50000000,15835.50000000
1675900800000,3.740000,3.768000,3.694000,3.765000,774997.20000000,411747.40000000,48497.60000000
1675904400000,3.765000,3.801000,3.730000,3.761000,644560.70000000,342569.90000000,40579.10000000
1675908000000,3.761000,3.772000,3.600000,3.603000,1024984.50000000,363631.60000000,-297721.30000000
1675911600000,3.604000,3.620000,3.410000,3.506000,2453376.30000000,1047955.80000000,-357464.70000000
1675915200000,3.506000,3.567000,3.464000,3.559000,1009327.10000000,558922.80000000,108518.50000000
1675918800000,3.558000,3.614000,3.548000,3.608000,588724.10000000,340169.30000000,91614.50000000
1675922400000,3.607000,3.640000,3.597000,3.627000,714519.20000000,343518.70000000,-27481.80000000
1675926000000,3.627000,3.634000,3.583000,3.598000,739426.30000000,357889.50000000,-23647.30000000
1675929600000,3.597000,3.642000,3.587000,3.615000,637379.00000000,304064.80000000,-29249.40000000
1675933200000,3.614000,3.616000,3.556000,3.582000,606660.10000000,275631.40000000,-55397.30000000
1675936800000,3.582000,3.584000,3.532000,3.551000,460643.90000000,236677.40000000,12710.90000000
1675940400000,3.550000,3.581000,3.511000,3.555000,677990.00000000,345921.70000000,13853.40000000
1675944000000,3.554000,3.598000,3.500000,3.578000,974379.60000000,515192.80000000,56006.00000000
1675947600000,3.577000,3.705000,3.566000,3.696000,1310464.30000000,738120.40000000,165776.50000000
1675951200000,3.696000,3.736000,3.664000,3.700000,1096353.80000000,518599.60000000,-59154.60000000
1675954800000,3.701000,3.726000,3.579000,3.592000,1127816.30000000,430944.10000000,-265928.10000000
1675958400000,3.592000,3.609000,3.360000,3.400000,1801031.10000000,753552.60000000,-293925.90000000
1675962000000,3.399000,3.452000,3.357000,3.426000,1309344.90000000,684815.20000000,60285.50000000
1675965600000,3.426000,3.507000,3.408000,3.423000,1461585.30000000,717327.40000000,-26930.50000000
1675969200000,3.422000,3.430000,3.174000,3.317000,2765061.00000000,1306437.60000000,-152185.80000000
1675972800000,3.317000,3.407000,3.270000,3.365000,1415879.80000000,759276.20000000,102672.60000000
1675976400000,3.366000,3.381000,3.273000,3.335000,1302837.40000000,624927.30000000,-52982.80000000
1675980000000,3.335000,3.369000,3.182000,3.207000,1132805.80000000,546181.10000000,-40443.60000000
1675983600000,3.207000,3.315000,3.202000,3.287000,1098315.40000000,558416.60000000,18517.80000000
1675987200000,3.288000,3.419000,3.288000,3.360000,1163701.90000000,602582.30000000,41462.70000000
1675990800000,3.358000,3.393000,3.314000,3.335000,841731.70000000,447023.40000000,52315.10000000
1675994400000,3.334000,3.395000,3.330000,3.369000,383715.20000000,211414.90000000,39114.60000000
1675998000000,3.369000,3.375000,3.251000,3.263000,479297.90000000,192706.80000000,-93884.30000000
1676001600000,3.263000,3.321000,3.232000,3.290000,491808.80000000,249798.20000000,7787.60000000
1676005200000,3.290000,3.310000,3.150000,3.158000,1044346.50000000,446981.10000000,-150384.30000000
1676008800000,3.159000,3.227000,3.158000,3.205000,699168.80000000,370952.90000000,42737.00000000
1676012400000,3.205000,3.257000,3.195000,3.255000,597935.40000000,352433.40000000,106931.40000000
1676016000000,3.255000,3.290000,3.251000,3.269000,620101.40000000,306142.60000000,-7816.20000000
1676019600000,3.269000,3.289000,3.170000,3.178000,927719.20000000,365201.10000000,-197317.00000000
1676023200000,3.178000,3.189000,3.085000,3.106000,1667002.40000000,781194.80000000,-104612.80000000
1676026800000,3.106000,3.117000,3.005000,3.014000,1368381.20000000,571644.60000000,-225092.00000000
1676030400000,3.015000,3.078000,3.005000,3.017000,898591.00000000,451946.60000000,5302.20000000
1676034000000,3.017000,3.141000,3.012000,3.136000,1222584.00000000,706933.00000000,191282.00000000
1676037600000,3.136000,3.150000,3.093000,3.113000,768987.70000000,361600.00000000,-45787.70000000
1676041200000,3.114000,3.150000,3.051000,3.096000,1129748.00000000,555126.70000000,-19494.60000000
1676044800000,3.097000,3.173000,3.078000,3.085000,1336526.20000000,688680.00000000,40833.80000000
1676048400000,3.084000,3.113000,3.041000,3.111000,699520.00000000,344875.40000000,-9769.20000000
1676052000000,3.112000,3.154000,3.090000,3.136000,541625.90000000,283663.30000000,25700.70000000
1676055600000,3.136000,3.189000,3.131000,3.169000,518335.00000000,248092.30000000,-22150.40000000
1676059200000,3.170000,3.188000,3.131000,3.140000,472373.60000000,192767.10000000,-86839.40000000
1676062800000,3.141000,3.162000,3.078000,3.112000,862690.60000000,413768.30000000,-35154.00000000
1676066400000,3.113000,3.155000,3.111000,3.115000,340401.80000000,154236.30000000,-31929.20000000
1676070000000,3.116000,3.170000,3.115000,3.129000,470920.70000000,230757.40000000,-9405.90000000
1676073600000,3.129000,3.170000,3.122000,3.153000,442321.50000000,228999.30000000,15677.10000000
1676077200000,3.154000,3.215000,3.143000,3.175000,453045.60000000,219798.70000000,-13448.20000000
1676080800000,3.176000,3.212000,3.140000,3.165000,464313.30000000,235708.30000000,7103.30000000
1676084400000,3.165000,3.209000,3.164000,3.185000,225890.50000000,112249.40000000,-1391.70000000
1676088000000,3.185000,3.185000,3.110000,3.112000,398671.10000000,184127.80000000,-30415.50000000
1676091600000,3.113000,3.158000,3.113000,3.127000,255516.00000000,142780.80000000,30045.60000000
1676095200000,3.128000,3.141000,3.105000,3.115000,190385.40000000,97627.90000000,4870.40000000
1676098800000,3.115000,3.143000,3.076000,3.129000,505455.20000000,250323.50000000,-4808.20000000
1676102400000,3.130000,3.183000,3.115000,3.168000,407898.00000000,208552.70000000,9207.40000000
1676106000000,3.168000,3.174000,3.130000,3.154000,336446.00000000,154354.00000000,-27738.00000000
1676109600000,3.154000,3.154000,3.106000,3.124000,298376.10000000,153979.80000000,9583.50000000
1676113200000,3.125000,3.147000,3.111000,3.141000,233139.90000000,131014.90000000,28889.90000000
1676116800000,3.142000,3.309000,3.135000,3.182000,1933407.70000000,966989.60000000,571.50000000
1676120400000,3.181000,3.240000,3.163000,3.237000,681033.30000000,358775.30000000,36517.30000000
1676124000000,3.238000,3.261000,3.199000,3.257000,717729.20000000,368855.70000000,19982.20000000
1676127600000,3.255000,3.306000,3.197000,3.235000,2238952.10000000,1067183.90000000,-104584.30000000
1676131200000,3.235000,3.237000,3.145000,3.180000,1535537.90000000,769572.70000000,3607.50000000
1676134800000,3.181000,3.247000,3.180000,3.210000,542796.60000000,268343.20000000,-6110.20000000
1676138400000,3.211000,3.255000,3.193000,3.236000,711217.10000000,365429.30000000,19641.50000000
1676142000000,3.237000,3.242000,3.206000,3.223000,208419.30000000,98427.60000000,-11564.10000000
1676145600000,3.224000,3.241000,3.193000,3.202000,408652.90000000,226488.80000000,44324.70000000
1676149200000,3.203000,3.267000,3.203000,3.262000,305240.40000000,150560.80000000,-4118.80000000
1676152800000,3.263000,3.340000,3.242000,3.329000,619405.20000000,360112.30000000,100819.40000000
1676156400000,3.328000,3.418000,3.314000,3.398000,924862.90000000,486759.30000000,48655.70000000
1676160000000,3.398000,3.398000,3.292000,3.308000,1031227.80000000,490490.50000000,-50246.80000000
1676163600000,3.308000,3.324000,3.285000,3.315000,298930.00000000,162822.10000000,26714.20000000
1676167200000,3.316000,3.330000,3.282000,3.308000,265300.30000000,116094.60000000,-33111.10000000
1676170800000,3.308000,3.349000,3.292000,3.311000,1497038.80000000,749899.70000000,2760.60000000
1676174400000,3.310000,3.310000,3.227000,3.233000,644844.40000000,250654.60000000,-143535.20000000
1676178000000,3.234000,3.267000,3.234000,3.244000,221994.70000000,114816.00000000,7637.30000000
1676181600000,3.244000,3.287000,3.244000,3.282000,285047.30000000,168068.60000000,51089.90000000
1676185200000,3.281000,3.316000,3.259000,3.297000,288139.60000000,170290.90000000,52442.20000000
1676188800000,3.296000,3.308000,3.258000,3.262000,280567.60000000,119989.10000000,-40589.40000000
1676192400000,3.261000,3.371000,3.249000,3.315000,672634.20000000,349433.90000000,26233.60000000
1676196000000,3.315000,3.402000,3.312000,3.360000,763626.00000000,412106.50000000,60587.00000000
1676199600000,3.360000,3.421000,3.348000,3.404000,652085.90000000,340661.20000000,29236.50000000
1676203200000,3.404000,3.404000,3.329000,3.344000,706262.60000000,323289.10000000,-59684.40000000
1676206800000,3.344000,3.353000,3.294000,3.325000,579477.70000000,265598.40000000,-48280.90000000
1676210400000,3.325000,3.346000,3.305000,3.324000,301855.10000000,157219.00000000,12582.90000000
1676214000000,3.325000,3.379000,3.317000,3.336000,607629.40000000,299532.20000000,-8565.00000000
1676217600000,3.336000,3.395000,3.321000,3.362000,629940.70000000,340336.20000000,50731.70000000
1676221200000,3.361000,3.513000,3.340000,3.431000,1355492.20000000,717910.90000000,80329.60000000
1676224800000,3.431000,3.516000,3.398000,3.453000,1065301.30000000,532881.50000000,461.70000000
1676228400000,3.453000,3.588000,3.436000,3.562000,1012967.80000000,531117.90000000,49268.00000000
1676232000000,3.561000,3.604000,3.507000,3.544000,1615653.70000000,803916.20000000,-7821.30000000
1676235600000,3.543000,3.546000,3.400000,3.408000,1227442.90000000,529148.70000000,-169145.50000000
1676239200000,3.408000,3.438000,3.352000,3.407000,1066236.70000000,503617.30000000,-59002.10000000
1676242800000,3.408000,3.416000,3.326000,3.345000,765014.70000000,330383.50000000,-104247.70000000
1676246400000,3.346000,3.472000,3.339000,3.430000,1559890.30000000,801721.90000000,43553.50000000
1676250000000,3.430000,3.446000,3.283000,3.284000,962850.70000000,439628.00000000,-83594.70000000
1676253600000,3.285000,3.320000,3.257000,3.292000,799556.60000000,367053.90000000,-65448.80000000
1676257200000,3.292000,3.357000,3.286000,3.328000,508473.80000000,263636.00000000,18798.20000000
1676260800000,3.327000,3.345000,3.282000,3.295000,448536.40000000,209454.50000000,-29627.40000000
1676264400000,3.293000,3.313000,3.273000,3.291000,338914.00000000,167823.70000000,-3266.60000000
1676268000000,3.291000,3.305000,3.272000,3.288000,290589.00000000,136344.10000000,-17900.80000000
1676271600000,3.287000,3.343000,3.264000,3.341000,512025.30000000,273055.80000000,34086.30000000
1676275200000,3.341000,3.343000,3.135000,3.144000,1517423.90000000,677862.30000000,-161699.30000000
1676278800000,3.145000,3.185000,3.024000,3.062000,1965595.80000000,876484.80000000,-212626.20000000
1676282400000,3.062000,3.126000,3.060000,3.091000,823683.60000000,412316.20000000,948.80000000
1676286000000,3.091000,3.144000,3.091000,3.110000,613874.40000000,281926.30000000,-50021.80000000
1676289600000,3.111000,3.174000,3.111000,3.153000,691820.50000000,344970.70000000,-1879.10000000
1676293200000,3.154000,3.163000,3.102000,3.103000,442824.20000000,198216.20000000,-46391.80000000
1676296800000,3.103000,3.164000,3.101000,3.163000,763062.80000000,445153.30000000,127243.80000000
1676300400000,3.162000,3.199000,3.145000,3.151000,1011000.80000000,499951.90000000,-11097.00000000
1676304000000,3.151000,3.201000,3.116000,3.160000,804858.20000000,394795.40000000,-15267.40000000
1676307600000,3.158000,3.164000,3.083000,3.122000,878515.10000000,437976.40000000,-2562.30000000
1676311200000,3.120000,3.201000,3.116000,3.184000,685065.00000000,347845.30000000,10625.60000000
1676314800000,3.185000,3.193000,3.135000,3.163000,526270.50000000,277386.90000000,28503.30000000
1676318400000,3.163000,3.219000,3.146000,3.217000,867353.20000000,483412.00000000,99470.80000000
1676322000000,3.218000,3.218000,3.186000,3.203000,294712.30000000,145611.00000000,-3490.30000000
1676325600000,3.203000,3.231000,3.197000,3.220000,228382.60000000,117289.30000000,6196.00000000
1676329200000,3.219000,3.289000,3.186000,3.259000,598442.50000000,319145.40000000,39848.30000000
1676332800000,3.258000,3.318000,3.258000,3.291000,455737.80000000,242152.30000000,28566.80000000
1676336400000,3.291000,3.309000,3.265000,3.277000,492702.90000000,208688.20000000,-75326.50000000
1676340000000,3.278000,3.302000,3.244000,3.250000,424593.30000000,191102.00000000,-42389.30000000
1676343600000,3.250000,3.266000,3.203000,3.206000,444039.20000000,197211.20000000,-49616.80000000
1676347200000,3.206000,3.283000,3.206000,3.255000,439254.30000000,275315.90000000,111377.50000000
1676350800000,3.256000,3.272000,3.229000,3.236000,199400.20000000,81941.80000000,-35516.60000000
1676354400000,3.237000,3.284000,3.237000,3.259000,283683.60000000,149565.60000000,15447.60000000
1676358000000,3.259000,3.282000,3.246000,3.280000,202869.30000000,102421.80000000,1974.30000000
1676361600000,3.281000,3.292000,3.247000,3.254000,476879.50000000,250866.30000000,24853.10000000
1676365200000,3.254000,3.309000,3.244000,3.307000,666946.10000000,334774.30000000,2602.50000000
1676368800000,3.308000,3.363000,3.278000,3.326000,860289.50000000,422329.00000000,-15631.50000000
1676372400000,3.326000,3.351000,3.302000,3.320000,514318.00000000,264066.60000000,13815.20000000
1676376000000,3.320000,3.352000,3.307000,3.336000,345194.40000000,188607.60000000,32020.80000000
1676379600000,3.337000,3.427000,3.165000,3.406000,2987811.20000000,1417568.50000000,-152674.20000000
1676383200000,3.406000,3.534000,3.309000,3.510000,2526236.40000000,1261816.60000000,-2603.20000000
1676386800000,3.511000,3.585000,3.379000,3.468000,2122290.80000000,999831.60000000,-122627.60000000
1676390400000,3.469000,3.510000,3.416000,3.439000,1097478.70000000,539559.30000000,-18360.10000000
1676394000000,3.439000,3.465000,3.424000,3.442000,503163.90000000,275264.10000000,47364.30000000
1676397600000,3.443000,3.474000,3.433000,3.462000,587753.40000000,282033.30000000,-23686.80000000
1676401200000,3.462000,3.462000,3.408000,3.432000,730208.30000000,374971.50000000,19734.70000000
1676404800000,3.433000,3.506000,3.420000,3.486000,898136.00000000,482608.70000000,67081.40000000
1676408400000,3.485000,3.503000,3.451000,3.480000,472041.70000000,216141.30000000,-39759.10000000
1676412000000,3.479000,3.480000,3.447000,3.469000,265395.60000000,103404.30000000,-58587.00000000
1676415600000,3.470000,3.503000,3.458000,3.488000,365935.80000000,173888.00000000,-18159.80000000
1676419200000,3.488000,3.517000,3.459000,3.494000,517307.20000000,249578.70000000,-18149.80000000
1676422800000,3.495000,3.505000,3.447000,3.450000,399008.90000000,190538.70000000,-17931.50000000
1676426400000,3.450000,3.469000,3.417000,3.419000,296666.60000000,116158.60000000,-64349.40000000
1676430000000,3.418000,3.458000,3.408000,3.447000,291176.50000000,149833.80000000,8491.10000000
1676433600000,3.447000,3.530000,3.426000,3.526000,687325.80000000,390295.10000000,93264.40000000
1676437200000,3.526000,3.585000,3.498000,3.547000,943871.10000000,504848.20000000,65825.30000000
1676440800000,3.546000,3.551000,3.478000,3.486000,764204.50000000,313401.80000000,-137400.90000000
1676444400000,3.487000,3.502000,3.474000,3.477000,247000.10000000,124627.20000000,2254.30000000
1676448000000,3.478000,3.483000,3.426000,3.440000,612414.90000000,242411.90000000,-127591.10000000
1676451600000,3.441000,3.496000,3.421000,3.494000,554085.90000000,248039.80000000,-58006.30000000
1676455200000,3.495000,3.540000,3.485000,3.518000,523297.30000000,254870.30000000,-13556.70000000
1676458800000,3.518000,3.557000,3.497000,3.556000,629473.70000000,335305.30000000,41136.90000000
1676462400000,3.556000,3.782000,3.548000,3.729000,4716303.00000000,2508453.50000000,300604.00000000
1676466000000,3.728000,3.737000,3.660000,3.687000,1248070.40000000,595174.50000000,-57721.40000000
1676469600000,3.686000,3.755000,3.661000,3.712000,1002160.20000000,506530.10000000,10900.00000000
1676473200000,3.712000,3.824000,3.686000,3.823000,1391103.40000000,703452.10000000,15800.80000000
