open_time,open,high,low,close,volume,taker_buy,delta
1702029600000,2.928800,3.146000,2.900200,3.061400,12073474.00000000,5732518.00000000,-608438.00000000
1702033200000,3.063200,3.119400,2.860000,2.876800,7565694.00000000,3419427.00000000,-726840.00000000
1702036800000,2.878200,2.983000,2.801600,2.854600,9718560.00000000,4495759.00000000,-727042.00000000
1702040400000,2.854600,2.982000,2.840000,2.924700,5591749.00000000,2740159.00000000,-111431.00000000
1702044000000,2.926500,3.405400,2.886900,3.376700,16558971.00000000,8606447.00000000,653923.00000000
1702047600000,3.378200,3.724000,3.360000,3.494300,52188494.00000000,25814264.00000000,-559966.00000000
1702051200000,3.493000,3.765000,3.463800,3.622700,31143694.00000000,15695002.00000000,246310.00000000
1702054800000,3.624000,3.624700,3.289400,3.450500,25002533.00000000,11978654.00000000,-1045225.00000000
1702058400000,3.448000,3.566400,3.402500,3.466300,14680688.00000000,7206123.00000000,-268442.00000000
1702062000000,3.466400,3.517900,3.168000,3.234200,13575772.00000000,6322676.00000000,-930420.00000000
1702065600000,3.236600,3.415500,3.125100,3.249400,17983810.00000000,8934673.00000000,-114464.00000000
1702069200000,3.248000,3.450000,3.173800,3.410100,12090046.00000000,6114534.00000000,139022.00000000
1702072800000,3.411500,3.492400,3.319600,3.416500,9609926.00000000,4654629.00000000,-300668.00000000
1702076400000,3.417300,3.590500,3.342100,3.586000,7303924.00000000,3768509.00000000,233094.00000000
1702080000000,3.586000,3.668900,3.440000,3.477800,10988771.00000000,5269349.00000000,-450073.00000000
1702083600000,3.477800,3.537500,3.379700,3.530200,7269681.00000000,3469562.00000000,-330557.00000000
1702087200000,3.530500,3.562000,3.354200,3.394600,6019534.00000000,2670358.00000000,-678818.00000000
1702090800000,3.393200,3.446600,3.230000,3.370900,6059325.00000000,2907198.00000000,-244929.00000000
1702094400000,3.370300,3.449700,3.322200,3.366300,3137704.00000000,1503380.00000000,-130944.00000000
1702098000000,3.366300,3.514400,3.345400,3.495800,3856349.00000000,1928774.00000000,1199.00000000
1702101600000,3.495400,3.590000,3.391800,3.506300,10396366.00000000,5035565.00000000,-325236.00000000
1702105200000,3.506300,3.676000,3.456800,3.559100,12380241.00000000,6180904.00000000,-18433.00000000
1702108800000,3.559100,3.739000,3.464300,3.581400,18754024.00000000,9062282.00000000,-629460.00000000
1702112400000,3.581500,3.980000,3.581400,3.699900,33212112.00000000,16430247.00000000,-351618.00000000
1702116000000,3.699700,3.850000,3.667200,3.779200,12826677.00000000,6453974.00000000,81271.00000000
1702119600000,3.779300,3.966300,3.753000,3.875800,15499664.00000000,7657770.00000000,-184124.00000000
1702123200000,3.875700,4.230000,3.850000,4.135900,36929298.00000000,18868154.00000000,807010.00000000
