open_time,open,high,low,close,volume,taker_buy,delta
1706724000000,0.6852000,0.6863000,0.6588000,0.6746000,8733208.00000000,4255726.00000000,-221756.00000000
1706727600000,0.6742000,0.6759000,0.6300000,0.6384000,32462099.00000000,16048322.00000000,-365455.00000000
1706731200000,0.6385000,0.6530000,0.6204000,0.6299000,29459297.00000000,14356089.00000000,-747119.00000000
1706734800000,0.6299000,0.6479000,0.6208000,0.6439000,27987127.00000000,14340644.00000000,694161.00000000
1706738400000,0.6438000,0.6920000,0.6375000,0.6766000,46532297.00000000,23851908.00000000,1171519.00000000
1706742000000,0.6766000,0.6930000,0.6550000,0.6629000,28466589.00000000,13356129.00000000,-1754331.00000000
1706745600000,0.6629000,0.6900000,0.6461000,0.6711000,31398265.00000000,16439385.00000000,1480505.00000000
1706749200000,0.6712000,0.6742000,0.6280000,0.6473000,27200276.00000000,13084186.00000000,-1031904.00000000
1706752800000,0.6473000,0.6633000,0.6367000,0.6576000,14881681.00000000,7469203.00000000,56725.00000000
1706756400000,0.6577000,0.6585000,0.6202000,0.6293000,23136713.00000000,9841827.00000000,-3453059.00000000
1706760000000,0.6292000,0.6325000,0.5619000,0.5850000,62610846.00000000,28430025.00000000,-5750796.00000000
1706763600000,0.5851000,0.5972000,0.5682000,0.5777000,32275086.00000000,15711755.00000000,-851576.00000000
1706767200000,0.5777000,0.6105000,0.5768000,0.5873000,30329611.00000000,14990192.00000000,-349227.00000000
1706770800000,0.5873000,0.6030000,0.5732000,0.5777000,24905937.00000000,11963573.00000000,-978791.00000000
1706774400000,0.5777000,0.5926000,0.5769000,0.5857000,24112621.00000000,12348574.00000000,584527.00000000
1706778000000,0.5857000,0.5903000,0.5512000,0.5619000,50175967.00000000,22573478.00000000,-5029011.00000000
1706781600000,0.5616000,0.6099000,0.5608000,0.5982000,47537628.00000000,25947317.00000000,4357006.00000000
1706785200000,0.5982000,0.6292000,0.5968000,0.6038000,70620434.00000000,34379730.00000000,-1860974.00000000
1706788800000,0.6037000,0.6222000,0.5898000,0.5954000,37946343.00000000,18063493.00000000,-1819357.00000000
1706792400000,0.5951000,0.6087000,0.5829000,0.5945000,37190646.00000000,18834439.00000000,478232.00000000
1706796000000,0.5947000,0.6214000,0.5920000,0.6130000,39304601.00000000,19736768.00000000,168935.00000000
1706799600000,0.6128000,0.6200000,0.5906000,0.5932000,32539124.00000000,15073954.00000000,-2391216.00000000
1706803200000,0.5932000,0.5960000,0.5650000,0.5947000,62937825.00000000,30311076.00000000,-2315673.00000000
1706806800000,0.5949000,0.6042000,0.5817000,0.5870000,27709455.00000000,13519417.00000000,-670621.00000000
1706810400000,0.5870000,0.5917000,0.5728000,0.5768000,23155357.00000000,10466026.00000000,-2223305.00000000
1706814000000,0.5768000,0.5845000,0.5710000,0.5803000,16310729.00000000,8333684.00000000,356639.00000000
1706817600000,0.5802000,0.5850000,0.5736000,0.5828000,12839408.00000000,6428866.00000000,18324.00000000
1706821200000,0.5828000,0.5995000,0.5800000,0.5984000,18581704.00000000,9735782.00000000,889860.00000000
1706824800000,0.5986000,0.5987000,0.5811000,0.5945000,13948703.00000000,6740454.00000000,-467795.00000000
1706828400000,0.5945000,0.6060000,0.5840000,0.6031000,24735550.00000000,12661924.00000000,588298.00000000
1706832000000,0.6031000,0.6159000,0.5916000,0.5985000,30981371.00000000,15404656.00000000,-172059.00000000
1706835600000,0.5985000,0.6079000,0.5956000,0.6017000,15214935.00000000,7620151.00000000,25367.00000000
1706839200000,0.6016000,0.6049000,0.5827000,0.5942000,18408300.00000000,8432550.00000000,-1543200.00000000
1706842800000,0.5941000,0.5985000,0.5813000,0.5892000,13556500.00000000,6448532.00000000,-659436.00000000
1706846400000,0.5892000,0.5924000,0.5771000,0.5862000,17007744.00000000,7512596.00000000,-1982552.00000000
1706850000000,0.5863000,0.5942000,0.5804000,0.5936000,13750827.00000000,7156023.00000000,561219.00000000
1706853600000,0.5936000,0.5960000,0.5836000,0.5886000,13968664.00000000,6329452.00000000,-1309760.00000000
1706857200000,0.5886000,0.6074000,0.5858000,0.6071000,23879518.00000000,11772575.00000000,-334368.00000000
1706860800000,0.6070000,0.6185000,0.5935000,0.6182000,34885719.00000000,17368723.00000000,-148273.00000000
1706864400000,0.6182000,0.6400000,0.6127000,0.6240000,80160713.00000000,40576841.00000000,992969.00000000
1706868000000,0.6241000,0.6341000,0.6179000,0.6293000,29741195.00000000,14826285.00000000,-88625.00000000
1706871600000,0.6294000,0.6317000,0.6145000,0.6218000,29275277.00000000,13964000.00000000,-1347277.00000000
1706875200000,0.6216000,0.6230000,0.6081000,0.6230000,31290826.00000000,15637808.00000000,-15210.00000000
1706878800000,0.6230000,0.6266000,0.6013000,0.6079000,40222803.00000000,18858276.00000000,-2506251.00000000
1706882400000,0.6078000,0.6274000,0.6077000,0.6216000,33011800.00000000,16999926.00000000,988052.00000000
1706886000000,0.6216000,0.6389000,0.6169000,0.6337000,32386097.00000000,16649722.00000000,913347.00000000
1706889600000,0.6335000,0.6493000,0.6255000,0.6278000,41207794.00000000,19856738.00000000,-1494318.00000000
1706893200000,0.6278000,0.6291000,0.6140000,0.6167000,25390361.00000000,11520001.00000000,-2350359.00000000
1706896800000,0.6166000,0.6178000,0.6096000,0.6143000,18623588.00000000,9628962.00000000,634336.00000000
1706900400000,0.6144000,0.6160000,0.6042000,0.6132000,16644682.00000000,7907475.00000000,-829732.00000000
1706904000000,0.6133000,0.6191000,0.6071000,0.6102000,12458114.00000000,5872694.00000000,-712726.00000000
1706907600000,0.6102000,0.6213000,0.6075000,0.6157000,15050171.00000000,7655551.00000000,260931.00000000
1706911200000,0.6156000,0.6209000,0.6141000,0.6195000,6496039.00000000,3371638.00000000,247237.00000000
1706914800000,0.6195000,0.6238000,0.6104000,0.6182000,10112902.00000000,4931445.00000000,-250012.00000000
1706918400000,0.6182000,0.6221000,0.6058000,0.6080000,12422473.00000000,5468638.00000000,-1485197.00000000
1706922000000,0.6081000,0.6129000,0.6068000,0.6102000,8487371.00000000,3872349.00000000,-742673.00000000
1706925600000,0.6101000,0.6110000,0.5702000,0.5781000,63126297.00000000,27016180.00000000,-9093937.00000000
1706929200000,0.5783000,0.5834000,0.5718000,0.5810000,15510247.00000000,8117311.00000000,724375.00000000
1706932800000,0.5809000,0.5997000,0.5787000,0.5925000,26704175.00000000,14578109.00000000,2452043.00000000
1706936400000,0.5925000,0.5960000,0.5840000,0.5847000,13354304.00000000,5669017.00000000,-2016270.00000000
1706940000000,0.5846000,0.5894000,0.5820000,0.5867000,9806560.00000000,4989067.00000000,171574.00000000
1706943600000,0.5868000,0.5891000,0.5760000,0.5810000,14926966.00000000,7054820.00000000,-817326.00000000
1706947200000,0.5809000,0.5849000,0.5737000,0.5766000,14262695.00000000,6060943.00000000,-2140809.00000000
1706950800000,0.5766000,0.5858000,0.5745000,0.5850000,13102128.00000000,7002085.00000000,902042.00000000
1706954400000,0.5850000,0.5862000,0.5774000,0.5799000,11758379.00000000,5235654.00000000,-1287071.00000000
1706958000000,0.5797000,0.5810000,0.5710000,0.5761000,17394221.00000000,7657935.00000000,-2078351.00000000
1706961600000,0.5761000,0.5807000,0.5720000,0.5741000,12309718.00000000,6273219.00000000,236720.00000000
1706965200000,0.5742000,0.5769000,0.5618000,0.5761000,30588920.00000000,13951885.00000000,-2685150.00000000
1706968800000,0.5760000,0.5780000,0.5685000,0.5695000,13644651.00000000,6284129.00000000,-1076393.00000000
1706972400000,0.5695000,0.5755000,0.5630000,0.5740000,23327434.00000000,11261537.00000000,-804360.00000000
1706976000000,0.5740000,0.5804000,0.5723000,0.5753000,15300910.00000000,7347437.00000000,-606036.00000000
1706979600000,0.5755000,0.5818000,0.5709000,0.5785000,14182168.00000000,7107814.00000000,33460.00000000
1706983200000,0.5786000,0.5800000,0.5717000,0.5733000,8615424.00000000,4027951.00000000,-559522.00000000
1706986800000,0.5732000,0.5743000,0.5680000,0.5722000,9759247.00000000,4608795.00000000,-541657.00000000
1706990400000,0.5721000,0.5726000,0.5652000,0.5681000,8702235.00000000,3820735.00000000,-1060765.00000000
1706994000000,0.5681000,0.5729000,0.5672000,0.5705000,6684083.00000000,3417489.00000000,150895.00000000
1706997600000,0.5705000,0.5769000,0.5691000,0.5742000,8691142.00000000,4456117.00000000,221092.00000000
1707001200000,0.5742000,0.5760000,0.5636000,0.5654000,10448197.00000000,4652687.00000000,-1142823.00000000
1707004800000,0.5654000,0.5689000,0.5528000,0.5684000,23623705.00000000,10518967.00000000,-2585771.00000000
1707008400000,0.5683000,0.5726000,0.5648000,0.5701000,7174034.00000000,3402037.00000000,-369960.00000000
1707012000000,0.5701000,0.5719000,0.5666000,0.5680000,6514446.00000000,2970465.00000000,-573516.00000000
1707015600000,0.5680000,0.5738000,0.5669000,0.5702000,5185916.00000000,2613194.00000000,40472.00000000
1707019200000,0.5700000,0.5710000,0.5561000,0.5579000,16267930.00000000,6981048.00000000,-2305834.00000000
1707022800000,0.5579000,0.5621000,0.5560000,0.5581000,8955722.00000000,4339347.00000000,-277028.00000000
1707026400000,0.5580000,0.5629000,0.5386000,0.5490000,37532088.00000000,16219902.00000000,-5092284.00000000
1707030000000,0.5491000,0.5508000,0.5412000,0.5439000,16298380.00000000,7429322.00000000,-1439736.00000000
1707033600000,0.5438000,0.5474000,0.5362000,0.5388000,19145936.00000000,9322534.00000000,-500868.00000000
1707037200000,0.5386000,0.5488000,0.5322000,0.5471000,27814978.00000000,14621791.00000000,1428604.00000000
1707040800000,0.5471000,0.5498000,0.5416000,0.5456000,10612347.00000000,5177637.00000000,-257073.00000000
1707044400000,0.5455000,0.5580000,0.5451000,0.5538000,18606922.00000000,9749305.00000000,891688.00000000
1707048000000,0.5538000,0.5610000,0.5534000,0.5545000,12166865.00000000,6076723.00000000,-13419.00000000
1707051600000,0.5546000,0.5685000,0.5522000,0.5667000,15574967.00000000,8747998.00000000,1921029.00000000
1707055200000,0.5667000,0.5687000,0.5600000,0.5601000,15792422.00000000,7338334.00000000,-1115754.00000000
1707058800000,0.5601000,0.5645000,0.5560000,0.5599000,16615493.00000000,8186073.00000000,-243347.00000000
1707062400000,0.5600000,0.5637000,0.5558000,0.5608000,9180497.00000000,4274586.00000000,-631325.00000000
1707066000000,0.5609000,0.5617000,0.5537000,0.5562000,9312935.00000000,4493591.00000000,-325753.00000000
1707069600000,0.5563000,0.5585000,0.5470000,0.5491000,14020259.00000000,5594151.00000000,-2831957.00000000
1707073200000,0.5492000,0.5500000,0.5384000,0.5418000,16087059.00000000,7495963.00000000,-1095133.00000000
1707076800000,0.5418000,0.5467000,0.5367000,0.5433000,10814284.00000000,5422349.00000000,30414.00000000
1707080400000,0.5433000,0.5468000,0.5339000,0.5373000,11744281.00000000,5269812.00000000,-1204657.00000000
1707084000000,0.5373000,0.5397000,0.5230000,0.5296000,22810742.00000000,10147218.00000000,-2516306.00000000
1707087600000,0.5295000,0.5350000,0.5256000,0.5307000,9791989.00000000,5258937.00000000,725885.00000000
1707091200000,0.5306000,0.5366000,0.5248000,0.5270000,13821369.00000000,6456605.00000000,-908159.00000000
1707094800000,0.5270000,0.5284000,0.5203000,0.5274000,18010456.00000000,8133475.00000000,-1743506.00000000
1707098400000,0.5274000,0.5282000,0.5216000,0.5265000,8251497.00000000,3881140.00000000,-489217.00000000
1707102000000,0.5264000,0.5359000,0.5250000,0.5350000,9221655.00000000,5455554.00000000,1689453.00000000
1707105600000,0.5350000,0.5423000,0.5320000,0.5411000,12942018.00000000,6896451.00000000,850884.00000000
1707109200000,0.5410000,0.5424000,0.5332000,0.5380000,12438588.00000000,5584805.00000000,-1268978.00000000
1707112800000,0.5380000,0.5425000,0.5342000,0.5409000,8968040.00000000,4621495.00000000,274950.00000000
1707116400000,0.5409000,0.5573000,0.5391000,0.5518000,19727553.00000000,10197855.00000000,668157.00000000
1707120000000,0.5518000,0.5571000,0.5451000,0.5464000,14586340.00000000,6606495.00000000,-1373350.00000000
1707123600000,0.5464000,0.5564000,0.5435000,0.5549000,16517994.00000000,8021726.00000000,-474542.00000000
1707127200000,0.5547000,0.5680000,0.5536000,0.5622000,24526920.00000000,11996837.00000000,-533246.00000000
1707130800000,0.5622000,0.5667000,0.5580000,0.5650000,12996947.00000000,6615040.00000000,233133.00000000
1707134400000,0.5650000,0.5717000,0.5602000,0.5658000,16728969.00000000,7962232.00000000,-804505.00000000
1707138000000,0.5658000,0.5661000,0.5552000,0.5577000,16711106.00000000,7664389.00000000,-1382328.00000000
1707141600000,0.5577000,0.5599000,0.5466000,0.5487000,20254482.00000000,9322766.00000000,-1608950.00000000
1707145200000,0.5486000,0.5487000,0.5375000,0.5398000,20949618.00000000,9694885.00000000,-1559848.00000000
1707148800000,0.5397000,0.5477000,0.5375000,0.5455000,14823804.00000000,8176138.00000000,1528472.00000000
1707152400000,0.5455000,0.5489000,0.5420000,0.5449000,9898586.00000000,4669220.00000000,-560146.00000000
1707156000000,0.5450000,0.5467000,0.5355000,0.5409000,9620445.00000000,4212297.00000000,-1195851.00000000
1707159600000,0.5409000,0.5442000,0.5384000,0.5392000,5755063.00000000,2910677.00000000,66291.00000000
1707163200000,0.5392000,0.5397000,0.5309000,0.5356000,11182935.00000000,4973332.00000000,-1236271.00000000
1707166800000,0.5357000,0.5370000,0.5272000,0.5276000,7884928.00000000,3181560.00000000,-1521808.00000000
1707170400000,0.5278000,0.5350000,0.5242000,0.5297000,11308474.00000000,5389623.00000000,-529228.00000000
1707174000000,0.5296000,0.5444000,0.5270000,0.5416000,14079777.00000000,7687493.00000000,1295209.00000000
1707177600000,0.5417000,0.5436000,0.5332000,0.5371000,15328972.00000000,7164278.00000000,-1000416.00000000
1707181200000,0.5371000,0.5371000,0.5222000,0.5280000,12833307.00000000,5494665.00000000,-1843977.00000000
1707184800000,0.5280000,0.5363000,0.5252000,0.5340000,7173507.00000000,3702470.00000000,231433.00000000
1707188400000,0.5340000,0.5370000,0.5294000,0.5313000,5422836.00000000,2585072.00000000,-252692.00000000
1707192000000,0.5313000,0.5334000,0.5284000,0.5286000,5209600.00000000,2434121.00000000,-341358.00000000
1707195600000,0.5285000,0.5305000,0.5251000,0.5301000,6199224.00000000,3283488.00000000,367752.00000000
1707199200000,0.5301000,0.5313000,0.5252000,0.5298000,5205283.00000000,2446893.00000000,-311497.00000000
1707202800000,0.5299000,0.5342000,0.5225000,0.5324000,12233545.00000000,5954880.00000000,-323785.00000000
1707206400000,0.5324000,0.5384000,0.5311000,0.5378000,11326629.00000000,5808748.00000000,290867.00000000
1707210000000,0.5378000,0.5385000,0.5326000,0.5336000,8008796.00000000,3641367.00000000,-726062.00000000
1707213600000,0.5335000,0.5338000,0.5100000,0.5184000,32752915.00000000,14181837.00000000,-4389241.00000000
1707217200000,0.5183000,0.5195000,0.5126000,0.5190000,13141899.00000000,6350647.00000000,-440605.00000000
1707220800000,0.5190000,0.5229000,0.5050000,0.5116000,21709697.00000000,9834190.00000000,-2041317.00000000
1707224400000,0.5117000,0.5192000,0.5082000,0.5170000,10989590.00000000,5347119.00000000,-295352.00000000
1707228000000,0.5171000,0.5214000,0.5136000,0.5166000,10209450.00000000,5063791.00000000,-81868.00000000
1707231600000,0.5166000,0.5240000,0.5147000,0.5216000,11444127.00000000,5324646.00000000,-794835.00000000
1707235200000,0.5216000,0.5280000,0.5163000,0.5168000,13361557.00000000,6510362.00000000,-340833.00000000
1707238800000,0.5168000,0.5178000,0.5123000,0.5158000,9649853.00000000,4498732.00000000,-652389.00000000
1707242400000,0.5159000,0.5199000,0.5131000,0.5186000,4755472.00000000,2521955.00000000,288438.00000000
1707246000000,0.5186000,0.5323000,0.5169000,0.5294000,8890067.00000000,4986145.00000000,1082223.00000000
1707249600000,0.5295000,0.5324000,0.5244000,0.5264000,9658948.00000000,4476557.00000000,-705834.00000000
1707253200000,0.5263000,0.5279000,0.5225000,0.5231000,4930569.00000000,2442750.00000000,-45069.00000000
1707256800000,0.5231000,0.5358000,0.5211000,0.5345000,7501874.00000000,4441538.00000000,1381202.00000000
1707260400000,0.5345000,0.5421000,0.5318000,0.5321000,10612835.00000000,5162068.00000000,-288699.00000000
1707264000000,0.5321000,0.5406000,0.5321000,0.5336000,7279673.00000000,3676960.00000000,74247.00000000
1707267600000,0.5336000,0.5432000,0.5322000,0.5406000,7109017.00000000,3737983.00000000,366949.00000000
1707271200000,0.5407000,0.5414000,0.5324000,0.5327000,5636356.00000000,2546384.00000000,-543588.00000000
1707274800000,0.5327000,0.5344000,0.5268000,0.5286000,9020733.00000000,4017588.00000000,-985557.00000000
1707278400000,0.5285000,0.5302000,0.5152000,0.5166000,11934294.00000000,4747167.00000000,-2439960.00000000
1707282000000,0.5169000,0.5228000,0.5124000,0.5206000,9924822.00000000,5053069.00000000,181316.00000000
1707285600000,0.5207000,0.5219000,0.5151000,0.5191000,5352346.00000000,2517226.00000000,-317894.00000000
1707289200000,0.5192000,0.5214000,0.5130000,0.5162000,5428352.00000000,2644957.00000000,-138438.00000000
1707292800000,0.5162000,0.5231000,0.5150000,0.5210000,4518536.00000000,2396960.00000000,275384.00000000
1707296400000,0.5210000,0.5280000,0.5172000,0.5255000,6266484.00000000,3525735.00000000,784986.00000000
1707300000000,0.5256000,0.5273000,0.5217000,0.5241000,5769920.00000000,2561139.00000000,-647642.00000000
1707303600000,0.5242000,0.5557000,0.5242000,0.5534000,36315376.00000000,19883228.00000000,3451080.00000000
1707307200000,0.5535000,0.5610000,0.5450000,0.5567000,35305399.00000000,17667997.00000000,30595.00000000
1707310800000,0.5567000,0.5638000,0.5505000,0.5557000,23665160.00000000,11789629.00000000,-85902.00000000
1707314400000,0.5558000,0.5816000,0.5552000,0.5692000,60045493.00000000,30612059.00000000,1178625.00000000
1707318000000,0.5692000,0.6047000,0.5617000,0.5869000,80315090.00000000,40843286.00000000,1371482.00000000
1707321600000,0.5868000,0.5954000,0.5775000,0.5885000,30509954.00000000,14067089.00000000,-2375776.00000000
1707325200000,0.5885000,0.5918000,0.5682000,0.5715000,36767651.00000000,17014603.00000000,-2738445.00000000
1707328800000,0.5716000,0.5806000,0.5670000,0.5790000,17375940.00000000,9713710.00000000,2051480.00000000
1707332400000,0.5790000,0.5826000,0.5738000,0.5750000,12345020.00000000,5606162.00000000,-1132696.00000000
1707336000000,0.5750000,0.5795000,0.5563000,0.5593000,29819161.00000000,13104048.00000000,-3611065.00000000
1707339600000,0.5593000,0.5623000,0.5512000,0.5553000,18332390.00000000,9066451.00000000,-199488.00000000
1707343200000,0.5551000,0.5601000,0.5506000,0.5546000,10512396.00000000,5480965.00000000,449534.00000000
1707346800000,0.5545000,0.5594000,0.5530000,0.5545000,7867405.00000000,3512888.00000000,-841629.00000000
1707350400000,0.5546000,0.5633000,0.5504000,0.5609000,10828679.00000000,5324214.00000000,-180251.00000000
1707354000000,0.5608000,0.5617000,0.5419000,0.5592000,19469778.00000000,8583232.00000000,-2303314.00000000
1707357600000,0.5592000,0.5595000,0.5523000,0.5564000,7062902.00000000,3890464.00000000,718026.00000000
1707361200000,0.5564000,0.5579000,0.5517000,0.5530000,6190694.00000000,2884022.00000000,-422650.00000000
1707364800000,0.5531000,0.5591000,0.5520000,0.5522000,7668182.00000000,3886476.00000000,104770.00000000
1707368400000,0.5523000,0.5536000,0.5459000,0.5494000,10889091.00000000,5243845.00000000,-401401.00000000
1707372000000,0.5493000,0.5511000,0.5314000,0.5386000,30173445.00000000,12991961.00000000,-4189523.00000000
1707375600000,0.5389000,0.5481000,0.5368000,0.5456000,17581726.00000000,8846634.00000000,111542.00000000
1707379200000,0.5456000,0.5522000,0.5415000,0.5495000,11807657.00000000,5961299.00000000,114941.00000000
1707382800000,0.5495000,0.5548000,0.5491000,0.5521000,9295687.00000000,4288649.00000000,-718389.00000000
1707386400000,0.5521000,0.5553000,0.5465000,0.5492000,9365927.00000000,3758349.00000000,-1849229.00000000
1707390000000,0.5492000,0.5513000,0.5387000,0.5424000,11384887.00000000,4797604.00000000,-1789679.00000000
1707393600000,0.5424000,0.5457000,0.5332000,0.5374000,12790664.00000000,5736453.00000000,-1317758.00000000
1707397200000,0.5374000,0.5413000,0.5281000,0.5354000,20621167.00000000,9577075.00000000,-1467017.00000000
1707400800000,0.5353000,0.5447000,0.5345000,0.5377000,18171327.00000000,8799053.00000000,-573221.00000000
1707404400000,0.5377000,0.5442000,0.5369000,0.5439000,14913548.00000000,7379792.00000000,-153964.00000000
1707408000000,0.5438000,0.5443000,0.5213000,0.5276000,27202917.00000000,11204794.00000000,-4793329.00000000
1707411600000,0.5275000,0.5348000,0.5225000,0.5319000,19779950.00000000,10067010.00000000,354070.00000000
1707415200000,0.5320000,0.5350000,0.5276000,0.5297000,10064165.00000000,4638580.00000000,-787005.00000000
1707418800000,0.5297000,0.5309000,0.5261000,0.5277000,9000949.00000000,4071314.00000000,-858321.00000000
1707422400000,0.5277000,0.5314000,0.5240000,0.5252000,10723934.00000000,5454698.00000000,185462.00000000
1707426000000,0.5251000,0.5292000,0.5210000,0.5248000,8481105.00000000,3781922.00000000,-917261.00000000
1707429600000,0.5248000,0.5250000,0.5151000,0.5206000,11035493.00000000,4392761.00000000,-2249971.00000000
1707433200000,0.5207000,0.5225000,0.5006000,0.5100000,29316752.00000000,11730179.00000000,-5856394.00000000
1707436800000,0.5099000,0.5120000,0.5018000,0.5064000,21312694.00000000,9993164.00000000,-1326366.00000000
1707440400000,0.5064000,0.5065000,0.4880000,0.5000000,39250205.00000000,16913280.00000000,-5423645.00000000
1707444000000,0.5000000,0.5099000,0.4939000,0.5092000,21974638.00000000,11360705.00000000,746772.00000000
1707447600000,0.5092000,0.5109000,0.5006000,0.5026000,16572500.00000000,7847376.00000000,-877748.00000000
1707451200000,0.5026000,0.5063000,0.4979000,0.5024000,14115291.00000000,7003459.00000000,-108373.00000000
1707454800000,0.5024000,0.5060000,0.5005000,0.5059000,12499441.00000000,6600587.00000000,701733.00000000
1707458400000,0.5058000,0.5075000,0.5013000,0.5031000,11543017.00000000,5644322.00000000,-254373.00000000
1707462000000,0.5031000,0.5085000,0.5025000,0.5037000,12371186.00000000,5738385.00000000,-894416.00000000
1707465600000,0.5038000,0.5050000,0.4992000,0.5008000,13050600.00000000,5383981.00000000,-2282638.00000000
1707469200000,0.5009000,0.5035000,0.4905000,0.4986000,26008637.00000000,11676846.00000000,-2654945.00000000
1707472800000,0.4987000,0.5013000,0.4928000,0.4991000,13351827.00000000,6685306.00000000,18785.00000000
1707476400000,0.4990000,0.5075000,0.4968000,0.5073000,18162121.00000000,9695868.00000000,1229615.00000000
1707480000000,0.5073000,0.5121000,0.5020000,0.5084000,26349446.00000000,12660481.00000000,-1028484.00000000
1707483600000,0.5083000,0.5192000,0.5064000,0.5108000,31098515.00000000,14208982.00000000,-2680551.00000000
1707487200000,0.5109000,0.5183000,0.4924000,0.5022000,45224879.00000000,20224584.00000000,-4775711.00000000
1707490800000,0.5022000,0.5067000,0.4968000,0.5019000,19577280.00000000,9839622.00000000,101964.00000000
1707494400000,0.5019000,0.5042000,0.4985000,0.5016000,14629391.00000000,6920990.00000000,-787411.00000000
