open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,2.253500,2.273300,2.246000,2.267000,1396072.00000000,735182.00000000,74292.00000000
1675512000000,2.266700,2.302000,2.257400,2.294400,1940013.00000000,1001349.00000000,62685.00000000
1675515600000,2.294300,2.352600,2.292300,2.318500,3542171.00000000,1637510.00000000,-267151.00000000
1675519200000,2.318600,2.320600,2.286500,2.302900,1411015.00000000,652213.00000000,-106589.00000000
1675522800000,2.302100,2.304400,2.280100,2.292100,1220375.00000000,542906.00000000,-134563.00000000
1675526400000,2.292100,2.296100,2.251100,2.263600,2173009.00000000,977694.00000000,-217621.00000000
1675530000000,2.263500,2.282000,2.253700,2.276400,1593433.00000000,866375.00000000,139317.00000000
1675533600000,2.275900,2.287600,2.257500,2.278300,1428926.00000000,740998.00000000,53070.00000000
1675537200000,2.278400,2.291300,2.250100,2.251600,813945.00000000,332726.00000000,-148493.00000000
1675540800000,2.251600,2.269200,2.243200,2.257400,890312.00000000,473247.00000000,56182.00000000
1675544400000,2.257100,2.257400,2.210000,2.219800,1862804.00000000,718382.00000000,-426040.00000000
1675548000000,2.219800,2.238500,2.206100,2.234100,1575451.00000000,786822.00000000,-1807.00000000
1675551600000,2.234100,2.244000,2.191000,2.211300,2400749.00000000,1080329.00000000,-240091.00000000
1675555200000,2.211200,2.219900,2.174600,2.187800,2251707.00000000,958802.00000000,-334103.00000000
1675558800000,2.187900,2.214100,2.182000,2.195300,1990355.00000000,1011268.00000000,32181.00000000
1675562400000,2.194800,2.208500,2.190100,2.197900,1348810.00000000,621058.00000000,-106694.00000000
1675566000000,2.198000,2.217500,2.195200,2.200200,1498709.00000000,680850.00000000,-137009.00000000
1675569600000,2.200300,2.206300,2.187800,2.190500,1054932.00000000,432883.00000000,-189166.00000000
1675573200000,2.190400,2.200200,2.181200,2.193400,855137.00000000,394264.00000000,-66609.00000000
1675576800000,2.193300,2.198900,2.176100,2.190400,1103371.00000000,498322.00000000,-106727.00000000
1675580400000,2.190400,2.195800,2.180900,2.192000,901933.00000000,499977.00000000,98021.00000000
1675584000000,2.192300,2.209000,2.185000,2.206200,1154386.00000000,612328.00000000,70270.00000000
1675587600000,2.206300,2.207100,2.180000,2.182800,1203796.00000000,494322.00000000,-215152.00000000
1675591200000,2.182700,2.197200,2.170200,2.192800,1264900.00000000,531633.00000000,-201634.00000000
1675594800000,2.192800,2.193200,2.120000,2.138300,3694042.00000000,1384563.00000000,-924916.00000000
1675598400000,2.138300,2.151400,1.858100,2.015400,7795653.00000000,2964481.00000000,-1866691.00000000
1675602000000,2.015500,2.079900,2.012100,2.057600,5151395.00000000,2580997.00000000,10599.00000000
1675605600000,2.057700,2.078100,2.046000,2.070000,2308962.00000000,1103599.00000000,-101764.00000000
1675609200000,2.069600,2.078400,2.033300,2.044200,2670322.00000000,1109893.00000000,-450536.00000000
1675612800000,2.044200,2.059600,2.017200,2.025400,2302925.00000000,1100516.00000000,-101893.00000000
1675616400000,2.025500,2.043100,2.000000,2.007700,3185842.00000000,1617188.00000000,48534.00000000
1675620000000,2.007300,2.031300,1.984300,1.997200,2281364.00000000,1060962.00000000,-159440.00000000
1675623600000,1.997200,2.019500,1.991000,2.013500,1688320.00000000,864930.00000000,41540.00000000
1675627200000,2.013000,2.017800,1.989100,1.998200,1711459.00000000,820140.00000000,-71179.00000000
1675630800000,1.998100,2.010100,1.964000,2.009400,1689231.00000000,818625.00000000,-51981.00000000
1675634400000,2.009500,2.054800,2.004800,2.041900,1668170.00000000,972790.00000000,277410.00000000
1675638000000,2.041900,2.054300,2.035800,2.047300,1467236.00000000,760517.00000000,53798.00000000
1675641600000,2.047300,2.127900,2.044300,2.096400,3358669.00000000,1705203.00000000,51737.00000000
1675645200000,2.096100,2.101800,2.046700,2.054200,1795954.00000000,794559.00000000,-206836.00000000
1675648800000,2.054200,2.068700,2.025100,2.026700,1427159.00000000,634169.00000000,-158821.00000000
