open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,7.214,7.240,7.206,7.214,482011.83000000,229344.20000000,-23323.43000000
1675512000000,7.215,7.240,7.200,7.233,548208.51000000,240951.88000000,-66304.75000000
1675515600000,7.234,7.318,7.234,7.280,1958064.60000000,990160.11000000,22255.62000000
1675519200000,7.280,7.286,7.242,7.269,613352.16000000,253509.41000000,-106333.34000000
1675522800000,7.268,7.286,7.252,7.268,738311.52000000,374929.77000000,11548.02000000
1675526400000,7.267,7.289,7.221,7.264,866626.81000000,423596.50000000,-19433.81000000
1675530000000,7.265,7.369,7.244,7.325,2713430.73000000,1452619.56000000,191808.39000000
1675533600000,7.325,7.347,7.274,7.326,1284612.93000000,633301.69000000,-18009.55000000
1675537200000,7.326,7.339,7.302,7.322,685966.12000000,348145.10000000,10324.08000000
1675540800000,7.321,7.348,7.307,7.316,583556.84000000,275699.04000000,-32158.76000000
1675544400000,7.316,7.316,7.290,7.308,405598.37000000,180310.49000000,-44977.39000000
1675548000000,7.309,7.337,7.294,7.306,476789.87000000,225234.53000000,-26320.81000000
1675551600000,7.306,7.328,7.180,7.242,1669440.02000000,661474.40000000,-346491.22000000
1675555200000,7.243,7.257,7.150,7.179,1385098.00000000,559740.29000000,-265617.42000000
1675558800000,7.180,7.204,7.163,7.204,685360.93000000,313017.53000000,-59325.87000000
1675562400000,7.203,7.221,7.168,7.168,661133.42000000,306080.33000000,-48972.76000000
1675566000000,7.168,7.212,7.163,7.212,360248.83000000,191378.97000000,22509.11000000
1675569600000,7.211,7.230,7.197,7.222,313547.28000000,155826.24000000,-1894.80000000
1675573200000,7.222,7.237,7.214,7.216,243069.98000000,126761.50000000,10453.02000000
1675576800000,7.216,7.236,7.202,7.228,426974.81000000,217771.81000000,8568.81000000
1675580400000,7.228,7.242,7.201,7.213,468040.62000000,221680.94000000,-24678.74000000
1675584000000,7.213,7.250,7.205,7.231,462615.47000000,228360.37000000,-5894.73000000
1675587600000,7.231,7.243,7.202,7.209,391318.84000000,175764.53000000,-39789.78000000
1675591200000,7.208,7.235,7.203,7.221,302254.53000000,163633.84000000,25013.15000000
1675594800000,7.221,7.225,7.163,7.181,570509.63000000,192602.23000000,-185305.17000000
1675598400000,7.181,7.203,6.822,6.989,3463804.73000000,1375412.92000000,-712978.89000000
1675602000000,6.989,7.042,6.941,7.017,2578001.58000000,1314878.93000000,51756.28000000
1675605600000,7.016,7.054,7.007,7.037,1079423.72000000,548787.15000000,18150.58000000
1675609200000,7.036,7.063,6.981,7.001,1424762.86000000,609643.83000000,-205475.20000000
1675612800000,7.001,7.022,6.960,6.971,1473518.58000000,706688.78000000,-60141.02000000
1675616400000,6.971,6.998,6.912,6.943,2129537.29000000,1072694.44000000,15851.59000000
1675620000000,6.943,7.000,6.928,6.963,1230197.61000000,677639.95000000,125082.29000000
1675623600000,6.963,6.978,6.920,6.968,1251586.13000000,588212.94000000,-75160.25000000
1675627200000,6.967,6.978,6.919,6.933,632425.39000000,294114.75000000,-44195.89000000
1675630800000,6.933,6.946,6.855,6.929,1733244.68000000,784900.78000000,-163443.12000000
1675634400000,6.930,6.988,6.910,6.976,682901.43000000,325003.35000000,-32894.73000000
1675638000000,6.975,6.997,6.962,6.984,703139.54000000,334895.41000000,-33348.72000000
1675641600000,6.984,7.036,6.972,7.025,984466.46000000,481541.27000000,-21383.92000000
1675645200000,7.026,7.043,6.985,6.993,762602.22000000,363567.28000000,-35467.66000000
1675648800000,6.993,7.006,6.932,6.935,704503.28000000,305270.53000000,-93962.22000000
1675652400000,6.935,6.975,6.906,6.958,635540.19000000,323551.76000000,11563.33000000
1675656000000,6.957,6.983,6.950,6.955,432512.98000000,219814.37000000,7115.76000000
1675659600000,6.954,6.970,6.852,6.934,1575511.19000000,718708.93000000,-138093.33000000
1675663200000,6.933,6.974,6.918,6.956,675824.80000000,332873.42000000,-10077.96000000
1675666800000,6.957,7.016,6.934,7.014,794933.44000000,394495.75000000,-5941.94000000
1675670400000,7.014,7.029,6.990,6.996,828621.15000000,456820.01000000,85018.87000000
1675674000000,6.996,6.999,6.954,6.964,980068.34000000,531928.34000000,83788.34000000
1675677600000,6.964,6.977,6.930,6.951,539776.19000000,225542.61000000,-88690.97000000
1675681200000,6.950,6.984,6.905,6.966,997783.81000000,472230.80000000,-53322.21000000
1675684800000,6.966,6.987,6.947,6.965,766430.83000000,342747.47000000,-80935.89000000
1675688400000,6.966,6.988,6.940,6.953,1042503.96000000,522584.99000000,2666.02000000
1675692000000,6.953,6.984,6.920,6.963,1206864.07000000,574953.47000000,-56957.13000000
1675695600000,6.962,7.044,6.922,7.040,1657890.59000000,842816.63000000,27742.67000000
1675699200000,7.041,7.064,6.951,6.983,2651013.70000000,1100584.34000000,-449845.02000000
1675702800000,6.983,6.997,6.961,6.983,744908.26000000,365289.95000000,-14328.36000000
1675706400000,6.983,7.003,6.946,6.971,764990.83000000,384673.08000000,4355.33000000
1675710000000,6.971,7.010,6.969,7.004,621673.90000000,314800.22000000,7926.54000000
1675713600000,7.003,7.005,6.973,6.998,391248.24000000,202981.21000000,14714.18000000
1675717200000,6.998,6.999,6.932,6.950,629859.53000000,292441.34000000,-44976.85000000
1675720800000,6.950,6.955,6.900,6.909,832815.49000000,362417.27000000,-107980.95000000
1675724400000,6.909,6.915,6.761,6.831,3547785.52000000,1510610.03000000,-526565.46000000
1675728000000,6.831,6.883,6.811,6.882,1166338.52000000,645014.42000000,123690.32000000
1675731600000,6.882,6.915,6.875,6.909,688947.71000000,320595.44000000,-47756.83000000
1675735200000,6.910,6.937,6.892,6.935,638078.74000000,293360.92000000,-51356.90000000
1675738800000,6.936,6.949,6.916,6.933,516192.83000000,263111.34000000,10029.85000000
1675742400000,6.933,6.950,6.920,6.925,388481.47000000,177342.36000000,-33796.75000000
1675746000000,6.925,6.962,6.925,6.954,459185.96000000,209560.60000000,-40064.76000000
1675749600000,6.953,6.978,6.942,6.943,588893.53000000,282072.70000000,-24748.13000000
1675753200000,6.943,6.962,6.927,6.933,564943.89000000,286113.92000000,7283.95000000
1675756800000,6.933,6.983,6.907,6.952,1133646.85000000,612166.66000000,90686.47000000
1675760400000,6.951,7.031,6.949,7.017,1149149.47000000,642870.93000000,136592.39000000
1675764000000,7.018,7.051,7.005,7.031,1073715.41000000,490779.17000000,-92157.07000000
1675767600000,7.031,7.050,7.025,7.030,682595.11000000,309734.61000000,-63125.89000000
1675771200000,7.031,7.062,7.017,7.053,823100.58000000,374460.30000000,-74179.98000000
1675774800000,7.052,7.059,6.990,7.026,1258571.36000000,583389.69000000,-91791.98000000
1675778400000,7.027,7.049,7.003,7.016,1240065.37000000,606755.16000000,-26555.05000000
1675782000000,7.017,7.023,6.947,6.976,1605326.16000000,729548.32000000,-146229.52000000
1675785600000,6.975,7.013,6.951,6.991,1099947.80000000,534596.20000000,-30755.40000000
1675789200000,6.992,7.143,6.938,7.124,2867778.09000000,1455225.65000000,42673.21000000
1675792800000,7.125,7.151,6.907,6.966,4978555.79000000,2407755.47000000,-163044.85000000
1675796400000,6.966,7.091,6.964,7.077,2026913.47000000,1045303.51000000,63693.55000000
1675800000000,7.077,7.180,7.053,7.161,1835441.87000000,1003306.17000000,171170.47000000
1675803600000,7.160,7.197,7.153,7.171,1476579.23000000,725069.48000000,-26440.27000000
1675807200000,7.172,7.196,7.146,7.174,981917.84000000,491535.39000000,1152.94000000
1675810800000,7.174,7.217,7.173,7.199,1113089.67000000,536141.06000000,-40807.55000000
1675814400000,7.200,7.280,7.197,7.249,1939109.73000000,947258.15000000,-44593.43000000
1675818000000,7.250,7.295,7.219,7.223,1192458.36000000,564429.83000000,-63598.70000000
1675821600000,7.223,7.239,7.186,7.188,670222.53000000,300226.68000000,-69769.17000000
1675825200000,7.188,7.221,7.183,7.209,373443.84000000,200687.77000000,27931.70000000
1675828800000,7.209,7.226,7.199,7.208,395084.24000000,173115.73000000,-48852.78000000
1675832400000,7.209,7.226,7.172,7.201,575310.26000000,280871.56000000,-13567.14000000
1675836000000,7.200,7.274,7.195,7.257,1211623.11000000,698438.98000000,185254.85000000
1675839600000,7.258,7.290,7.221,7.255,1209539.76000000,524054.70000000,-161430.36000000
1675843200000,7.254,7.260,7.179,7.189,1092177.01000000,465271.73000000,-161633.55000000
1675846800000,7.189,7.213,7.163,7.186,740461.66000000,382267.31000000,24072.96000000
1675850400000,7.187,7.193,7.157,7.179,651906.65000000,319078.10000000,-13750.45000000
1675854000000,7.179,7.242,7.166,7.231,811682.65000000,445708.27000000,79733.89000000
1675857600000,7.231,7.260,7.195,7.217,1340411.92000000,626081.71000000,-88248.50000000
1675861200000,7.217,7.252,7.176,7.251,1924796.20000000,922408.72000000,-79978.76000000
1675864800000,7.251,7.308,7.189,7.217,3574747.33000000,1753862.15000000,-67023.03000000
1675868400000,7.217,7.217,7.087,7.095,3719401.54000000,1718032.05000000,-283337.44000000
1675872000000,7.094,7.123,6.950,7.123,5190016.67000000,2465637.05000000,-258742.57000000
1675875600000,7.123,7.172,7.091,7.167,2059886.58000000,1025286.55000000,-9313.48000000
1675879200000,7.166,7.179,7.060,7.091,1503323.23000000,660184.91000000,-182953.41000000
1675882800000,7.091,7.134,7.065,7.087,1240473.48000000,601430.76000000,-37611.96000000
1675886400000,7.088,7.089,7.010,7.014,1584882.19000000,730966.15000000,-122949.89000000
1675890000000,7.013,7.114,7.004,7.102,760953.35000000,397872.51000000,34791.67000000
1675893600000,7.102,7.122,7.089,7.097,447749.39000000,201770.17000000,-44209.05000000
1675897200000,7.097,7.144,7.063,7.137,984643.37000000,494505.42000000,4367.47000000
1675900800000,7.137,7.215,7.105,7.208,1588054.68000000,816213.39000000,44372.10000000
1675904400000,7.208,7.277,7.180,7.204,2179442.53000000,1016529.51000000,-146383.51000000
1675908000000,7.204,7.234,7.055,7.061,2367144.53000000,1120477.16000000,-126190.21000000
1675911600000,7.061,7.064,6.850,6.940,6990273.36000000,3407938.57000000,-174396.22000000
1675915200000,6.941,6.977,6.864,6.971,2007907.00000000,929763.93000000,-148379.14000000
1675918800000,6.972,7.027,6.955,6.984,1241618.51000000,612079.12000000,-17460.27000000
1675922400000,6.983,7.110,6.965,7.105,2196284.94000000,1113530.17000000,30775.40000000
1675926000000,7.106,7.470,7.101,7.446,8973927.41000000,4646628.87000000,319330.33000000
1675929600000,7.446,7.823,7.410,7.721,19033935.36000000,9754508.87000000,475082.38000000
1675933200000,7.722,7.765,7.558,7.662,11581302.13000000,5569583.44000000,-442135.25000000
1675936800000,7.662,7.678,7.541,7.570,4058589.09000000,1881473.77000000,-295641.55000000
1675940400000,7.571,7.591,7.502,7.534,5008495.10000000,2499998.96000000,-8497.18000000
1675944000000,7.535,7.675,7.502,7.635,6520592.87000000,3529971.86000000,539350.85000000
1675947600000,7.634,7.750,7.601,7.659,6163901.21000000,3002075.48000000,-159750.25000000
1675951200000,7.659,7.789,7.630,7.723,8614892.21000000,4239434.54000000,-136023.13000000
1675954800000,7.724,7.760,7.596,7.605,6929274.24000000,3209986.47000000,-509301.30000000
1675958400000,7.606,7.717,7.510,7.585,9754893.40000000,4898310.73000000,41728.06000000
1675962000000,7.584,7.667,7.513,7.585,5169920.74000000,2651607.90000000,133295.06000000
1675965600000,7.584,7.638,7.505,7.632,3952253.08000000,1935776.50000000,-80700.08000000
1675969200000,7.632,7.641,7.230,7.327,15185059.73000000,7265175.15000000,-654709.43000000
1675972800000,7.328,7.389,7.166,7.313,9251724.54000000,4551135.58000000,-149453.38000000
1675976400000,7.314,7.321,6.980,7.093,9645262.00000000,4512754.89000000,-619752.22000000
1675980000000,7.094,7.149,6.812,6.911,6815155.16000000,3169657.04000000,-475841.08000000
1675983600000,6.913,7.030,6.886,6.982,4452886.54000000,2238499.59000000,24112.64000000
1675987200000,6.981,7.120,6.941,7.005,5269965.12000000,2644404.73000000,18844.34000000
1675990800000,7.005,7.061,6.963,7.004,2954768.50000000,1452510.27000000,-49747.96000000
1675994400000,7.003,7.017,6.910,6.995,2720313.48000000,1286982.90000000,-146347.68000000
1675998000000,6.995,7.007,6.935,6.949,2080552.23000000,1009257.20000000,-62037.83000000
1676001600000,6.949,6.958,6.809,6.845,3665888.70000000,1649885.28000000,-366118.14000000
1676005200000,6.845,6.927,6.754,6.894,4236315.34000000,2038925.37000000,-158464.60000000
1676008800000,6.895,6.967,6.885,6.954,2035220.00000000,1009425.39000000,-16369.22000000
1676012400000,6.955,6.986,6.906,6.961,2196943.31000000,1162395.18000000,127847.05000000
1676016000000,6.962,6.975,6.927,6.963,1984265.20000000,898521.38000000,-187222.44000000
1676019600000,6.963,7.007,6.943,6.949,2262099.80000000,1145315.46000000,28531.12000000
1676023200000,6.950,6.996,6.922,6.961,1625881.61000000,746713.97000000,-132453.67000000
1676026800000,6.962,6.962,6.878,6.943,2918419.69000000,1404901.48000000,-108616.73000000
1676030400000,6.943,7.033,6.901,6.905,3703829.95000000,1877515.79000000,51201.63000000
1676034000000,6.906,6.989,6.905,6.940,2050943.24000000,999805.33000000,-51332.58000000
1676037600000,6.938,6.993,6.910,6.953,2669168.96000000,1221072.18000000,-227024.60000000
1676041200000,6.954,6.992,6.806,6.888,4798979.55000000,2248552.91000000,-301873.73000000
1676044800000,6.888,6.942,6.817,6.855,3561797.93000000,1701089.45000000,-159619.03000000
1676048400000,6.854,6.996,6.849,6.992,3432379.01000000,1701864.31000000,-28650.39000000
1676052000000,6.993,7.000,6.949,6.959,1515613.90000000,700083.76000000,-115446.38000000
1676055600000,6.959,7.033,6.938,7.003,1738819.65000000,835281.80000000,-68256.05000000
1676059200000,7.003,7.025,6.977,7.012,975596.75000000,467739.59000000,-40117.57000000
1676062800000,7.013,7.023,6.843,6.864,3354299.66000000,1664231.29000000,-25837.08000000
1676066400000,6.864,6.918,6.823,6.857,1679173.49000000,865562.53000000,51951.57000000
1676070000000,6.857,6.925,6.836,6.886,1712510.85000000,819220.54000000,-74069.77000000
1676073600000,6.886,6.938,6.870,6.912,1417404.98000000,700097.34000000,-17210.30000000
1676077200000,6.911,6.933,6.860,6.882,1291264.14000000,686358.18000000,81452.22000000
1676080800000,6.883,6.933,6.870,6.896,825637.71000000,424959.57000000,24281.43000000
1676084400000,6.897,6.955,6.897,6.911,931793.97000000,450599.63000000,-30594.71000000
1676088000000,6.912,6.926,6.892,6.910,642648.15000000,352071.62000000,61495.09000000
1676091600000,6.911,6.914,6.860,6.868,694323.54000000,344041.89000000,-6239.76000000
1676095200000,6.869,6.897,6.851,6.896,622286.95000000,323606.11000000,24925.27000000
1676098800000,6.896,6.922,6.866,6.911,727817.60000000,347959.10000000,-31899.40000000
1676102400000,6.911,6.923,6.891,6.917,620081.29000000,309563.37000000,-954.55000000
1676106000000,6.916,6.927,6.897,6.920,624974.83000000,322319.50000000,19664.17000000
1676109600000,6.920,6.922,6.872,6.897,920969.02000000,464165.61000000,7362.20000000
1676113200000,6.898,6.913,6.882,6.912,498269.80000000,232563.99000000,-33141.82000000
1676116800000,6.913,6.942,6.880,6.912,1388950.00000000,670028.14000000,-48893.72000000
1676120400000,6.912,6.957,6.904,6.952,1354410.65000000,661923.96000000,-30562.73000000
1676124000000,6.951,6.994,6.941,6.992,1634429.47000000,829200.76000000,23972.05000000
1676127600000,6.992,7.004,6.944,6.977,1046915.28000000,516115.16000000,-14684.96000000
1676131200000,6.976,6.982,6.916,6.927,1202207.37000000,476982.53000000,-248242.31000000
1676134800000,6.926,6.933,6.894,6.922,780733.97000000,388057.69000000,-4618.59000000
1676138400000,6.923,6.945,6.877,6.905,1061886.76000000,535568.76000000,9250.76000000
1676142000000,6.904,6.925,6.893,6.918,452421.21000000,242933.32000000,33445.43000000
1676145600000,6.919,6.953,6.901,6.940,581540.96000000,288292.75000000,-4955.46000000
1676149200000,6.941,7.010,6.927,7.006,1287760.26000000,622091.88000000,-43576.50000000
1676152800000,7.005,7.015,6.975,7.000,737382.84000000,332376.29000000,-72630.26000000
1676156400000,6.999,7.032,6.987,6.997,893202.75000000,447232.68000000,1262.61000000
1676160000000,6.997,7.013,6.957,6.959,950317.47000000,437204.36000000,-75908.75000000
1676163600000,6.959,6.978,6.945,6.948,450581.45000000,243916.92000000,37252.39000000
1676167200000,6.948,6.972,6.930,6.956,591751.01000000,314805.63000000,37860.25000000
1676170800000,6.957,6.962,6.938,6.942,389104.57000000,193043.13000000,-3018.31000000
1676174400000,6.942,6.948,6.911,6.942,822697.52000000,407664.88000000,-7367.76000000
