open_time,open,high,low,close,volume,taker_buy,delta
1766509200000,3.734000,4.389000,3.455000,3.738000,2385834.00000000,1193374.50000000,915.00000000
1766512800000,3.738000,3.794000,3.350000,3.726000,4810624.30000000,2428515.70000000,46407.10000000
1766516400000,3.725000,3.800000,3.575000,3.658000,2213650.30000000,1088491.20000000,-36667.90000000
1766520000000,3.655000,3.780000,3.564000,3.725000,1550585.90000000,797067.10000000,43548.30000000
1766523600000,3.724000,3.775000,3.570000,3.615000,1134982.30000000,543655.50000000,-47671.30000000
1766527200000,3.615000,3.672000,3.538000,3.669000,915921.10000000,492263.50000000,68605.90000000
1766530800000,3.670000,3.700000,3.584000,3.629000,631309.20000000,321055.70000000,10802.20000000
1766534400000,3.629000,3.675000,3.450000,3.614000,1251967.90000000,652776.70000000,53585.50000000
1766538000000,3.616000,3.650000,3.489000,3.543000,778533.20000000,393171.60000000,7810.00000000
1766541600000,3.543000,3.575000,3.251000,3.270000,1360244.90000000,622621.60000000,-115001.70000000
1766545200000,3.271000,3.700000,3.112000,3.505000,4678534.10000000,2532900.90000000,387267.70000000
1766548800000,3.506000,3.645000,3.339000,3.352000,2456214.90000000,1192025.70000000,-72163.50000000
1766552400000,3.353000,3.475000,3.323000,3.444000,1342842.00000000,707642.40000000,72442.80000000
1766556000000,3.442000,3.599000,3.422000,3.564000,1620006.50000000,856621.50000000,93236.50000000
1766559600000,3.563000,3.577000,3.408000,3.441000,1381749.80000000,663947.90000000,-53854.00000000
1766563200000,3.442000,3.531000,3.425000,3.458000,1089091.40000000,530846.80000000,-27397.80000000
1766566800000,3.458000,3.524000,3.431000,3.438000,775335.90000000,383146.10000000,-9043.70000000
1766570400000,3.438000,3.445000,3.313000,3.362000,1460015.30000000,614902.10000000,-230211.10000000
1766574000000,3.361000,3.457000,3.321000,3.338000,875637.20000000,443538.50000000,11439.80000000
1766577600000,3.336000,3.490000,3.325000,3.450000,895273.70000000,514866.60000000,134459.50000000
1766581200000,3.450000,3.576000,3.360000,3.496000,1508952.60000000,846055.00000000,183157.40000000
1766584800000,3.497000,3.646000,3.444000,3.610000,2024500.80000000,1104073.90000000,183647.00000000
1766588400000,3.609000,3.612000,3.440000,3.465000,991196.20000000,486173.40000000,-18849.40000000
1766592000000,3.465000,3.550000,3.408000,3.426000,1343702.00000000,668391.50000000,-6919.00000000
1766595600000,3.426000,3.486000,3.402000,3.423000,848558.60000000,433322.70000000,18086.80000000
1766599200000,3.424000,3.473000,3.404000,3.453000,645942.30000000,349741.50000000,53540.70000000
1766602800000,3.453000,3.490000,3.423000,3.468000,440618.80000000,269125.10000000,97631.40000000
1766606400000,3.468000,3.468000,3.423000,3.428000,332396.80000000,160959.90000000,-10477.00000000
1766610000000,3.426000,3.444000,3.408000,3.408000,302533.20000000,142250.00000000,-18033.20000000
1766613600000,3.410000,3.475000,3.406000,3.417000,484427.50000000,260934.90000000,37442.30000000
1766617200000,3.418000,3.430000,3.398000,3.401000,453568.10000000,206703.80000000,-40160.50000000
1766620800000,3.401000,3.443000,3.389000,3.394000,757326.30000000,309747.30000000,-137831.70000000
1766624400000,3.394000,3.400000,3.384000,3.386000,377729.50000000,138607.10000000,-100515.30000000
1766628000000,3.386000,3.458000,3.384000,3.409000,598061.50000000,327381.10000000,56700.70000000
1766631600000,3.408000,3.474000,3.408000,3.429000,697418.50000000,367326.90000000,37235.30000000
1766635200000,3.429000,3.456000,3.423000,3.440000,466027.20000000,242130.00000000,18232.80000000
1766638800000,3.440000,3.520000,3.437000,3.493000,817820.90000000,416986.20000000,16151.50000000
1766642400000,3.492000,3.516000,3.470000,3.504000,758464.90000000,364720.50000000,-29023.90000000
1766646000000,3.504000,3.525000,3.479000,3.510000,493084.90000000,272182.70000000,51280.50000000
1766649600000,3.510000,3.562000,3.473000,3.474000,833192.40000000,372921.30000000,-87349.80000000
1766653200000,3.475000,3.488000,3.468000,3.473000,348747.00000000,140832.50000000,-67082.00000000
1766656800000,3.472000,3.506000,3.469000,3.485000,511205.90000000,242501.10000000,-26203.70000000
1766660400000,3.485000,3.507000,3.481000,3.503000,439785.90000000,204636.90000000,-30512.10000000
1766664000000,3.504000,3.507000,3.460000,3.463000,591546.20000000,178918.70000000,-233708.80000000
1766667600000,3.464000,3.473000,3.454000,3.470000,579655.20000000,248081.90000000,-83491.40000000
1766671200000,3.470000,3.477000,3.453000,3.464000,333958.40000000,156618.20000000,-20722.00000000
1766674800000,3.463000,3.504000,3.376000,3.462000,3123438.60000000,1411173.50000000,-301091.60000000
1766678400000,3.463000,3.510000,3.412000,3.507000,915105.70000000,513852.60000000,112599.50000000
1766682000000,3.508000,3.514000,3.188000,3.411000,2520052.30000000,1147840.10000000,-224372.10000000
1766685600000,3.411000,3.445000,3.334000,3.360000,890759.90000000,462894.30000000,35028.70000000
1766689200000,3.360000,3.383000,3.333000,3.343000,307606.00000000,162995.10000000,18384.20000000
1766692800000,3.344000,3.359000,3.333000,3.340000,282072.40000000,154718.20000000,27364.00000000
1766696400000,3.340000,3.347000,3.315000,3.320000,376648.00000000,207867.20000000,39086.40000000
1766700000000,3.320000,3.332000,3.282000,3.285000,480335.80000000,205865.20000000,-68605.40000000
1766703600000,3.284000,3.349000,3.276000,3.312000,582878.60000000,327610.80000000,72343.00000000
1766707200000,3.313000,3.361000,3.274000,3.346000,634270.40000000,381652.10000000,129033.80000000
1766710800000,3.346000,3.409000,3.311000,3.328000,570523.30000000,322186.10000000,73848.90000000
1766714400000,3.329000,3.334000,3.264000,3.297000,773666.90000000,336140.10000000,-101386.70000000
1766718000000,3.298000,3.390000,3.293000,3.369000,525450.80000000,259582.20000000,-6286.40000000
1766721600000,3.368000,3.443000,3.351000,3.384000,491248.80000000,271034.00000000,50819.20000000
1766725200000,3.385000,3.404000,3.352000,3.372000,214035.00000000,111553.90000000,9072.80000000
