open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,98.99,99.14,98.90,99.12,45218.27700000,22317.00900000,-584.25900000
1675512000000,99.13,99.30,98.85,99.23,49506.48900000,23530.37200000,-2445.74500000
1675515600000,99.23,100.09,99.19,99.65,180584.50700000,93191.30100000,5798.09500000
1675519200000,99.65,99.89,99.30,99.85,73158.27400000,37352.51700000,1546.76000000
1675522800000,99.84,99.89,99.40,99.78,62322.86500000,28252.60100000,-5817.66300000
1675526400000,99.77,100.14,99.34,99.54,85445.92700000,43988.32400000,2530.72100000
1675530000000,99.54,100.00,99.16,99.76,94994.64500000,45433.07600000,-4128.49300000
1675533600000,99.75,100.06,99.29,99.68,85781.72800000,43946.33700000,2110.94600000
1675537200000,99.68,99.80,99.42,99.44,38343.79200000,18327.03900000,-1689.71400000
1675540800000,99.44,99.70,99.25,99.26,45207.11000000,25391.14800000,5575.18600000
1675544400000,99.25,99.37,99.03,99.15,48334.30300000,24044.68500000,-244.93300000
1675548000000,99.15,99.38,98.90,98.94,52411.68500000,22953.01500000,-6505.65500000
1675551600000,98.95,99.16,98.24,98.51,111877.92500000,50090.42200000,-11697.08100000
1675555200000,98.51,98.59,97.68,98.01,154325.10000000,62837.75100000,-28649.59800000
1675558800000,98.03,98.50,97.92,98.43,54571.46700000,30301.80300000,6032.13900000
1675562400000,98.43,98.88,98.23,98.25,79202.43800000,38268.18700000,-2666.06400000
1675566000000,98.24,98.72,98.22,98.69,43171.51100000,22546.41000000,1921.30900000
1675569600000,98.69,98.81,98.57,98.74,38525.33500000,20837.44900000,3149.56300000
1675573200000,98.74,98.74,98.28,98.49,41471.34200000,19658.85400000,-2153.63400000
1675576800000,98.48,98.76,98.36,98.44,50023.66900000,25723.38900000,1423.10900000
1675580400000,98.44,98.82,98.43,98.76,36148.74200000,18018.08600000,-112.57000000
1675584000000,98.76,98.88,98.39,98.66,83320.05700000,42436.12300000,1552.18900000
1675587600000,98.66,98.87,98.44,98.51,37873.12300000,19389.61300000,906.10300000
1675591200000,98.50,98.70,98.43,98.59,29817.70300000,14728.41800000,-360.86700000
1675594800000,98.58,98.62,97.92,97.99,96600.11100000,40201.97200000,-16196.16700000
1675598400000,97.98,98.13,96.60,96.90,250482.38000000,114152.33600000,-22177.70800000
1675602000000,96.90,97.30,96.18,97.26,239884.86600000,119276.01500000,-1332.83600000
1675605600000,97.27,97.50,97.00,97.27,90345.67700000,45718.84500000,1092.01300000
1675609200000,97.27,97.50,96.54,96.77,100186.29300000,44583.51300000,-11019.26700000
1675612800000,96.78,97.77,96.55,96.72,172604.15200000,86350.10600000,96.06000000
1675616400000,96.73,97.04,95.54,95.67,240924.64400000,115339.97000000,-10244.70400000
1675620000000,95.67,95.95,95.25,95.44,130352.94300000,62773.25500000,-4806.43300000
1675623600000,95.45,95.77,95.10,95.53,105663.73400000,51619.61300000,-2424.50800000
1675627200000,95.52,95.55,95.04,95.27,60268.87800000,30109.13800000,-50.60200000
1675630800000,95.28,95.61,94.75,95.60,105447.90300000,49433.47200000,-6580.95900000
1675634400000,95.61,96.55,95.56,96.20,76318.86500000,36212.47500000,-3893.91500000
1675638000000,96.19,96.66,96.02,96.63,88495.64300000,45127.74800000,1759.85300000
1675641600000,96.63,97.10,96.44,96.99,109724.74500000,56934.82700000,4144.90900000
1675645200000,96.99,97.12,96.47,96.53,66973.63800000,28088.66800000,-10796.30200000
1675648800000,96.54,96.60,95.66,95.68,89351.97200000,36190.73200000,-16970.50800000
1675652400000,95.68,96.13,95.51,95.87,58579.21900000,28412.70400000,-1753.81100000
1675656000000,95.86,96.53,95.84,96.11,83290.95400000,39992.69500000,-3305.56400000
1675659600000,96.10,96.11,94.77,95.67,146861.19000000,67933.54500000,-10994.10000000
1675663200000,95.67,96.14,95.58,95.88,78507.91200000,41475.05900000,4442.20600000
1675666800000,95.89,96.48,95.69,96.48,98747.59100000,55640.45500000,12533.31900000
1675670400000,96.48,96.89,96.32,96.38,96347.75500000,51538.18900000,6728.62300000
1675674000000,96.39,96.45,95.83,95.88,61854.42600000,25763.71400000,-10326.99800000
1675677600000,95.88,96.17,95.58,95.99,67795.79900000,30690.00100000,-6415.79700000
1675681200000,95.98,96.60,95.48,96.57,106802.07500000,56344.97400000,5887.87300000
1675684800000,96.57,96.93,96.22,96.57,105140.38800000,54080.94600000,3021.50400000
1675688400000,96.57,96.78,96.14,96.25,77995.17000000,39483.00100000,970.83200000
1675692000000,96.25,96.77,96.05,96.52,119360.53700000,63264.76900000,7169.00100000
