open_time,open,high,low,close,volume,taker_buy,delta
1729850400000,0.1644300,0.1748200,0.1519300,0.1555300,267559139.00000000,120963452.00000000,-25632235.00000000
1729854000000,0.1556800,0.1687500,0.1556300,0.1613100,150890156.00000000,75216774.00000000,-456608.00000000
1729857600000,0.1612400,0.1668800,0.1525000,0.1557200,150379111.00000000,71613621.00000000,-7151869.00000000
1729861200000,0.1557500,0.1721300,0.1533900,0.1698200,196225408.00000000,100443324.00000000,4661240.00000000
1729864800000,0.1699000,0.1783000,0.1630700,0.1714100,260345900.00000000,124169309.00000000,-12007282.00000000
1729868400000,0.1713600,0.1900200,0.1692100,0.1825100,439735368.00000000,221352017.00000000,2968666.00000000
1729872000000,0.1825100,0.2439700,0.1790100,0.2330100,878847172.00000000,450838918.00000000,22830664.00000000
1729875600000,0.2330000,0.2499800,0.2178000,0.2256000,661705990.00000000,325670887.00000000,-10364216.00000000
1729879200000,0.2256000,0.2550000,0.2186900,0.2468200,600632958.00000000,298945118.00000000,-2742722.00000000
1729882800000,0.2467600,0.2563000,0.2235400,0.2347600,428067217.00000000,208380535.00000000,-11306147.00000000
1729886400000,0.2347600,0.2383400,0.2124500,0.2193400,306059536.00000000,148357456.00000000,-9344624.00000000
1729890000000,0.2193400,0.2370000,0.2142800,0.2159500,219643630.00000000,112371419.00000000,5099208.00000000
1729893600000,0.2158600,0.2246900,0.2030000,0.2066700,216278301.00000000,102518568.00000000,-11241165.00000000
1729897200000,0.2067400,0.2186700,0.1928100,0.2165900,464295259.00000000,228064395.00000000,-8166469.00000000
1729900800000,0.2165900,0.2338900,0.2123300,0.2231000,330109370.00000000,166574700.00000000,3040030.00000000
1729904400000,0.2231000,0.2314400,0.2140000,0.2280000,210844371.00000000,104636382.00000000,-1571607.00000000
1729908000000,0.2279600,0.2331900,0.2213600,0.2301500,180216186.00000000,89973927.00000000,-268332.00000000
1729911600000,0.2301500,0.2433600,0.2266600,0.2377500,232344658.00000000,121107472.00000000,9870286.00000000
1729915200000,0.2377500,0.2399000,0.2222000,0.2238300,187789541.00000000,88944505.00000000,-9900531.00000000
1729918800000,0.2238500,0.2340000,0.2222400,0.2298800,149552281.00000000,78060416.00000000,6568551.00000000
1729922400000,0.2297600,0.2390400,0.2252600,0.2337600,152689267.00000000,76092467.00000000,-504333.00000000
1729926000000,0.2337600,0.2353000,0.2240000,0.2266500,180241318.00000000,86275782.00000000,-7689754.00000000
