open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,2.4740,2.4810,2.4680,2.4790,1619571.00000000,621447.00000000,-376677.00000000
1675512000000,2.4790,2.4930,2.4670,2.4900,1556778.00000000,724865.00000000,-107048.00000000
1675515600000,2.4900,2.5150,2.4870,2.5090,3318779.00000000,1602780.00000000,-113219.00000000
1675519200000,2.5100,2.5130,2.4910,2.5050,1869764.00000000,836318.00000000,-197128.00000000
1675522800000,2.5050,2.5250,2.4970,2.5220,3007409.00000000,1628762.00000000,250115.00000000
1675526400000,2.5220,2.5480,2.5050,2.5340,5781545.00000000,2891865.00000000,2185.00000000
1675530000000,2.5330,2.5610,2.5250,2.5570,5188980.00000000,2492147.00000000,-204686.00000000
1675533600000,2.5560,2.5810,2.5390,2.5510,5035687.00000000,2483249.00000000,-69189.00000000
1675537200000,2.5510,2.5610,2.5370,2.5410,1798018.00000000,929106.00000000,60194.00000000
1675540800000,2.5400,2.5450,2.5250,2.5290,1397171.00000000,584227.00000000,-228717.00000000
1675544400000,2.5280,2.5350,2.5190,2.5320,1162829.00000000,608983.00000000,55137.00000000
1675548000000,2.5320,2.5370,2.5250,2.5300,700146.00000000,334069.00000000,-32008.00000000
1675551600000,2.5300,2.5350,2.4790,2.5020,3838064.00000000,1701752.00000000,-434560.00000000
1675555200000,2.5030,2.5570,2.4850,2.5000,5132590.00000000,2604127.00000000,75664.00000000
1675558800000,2.5010,2.5580,2.4970,2.5300,4809618.00000000,2434128.00000000,58638.00000000
1675562400000,2.5300,2.5480,2.5010,2.5020,2388204.00000000,1073234.00000000,-241736.00000000
1675566000000,2.5020,2.5260,2.4950,2.5220,1527399.00000000,723222.00000000,-80955.00000000
1675569600000,2.5220,2.5330,2.5150,2.5180,1142447.00000000,544498.00000000,-53451.00000000
1675573200000,2.5170,2.5220,2.5080,2.5120,1061085.00000000,556472.00000000,51859.00000000
1675576800000,2.5120,2.5300,2.5000,2.5190,1518926.00000000,756196.00000000,-6534.00000000
1675580400000,2.5190,2.5300,2.5130,2.5200,1198471.00000000,557310.00000000,-83851.00000000
1675584000000,2.5210,2.5470,2.5170,2.5340,1626164.00000000,816646.00000000,7128.00000000
1675587600000,2.5350,2.5540,2.5230,2.5250,1979608.00000000,959712.00000000,-60184.00000000
