open_time,open,high,low,close,volume,taker_buy,delta
1705755600000,0.2260000,0.2260000,0.1714000,0.1932000,29740294.00000000,14577275.00000000,-585744.00000000
1705759200000,0.1935000,0.2019000,0.1844000,0.1962000,26170102.00000000,11233559.00000000,-3702984.00000000
1705762800000,0.1960000,0.2032000,0.1879000,0.1950000,23408561.00000000,10315378.00000000,-2777805.00000000
1705766400000,0.1950000,0.1967000,0.1913000,0.1942000,6568806.00000000,3285045.00000000,1284.00000000
1705770000000,0.1944000,0.1972000,0.1920000,0.1944000,4328476.00000000,2086957.00000000,-154562.00000000
1705773600000,0.1944000,0.1949000,0.1867000,0.1914000,7689542.00000000,3618900.00000000,-451742.00000000
1705777200000,0.1914000,0.1943000,0.1909000,0.1932000,9672945.00000000,4778568.00000000,-115809.00000000
1705780800000,0.1931000,0.1934000,0.1891000,0.1913000,6209749.00000000,2866315.00000000,-477119.00000000
1705784400000,0.1915000,0.1974000,0.1908000,0.1942000,6854885.00000000,3687307.00000000,519729.00000000
1705788000000,0.1944000,0.1975000,0.1934000,0.1969000,3894597.00000000,1966640.00000000,38683.00000000
1705791600000,0.1970000,0.2070000,0.1970000,0.2064000,8634560.00000000,4511313.00000000,388066.00000000
1705795200000,0.2061000,0.2190000,0.1997000,0.2032000,26124689.00000000,12073851.00000000,-1976987.00000000
1705798800000,0.2034000,0.2114000,0.1905000,0.1986000,26833191.00000000,12837826.00000000,-1157539.00000000
1705802400000,0.1986000,0.2016000,0.1982000,0.2001000,6636022.00000000,3070140.00000000,-495742.00000000
1705806000000,0.2002000,0.2026000,0.1986000,0.2020000,4592229.00000000,2306654.00000000,21079.00000000
1705809600000,0.2020000,0.2189000,0.2009000,0.2146000,22157228.00000000,11331717.00000000,506206.00000000
1705813200000,0.2146000,0.2535000,0.2143000,0.2426000,44989533.00000000,22747712.00000000,505891.00000000
1705816800000,0.2423000,0.2770000,0.2401000,0.2665000,101954401.00000000,51254771.00000000,555141.00000000
1705820400000,0.2664000,0.2735000,0.2446000,0.2600000,96219303.80000000,46645481.90000000,-2928340.00000000
1705824000000,0.2602000,0.2654000,0.2557000,0.2615000,39085434.80000000,19932716.10000000,779997.40000001
1705827600000,0.2615000,0.2813000,0.2580000,0.2750000,49407374.50000000,25399193.10000000,1391011.70000000
1705831200000,0.2751000,0.2777000,0.2620000,0.2676000,38113994.70000000,17674230.90000000,-2765532.90000001
1705834800000,0.2674000,0.2693000,0.2563000,0.2614000,34488125.20000000,15571142.90000000,-3345839.40000000
1705838400000,0.2614000,0.2766000,0.2520000,0.2690000,44608350.90000000,22243226.10000000,-121898.70000000
1705842000000,0.2692000,0.2758000,0.2613000,0.2635000,47803449.60000000,23010628.10000000,-1782193.40000000
1705845600000,0.2636000,0.2933000,0.2590000,0.2886000,97701770.30000000,51061555.20000000,4421340.10000001
1705849200000,0.2886000,0.2966000,0.2718000,0.2755000,88785608.09999999,43248607.30000000,-2288393.50000000
1705852800000,0.2755000,0.2859000,0.2635000,0.2759000,55901029.20000000,26862957.60000000,-2175114.00000000
1705856400000,0.2758000,0.2813000,0.2703000,0.2770000,28931423.00000000,14659265.00000000,387107.00000000
1705860000000,0.2770000,0.2888000,0.2730000,0.2819000,33705411.20000000,16718478.40000000,-268454.40000000
1705863600000,0.2818000,0.2892000,0.2777000,0.2800000,31866366.40000000,16594138.40000000,1321910.40000000
1705867200000,0.2800000,0.2862000,0.2670000,0.2719000,39130477.30000000,18080820.00000000,-2968837.30000000
1705870800000,0.2719000,0.2858000,0.2711000,0.2840000,30090965.70000000,15300401.10000000,509836.50000000
1705874400000,0.2841000,0.2965000,0.2800000,0.2862000,37876726.50000000,19986609.50000000,2096492.50000000
1705878000000,0.2865000,0.2869000,0.2774000,0.2830000,28142846.60000000,13746301.40000000,-650243.80000000
1705881600000,0.2829000,0.3087000,0.2759000,0.3049000,67511542.70000000,35286635.50000000,3061728.30000000
1705885200000,0.3049000,0.3124000,0.2695000,0.2728000,93524153.50000000,41615394.40000000,-10293364.70000000
1705888800000,0.2729000,0.2869000,0.2664000,0.2764000,81876004.90000001,37618705.10000000,-6638594.70000000
1705892400000,0.2762000,0.2798000,0.2566000,0.2625000,68964952.70000000,31376382.00000000,-6212188.70000000
