open_time,open,high,low,close,volume,taker_buy,delta
1675684800000,2.9653000,2.9908000,2.9184000,2.9467000,8157628.60000000,4191292.70000000,224956.80000000
1675688400000,2.9467000,2.9534000,2.8970000,2.9022000,4799553.60000000,2365557.90000000,-68437.80000000
1675692000000,2.9022000,2.9191000,2.8672000,2.8887000,6761119.70000000,3464210.50000000,167301.30000000
1675695600000,2.8889000,2.9899000,2.8820000,2.9876000,8834796.60000000,4462353.90000000,89911.20000000
1675699200000,2.9878000,3.1177000,2.9687000,3.0348000,22001112.10000000,10558396.70000000,-884318.70000000
1675702800000,3.0347000,3.0586000,3.0117000,3.0247000,7141448.60000000,3663466.60000000,185484.60000000
1675706400000,3.0246000,3.0251000,2.9661000,2.9749000,5698190.90000000,2530857.30000000,-636476.30000000
1675710000000,2.9750000,3.0077000,2.9521000,2.9633000,4593660.70000000,2346683.00000000,99705.30000000
1675713600000,2.9632000,2.9671000,2.9335000,2.9601000,3210108.90000000,1656866.30000000,103623.70000000
1675717200000,2.9597000,2.9648000,2.9111000,2.9162000,3358004.40000000,1440828.20000000,-476348.00000000
1675720800000,2.9162000,2.9493000,2.9133000,2.9299000,2778570.40000000,1459845.40000000,141120.40000000
1675724400000,2.9299000,2.9370000,2.8404000,2.9143000,9180097.90000000,4473145.30000000,-233807.30000000
1675728000000,2.9141000,2.9375000,2.8921000,2.9048000,4808133.80000000,2193859.40000000,-420415.00000000
1675731600000,2.9046000,2.9711000,2.8973000,2.9489000,5214742.50000000,2835110.70000000,455478.90000000
1675735200000,2.9482000,2.9879000,2.9345000,2.9822000,4214364.40000000,2212829.20000000,211294.00000000
1675738800000,2.9817000,3.0297000,2.9530000,3.0088000,4983886.50000000,2576905.40000000,169924.30000000
1675742400000,3.0090000,3.0326000,2.9728000,2.9811000,4277551.80000000,1998011.80000000,-281528.20000000
1675746000000,2.9810000,2.9975000,2.9658000,2.9694000,3836234.00000000,1980652.30000000,125070.60000000
1675749600000,2.9695000,2.9849000,2.9439000,2.9530000,3634318.70000000,1863351.60000000,92384.50000000
1675753200000,2.9530000,2.9818000,2.9386000,2.9492000,3979641.80000000,2078873.70000000,178105.60000000
1675756800000,2.9488000,2.9800000,2.9251000,2.9488000,4587604.60000000,2246076.90000000,-95450.80000000
1675760400000,2.9487000,3.0460000,2.9435000,3.0276000,7364339.20000000,3859672.40000000,355005.60000000
1675764000000,3.0277000,3.0456000,2.9868000,2.9936000,5134177.60000000,2365094.40000000,-403988.80000000
1675767600000,2.9935000,3.0780000,2.9860000,3.0140000,6323499.20000000,3127929.50000000,-67640.20000000
1675771200000,3.0146000,3.0421000,2.9952000,3.0233000,4098455.80000000,2045607.70000000,-7240.40000000
1675774800000,3.0234000,3.0330000,2.9630000,2.9737000,5747495.80000000,2646080.80000000,-455334.20000000
1675778400000,2.9737000,3.0888000,2.9659000,3.0269000,10468930.10000000,5234025.40000000,-879.30000000
1675782000000,3.0265000,3.0399000,2.9455000,2.9594000,8464127.90000000,3868467.60000000,-727192.70000000
1675785600000,2.9592000,2.9750000,2.9268000,2.9626000,6055064.70000000,3024252.60000000,-6559.50000000
1675789200000,2.9623000,3.0660000,2.9343000,3.0514000,11037516.70000000,5508969.40000000,-19577.90000000
1675792800000,3.0514000,3.0800000,2.8850000,2.9006000,19053282.90000000,8985453.50000000,-1082375.90000000
1675796400000,2.9006000,2.9896000,2.8946000,2.9778000,6582594.40000000,3353351.90000000,124109.40000000
