open_time,open,high,low,close,volume,taker_buy,delta
1699358400000,10.516000,10.594000,10.185000,10.556000,1053064.90000000,533857.70000000,14650.50000000
1699362000000,10.556000,10.720000,9.910000,10.386000,2633994.70000000,1277793.30000000,-78408.10000000
1699365600000,10.388000,10.429000,10.016000,10.372000,1531741.90000000,771255.30000000,10768.70000000
1699369200000,10.370000,10.381000,10.056000,10.126000,1253975.90000000,632620.00000000,11264.10000000
1699372800000,10.126000,13.200000,10.096000,12.708000,13445927.50000000,7015178.10000000,584428.70000000
1699376400000,12.709000,13.370000,12.271000,12.845000,12449715.20000000,6143286.80000000,-163141.60000000
1699380000000,12.839000,13.200000,12.530000,12.825000,5702077.80000000,2828355.90000000,-45366.00000000
1699383600000,12.831000,13.928000,12.687000,13.762000,5170675.10000000,2773635.10000000,376595.10000000
1699387200000,13.767000,14.358000,13.514000,13.688000,5645392.30000000,2818050.70000000,-9290.90000000
1699390800000,13.687000,14.300000,12.900000,13.113000,4854872.10000000,2334870.90000000,-185130.30000000
1699394400000,13.115000,13.500000,12.720000,12.917000,4102777.10000000,2066417.60000000,30058.10000000
1699398000000,12.917000,13.874000,12.900000,13.560000,3158262.60000000,1662984.90000000,167707.20000000
1699401600000,13.560000,14.150000,13.176000,13.957000,3270269.20000000,1673749.30000000,77229.40000000
1699405200000,13.957000,14.100000,13.158000,13.324000,3495592.30000000,1654435.70000000,-186720.90000000
1699408800000,13.330000,13.600000,12.881000,13.482000,3134175.00000000,1577465.20000000,20755.40000000
1699412400000,13.485000,13.560000,13.175000,13.367000,1882430.70000000,924283.00000000,-33864.70000000
1699416000000,13.372000,13.890000,13.254000,13.594000,2799007.70000000,1441398.40000000,83789.10000000
1699419600000,13.591000,14.710000,13.420000,14.228000,5053926.20000000,2655173.30000000,256420.40000000
1699423200000,14.232000,14.233000,13.382000,13.731000,4438882.80000000,2077698.10000000,-283486.60000000
1699426800000,13.729000,13.826000,13.450000,13.745000,1806497.20000000,881571.30000000,-43354.60000000
1699430400000,13.744000,13.885000,13.027000,13.292000,4076958.80000000,1897388.10000000,-282182.60000000
1699434000000,13.292000,13.597000,13.101000,13.151000,2605996.00000000,1289137.80000000,-27720.40000000
1699437600000,13.151000,13.456000,13.040000,13.179000,2052572.10000000,1053244.40000000,53916.70000000
1699441200000,13.180000,13.180000,12.452000,12.834000,4463401.60000000,2119478.10000000,-224445.40000000
1699444800000,12.833000,12.947000,11.700000,12.063000,7424175.00000000,3556199.20000000,-311776.60000000
1699448400000,12.060000,12.196000,11.764000,12.087000,3408169.30000000,1744252.20000000,80335.10000000
1699452000000,12.088000,12.768000,12.051000,12.522000,4621241.00000000,2408717.80000000,196194.60000000
1699455600000,12.520000,12.788000,12.187000,12.472000,2533530.30000000,1259379.70000000,-14770.90000000
1699459200000,12.473000,12.888000,12.296000,12.715000,2235956.50000000,1180008.70000000,124060.90000000
1699462800000,12.720000,12.766000,12.403000,12.495000,1063037.70000000,510473.40000000,-42090.90000000
1699466400000,12.494000,12.633000,12.297000,12.524000,934977.40000000,445833.10000000,-43311.20000000
1699470000000,12.526000,12.600000,12.342000,12.375000,644854.70000000,315874.50000000,-13105.70000000
1699473600000,12.375000,12.687000,12.375000,12.616000,744622.90000000,389554.40000000,34485.90000000
1699477200000,12.617000,13.098000,12.555000,12.766000,1664406.10000000,891354.50000000,118302.90000000
1699480800000,12.771000,13.079000,12.654000,12.699000,873620.00000000,431281.90000000,-11056.20000000
1699484400000,12.700000,12.838000,12.411000,12.577000,912894.30000000,436743.00000000,-39408.30000000
1699488000000,12.581000,12.800000,12.234000,12.454000,1119719.60000000,529624.00000000,-60471.60000000
1699491600000,12.455000,12.464000,12.028000,12.154000,1159043.60000000,531989.30000000,-95065.00000000
1699495200000,12.154000,12.770000,12.116000,12.616000,1109409.70000000,588487.90000000,67566.10000000
1699498800000,12.616000,13.512000,12.538000,13.218000,2557047.40000000,1364167.10000000,171286.80000000
1699502400000,13.218000,13.472000,13.041000,13.174000,1256040.40000000,606310.40000000,-43419.60000000
1699506000000,13.175000,15.645000,13.117000,15.330000,6895384.30000000,3597441.60000000,299498.90000000
1699509600000,15.330000,15.546000,14.800000,15.349000,2743232.10000000,1328076.10000000,-87079.90000000
1699513200000,15.349000,15.431000,14.241000,14.455000,2789036.10000000,1246138.20000000,-296759.70000000
1699516800000,14.450000,15.355000,14.424000,15.061000,2381963.90000000,1219357.70000000,56751.50000000
1699520400000,15.061000,15.440000,14.634000,15.040000,1977905.20000000,988043.20000000,-1818.80000000
1699524000000,15.039000,15.735000,14.751000,15.049000,2567683.60000000,1302251.60000000,36819.60000000
1699527600000,15.050000,15.194000,14.500000,15.170000,1757760.40000000,840239.10000000,-77282.20000000
1699531200000,15.170000,16.183000,15.034000,16.081000,4399950.90000000,2272750.10000000,145549.30000000
1699534800000,16.080000,18.129000,16.038000,17.919000,9893732.50000000,5092250.60000000,290768.70000000
1699538400000,17.920000,18.138000,17.115000,17.585000,4429691.30000000,2088201.70000000,-253287.90000000
1699542000000,17.585000,19.992000,17.288000,17.623000,8122544.50000000,3955273.00000000,-211998.50000000
1699545600000,17.652000,18.652000,15.215000,18.011000,8995524.30000000,4267424.50000000,-460675.30000000
1699549200000,18.004000,18.700000,17.111000,18.622000,3656072.40000000,1808625.40000000,-38821.60000000
1699552800000,18.622000,18.668000,17.501000,17.738000,1738998.30000000,804679.00000000,-129640.30000000
1699556400000,17.739000,18.351000,17.176000,17.967000,1488445.00000000,746313.60000000,4182.20000000
1699560000000,17.971000,18,16.200000,17,2034581.10000000,973524.90000000,-87531.30000000
1699563600000,16.998000,18.395000,16.970000,17.966000,1405374.90000000,725627.60000000,45880.30000000
1699567200000,17.968000,18.500000,17.636000,17.703000,896860.80000000,424086.80000000,-48687.20000000
1699570800000,17.704000,19.870000,17.524000,19.300000,2357417.30000000,1190706.50000000,23995.70000000
1699574400000,19.296000,21.365000,18.908000,20.971000,4089104.10000000,2123148.60000000,157193.10000000
1699578000000,20.958000,21.526000,20,20.639000,2361689.70000000,1156938.70000000,-47812.30000000
1699581600000,20.639000,20.935000,20,20.354000,1315005.50000000,635867.50000000,-43270.50000000
1699585200000,20.355000,20.550000,18.452000,19.147000,2723163.40000000,1244053.40000000,-235056.60000000
1699588800000,19.151000,19.947000,18.601000,19.687000,1439579.50000000,689751.30000000,-60076.90000000
1699592400000,19.682000,20.880000,19.300000,20.672000,1632607.60000000,831843.90000000,31080.20000000
1699596000000,20.667000,21.885000,20.276000,21.293000,2806793.10000000,1435146.90000000,63500.70000000
1699599600000,21.300000,21.581000,19.923000,20.444000,1742859.90000000,811844.40000000,-119171.10000000
1699603200000,20.436000,20.944000,19.680000,20.267000,1629165.00000000,784310.00000000,-60545.00000000
1699606800000,20.268000,22.241000,19.950000,21.785000,2379175.40000000,1242528.60000000,105881.80000000
1699610400000,21.796000,21.900000,21.019000,21.450000,1588883.10000000,785742.80000000,-17397.50000000
1699614000000,21.449000,21.630000,19.409000,19.969000,2886729.60000000,1336047.20000000,-214635.20000000
1699617600000,19.969000,19.973000,18.763000,19.750000,2839045.60000000,1402972.20000000,-33101.20000000
1699621200000,19.749000,20.540000,17.747000,18.070000,3827798.70000000,1777959.20000000,-271880.30000000
1699624800000,18.073000,18.901000,17.273000,18.121000,2989368.20000000,1468622.30000000,-52123.60000000
1699628400000,18.122000,19.310000,18.118000,18.774000,1622781.90000000,843574.40000000,64366.90000000
1699632000000,18.775000,19.698000,18.200000,19.665000,2118724.10000000,1121241.60000000,123759.10000000
1699635600000,19.674000,20.047000,19.313000,19.880000,1481687.40000000,764770.50000000,47853.60000000
1699639200000,19.881000,19.929000,19.184000,19.490000,954910.50000000,420517.30000000,-113875.90000000
1699642800000,19.494000,20.392000,19.173000,20.099000,1094464.60000000,563005.20000000,31545.80000000
1699646400000,20.100000,20.100000,18.838000,19.338000,936999.70000000,414997.50000000,-107004.70000000
1699650000000,19.335000,19.792000,19.109000,19.286000,588534.10000000,276694.20000000,-35145.70000000
1699653600000,19.290000,20.077000,19.103000,19.742000,723026.10000000,371229.70000000,19433.30000000
1699657200000,19.745000,20.488000,19.671000,19.825000,814233.40000000,396929.40000000,-20374.60000000
1699660800000,19.830000,20.403000,19.009000,19.155000,998898.60000000,462927.90000000,-73042.80000000
1699664400000,19.159000,19.481000,17.680000,18.218000,1526505.60000000,660100.60000000,-206304.40000000
1699668000000,18.219000,18.941000,17.838000,18.686000,1112421.20000000,593324.20000000,74227.20000000
1699671600000,18.689000,18.762000,17.946000,18.040000,625386.70000000,286265.70000000,-52855.30000000
1699675200000,18.040000,18.323000,17.494000,18.172000,1283193.00000000,629846.00000000,-23501.00000000
1699678800000,18.162000,18.475000,17.431000,17.618000,881414.00000000,416530.90000000,-48352.20000000
1699682400000,17.617000,17.793000,16.425000,16.907000,2204353.40000000,1033085.70000000,-138182.00000000
1699686000000,16.909000,17.431000,16.626000,16.956000,1020468.00000000,502841.80000000,-14784.40000000
1699689600000,16.960000,17.379000,16.385000,17.239000,1228793.60000000,605130.40000000,-18532.80000000
1699693200000,17.239000,17.438000,16.887000,17.183000,629362.00000000,305863.40000000,-17635.20000000
1699696800000,17.183000,17.535000,17.038000,17.386000,681980.50000000,350636.60000000,19292.70000000
1699700400000,17.387000,17.395000,16.919000,16.958000,486209.90000000,221427.20000000,-43355.50000000
1699704000000,16.952000,18.460000,16.750000,17.985000,1852210.50000000,963029.90000000,73849.30000000
1699707600000,17.985000,18.761000,17.920000,18.432000,1012482.70000000,500300.30000000,-11882.10000000
1699711200000,18.433000,19.648000,18.357000,19.251000,1590246.40000000,806060.10000000,21873.80000000
1699714800000,19.251000,20.097000,18.922000,19.426000,1377954.10000000,683284.80000000,-11384.50000000
1699718400000,19.426000,22.724000,19.006000,22.507000,4141584.80000000,2123297.30000000,105009.80000000
1699722000000,22.486000,22.767000,21.303000,21.812000,3136140.30000000,1486774.70000000,-162590.90000000
1699725600000,21.806000,21.971000,19.600000,19.814000,2203844.80000000,996095.30000000,-211654.20000000
1699729200000,19.810000,20.486000,19.426000,20.429000,940060.00000000,505916.50000000,71773.00000000
1699732800000,20.429000,20.486000,19.900000,20.110000,627265.90000000,282956.70000000,-61352.50000000
1699736400000,20.106000,20.400000,19.711000,20.226000,633393.40000000,295820.40000000,-41752.60000000
1699740000000,20.226000,20.278000,19.566000,20.146000,592528.80000000,278774.20000000,-34980.40000000
1699743600000,20.145000,20.183000,18.036000,18.878000,1685511.20000000,764251.40000000,-157008.40000000
1699747200000,18.878000,19.525000,17.544000,18.534000,1795609.50000000,890898.40000000,-13812.70000000
1699750800000,18.529000,19.649000,18.040000,19.630000,1221831.50000000,640668.60000000,59505.70000000
1699754400000,19.636000,19.660000,18.674000,19.048000,777416.60000000,357092.50000000,-63231.60000000
1699758000000,19.037000,20.095000,18.680000,19.738000,1046484.30000000,558350.20000000,70216.10000000
1699761600000,19.739000,21.393000,19.550000,21.241000,1569353.40000000,827919.10000000,86484.80000000
1699765200000,21.249000,21.969000,20.528000,21.433000,2080252.00000000,1038882.30000000,-2487.40000000
1699768800000,21.437000,23.886000,20.777000,23.341000,3796447.70000000,1979908.70000000,163369.70000000
1699772400000,23.341000,23.725000,22.540000,22.876000,2123644.50000000,1026687.20000000,-70270.10000000
1699776000000,22.874000,23.345000,21.122000,21.742000,2472334.00000000,1128126.50000000,-216081.00000000
1699779600000,21.742000,21.798000,20.323000,20.923000,2111990.70000000,1030295.10000000,-51400.50000000
1699783200000,20.919000,22.094000,20.877000,21.573000,1800962.60000000,916137.80000000,31313.00000000
1699786800000,21.571000,22.500000,21.520000,21.652000,1417740.80000000,692248.80000000,-33243.20000000
1699790400000,21.652000,21.900000,20.837000,21.239000,1544778.30000000,747773.40000000,-49231.50000000
1699794000000,21.241000,22.110000,20.100000,21.571000,2229275.00000000,1086504.10000000,-56266.80000000
1699797600000,21.572000,22.719000,21.363000,21.974000,1818508.40000000,971704.20000000,124900.00000000
1699801200000,21.977000,22.530000,21,21.434000,1968576.00000000,943518.60000000,-81538.80000000
1699804800000,21.425000,22.165000,21.116000,21.595000,1061208.10000000,536980.70000000,12753.30000000
1699808400000,21.598000,21.659000,20.750000,20.786000,1001324.10000000,448975.50000000,-103373.10000000
1699812000000,20.789000,21.820000,20.723000,21.606000,802117.10000000,422380.70000000,42644.30000000
