open_time,open,high,low,close,volume,taker_buy,delta
1734451200000,0.0334010,0.0394660,0.0312010,0.0323000,2554485146.00000000,1264061321.00000000,-26362504.00000000
1734454800000,0.0322970,0.0327500,0.0286810,0.0311250,3890463205.00000000,1934926890.00000000,-20609425.00000000
1734458400000,0.0311240,0.0351310,0.0299000,0.0343940,2921857402.00000000,1507456188.00000000,93054974.00000000
1734462000000,0.0343940,0.0354550,0.0313320,0.0318270,2093520860.00000000,1018291923.00000000,-56937014.00000000
1734465600000,0.0318270,0.0319910,0.0304210,0.0310160,1386087897.00000000,691460075.00000000,-3167747.00000000
1734469200000,0.0310130,0.0312580,0.0283900,0.0297560,1716344550.00000000,848546710.00000000,-19251130.00000000
1734472800000,0.0297580,0.0309820,0.0267750,0.0277100,2145384133.00000000,1078716309.00000000,12048485.00000000
1734476400000,0.0277030,0.0290170,0.0270000,0.0286590,1196980666.00000000,634697523.00000000,72414380.00000000
1734480000000,0.0286560,0.0306400,0.0268880,0.0271320,1368014724.00000000,703876171.00000000,39737618.00000000
1734483600000,0.0271330,0.0278540,0.0262160,0.0270460,1038368247.00000000,502363902.00000000,-33640443.00000000
1734487200000,0.0270370,0.0320000,0.0265840,0.0310730,2919587109.00000000,1512184449.00000000,104781789.00000000
1734490800000,0.0310590,0.0326000,0.0303060,0.0310410,1483557188.00000000,763921234.00000000,44285280.00000000
1734494400000,0.0310330,0.0319890,0.0292000,0.0304890,1432588623.00000000,700683024.00000000,-31222575.00000000
1734498000000,0.0304890,0.0312500,0.0296920,0.0301690,1146599109.00000000,576124857.00000000,5650605.00000000
1734501600000,0.0301700,0.0303740,0.0281250,0.0290300,1446995375.00000000,746133585.00000000,45271795.00000000
1734505200000,0.0290270,0.0309380,0.0288460,0.0304850,1220523216.00000000,653498388.00000000,86473560.00000000
1734508800000,0.0304720,0.0338740,0.0301000,0.0329970,2662318933.00000000,1378060004.00000000,93801075.00000000
1734512400000,0.0329920,0.0345670,0.0324450,0.0332810,1672823087.00000000,840494265.00000000,8165443.00000000
1734516000000,0.0332810,0.0352000,0.0326020,0.0339420,2052658533.00000000,1054018423.00000000,55378313.00000000
1734519600000,0.0339420,0.0378000,0.0335690,0.0338690,3940652751.00000000,1967412089.00000000,-5828573.00000000
1734523200000,0.0338720,0.0348840,0.0332610,0.0335270,2109764247.00000000,1071558805.00000000,33353363.00000000
1734526800000,0.0335270,0.0336710,0.0311650,0.0324580,2492802381.00000000,1232781395.00000000,-27239591.00000000
1734530400000,0.0324510,0.0330000,0.0310420,0.0319990,1671340158.00000000,847340393.00000000,23340628.00000000
1734534000000,0.0319980,0.0347760,0.0317700,0.0345640,1700488943.00000000,894685753.00000000,88882563.00000000
1734537600000,0.0345640,0.0356660,0.0331010,0.0345620,1831394432.00000000,890934351.00000000,-49525730.00000000
1734541200000,0.0345670,0.0370290,0.0337340,0.0364580,1723463376.00000000,886629958.00000000,49796540.00000000
1734544800000,0.0364580,0.0394900,0.0358620,0.0383090,3257028201.00000000,1657714503.00000000,58400805.00000000
1734548400000,0.0383080,0.0395680,0.0363010,0.0365340,2482660948.00000000,1213482455.00000000,-55696038.00000000
1734552000000,0.0365210,0.0376620,0.0350690,0.0357770,3061740183.00000000,1531462867.00000000,1185551.00000000
1734555600000,0.0357700,0.0377690,0.0353510,0.0369250,1339399231.00000000,699696240.00000000,59993249.00000000
1734559200000,0.0369300,0.0378000,0.0360000,0.0371770,1182598939.00000000,555010849.00000000,-72577241.00000000
1734562800000,0.0371860,0.0381940,0.0352410,0.0356000,1323782899.00000000,612191980.00000000,-99398939.00000000
1734566400000,0.0356000,0.0369720,0.0333400,0.0342520,1543945451.00000000,750517486.00000000,-42910479.00000000
1734570000000,0.0342580,0.0347000,0.0321320,0.0330460,1283236913.00000000,630420792.00000000,-22395329.00000000
1734573600000,0.0330470,0.0347720,0.0310030,0.0339560,1782027140.00000000,940609533.00000000,99191926.00000000
1734577200000,0.0339410,0.0348140,0.0331200,0.0337530,915335417.00000000,458028206.00000000,720995.00000000
1734580800000,0.0337530,0.0337530,0.0314210,0.0316750,842912185.00000000,403648474.00000000,-35615237.00000000
1734584400000,0.0316760,0.0330380,0.0306000,0.0321200,1350305907.00000000,726393567.00000000,102481227.00000000
1734588000000,0.0321190,0.0331590,0.0315210,0.0327120,628210237.00000000,315812032.00000000,3413827.00000000
1734591600000,0.0327150,0.0346460,0.0325350,0.0339710,1166528824.00000000,584091399.00000000,1653974.00000000
1734595200000,0.0339640,0.0341910,0.0326020,0.0330060,936857438.00000000,443962052.00000000,-48933334.00000000
1734598800000,0.0330080,0.0330970,0.0319080,0.0319710,685547888.00000000,315475067.00000000,-54597754.00000000
1734602400000,0.0319670,0.0324970,0.0315010,0.0315570,709315017.00000000,364561086.00000000,19807155.00000000
1734606000000,0.0315620,0.0321000,0.0308970,0.0320740,899414506.00000000,466788925.00000000,34163344.00000000
1734609600000,0.0320750,0.0324190,0.0303470,0.0305650,872498941.00000000,370007847.00000000,-132483247.00000000
1734613200000,0.0305660,0.0307720,0.0292110,0.0296860,1153548798.00000000,562569623.00000000,-28409552.00000000
1734616800000,0.0296860,0.0304720,0.0293780,0.0302180,1093499518.00000000,573377881.00000000,53256244.00000000
1734620400000,0.0302170,0.0312290,0.0292130,0.0306860,1464146086.00000000,731008702.00000000,-2128682.00000000
1734624000000,0.0306830,0.0316650,0.0303930,0.0310740,788540568.00000000,405627616.00000000,22714664.00000000
1734627600000,0.0310800,0.0311320,0.0297910,0.0302810,890628434.00000000,400391354.00000000,-89845726.00000000
1734631200000,0.0302810,0.0305710,0.0284410,0.0288020,1250855994.00000000,567137139.00000000,-116581716.00000000
1734634800000,0.0288010,0.0288400,0.0273240,0.0280790,980388100.00000000,431626849.00000000,-117134402.00000000
1734638400000,0.0280800,0.0284870,0.0268440,0.0282300,1356542354.00000000,676166635.00000000,-4209084.00000000
