open_time,open,high,low,close,volume,taker_buy,delta
1683302400000,0.0039485,0.0044583,0.0038148,0.0042176,15970220383.00000000,8178822194.00000000,387424005.00000000
1683306000000,0.0042166,0.0043189,0.0035100,0.0037650,47224536536.00000000,23032302275.00000000,-1159931986.00000000
1683309600000,0.0037684,0.0038377,0.0029441,0.0030794,85692974563.00000000,42214352314.00000000,-1264269935.00000000
1683313200000,0.0030764,0.0034592,0.0030081,0.0033442,49348390226.00000000,25217919247.00000000,1087448268.00000000
1683316800000,0.0033461,0.0035687,0.0032080,0.0035115,31372527293.00000000,16192372788.00000000,1012218283.00000000
1683320400000,0.0035115,0.0035700,0.0031300,0.0031977,29456704270.00000000,14556159006.00000000,-344386258.00000000
1683324000000,0.0031971,0.0034247,0.0031589,0.0033302,21183505198.00000000,10712340778.00000000,241176358.00000000
1683327600000,0.0033302,0.0038300,0.0033201,0.0037211,25297882764.00000000,13067318746.00000000,836754728.00000000
1683331200000,0.0037212,0.0038333,0.0034635,0.0035418,27512435163.00000000,13388774657.00000000,-734885849.00000000
1683334800000,0.0035418,0.0036091,0.0031449,0.0032739,28980092965.00000000,14078792669.00000000,-822507627.00000000
1683338400000,0.0032759,0.0033423,0.0029666,0.0030138,29347650777.00000000,14132389071.00000000,-1082872635.00000000
1683342000000,0.0030141,0.0031813,0.0029291,0.0030321,26216830310.00000000,12910380734.00000000,-396068842.00000000
1683345600000,0.0030333,0.0032889,0.0030290,0.0032015,21641995282.00000000,11322422290.00000000,1002849298.00000000
1683349200000,0.0032014,0.0032456,0.0030200,0.0030838,18633660211.00000000,9055215128.00000000,-523229955.00000000
1683352800000,0.0030838,0.0031235,0.0025794,0.0027556,65706221280.00000000,30836547442.00000000,-4033126396.00000000
1683356400000,0.0027550,0.0028464,0.0027100,0.0027573,27812700682.00000000,13662800986.00000000,-487098710.00000000
1683360000000,0.0027552,0.0029100,0.0027275,0.0028601,25416036703.00000000,12963801160.00000000,511565617.00000000
1683363600000,0.0028603,0.0029400,0.0027284,0.0028900,25353442699.00000000,12623938011.00000000,-105566677.00000000
1683367200000,0.0028902,0.0031639,0.0028718,0.0031415,35227660220.00000000,18990286455.00000000,2752912690.00000000
1683370800000,0.0031408,0.0031429,0.0030067,0.0030846,23603081122.00000000,11538869423.00000000,-525342276.00000000
1683374400000,0.0030832,0.0031047,0.0029416,0.0030905,27764410719.00000000,13957004788.00000000,149598857.00000000
1683378000000,0.0030905,0.0031071,0.0028120,0.0028921,30809698793.00000000,15076201850.00000000,-657295093.00000000
1683381600000,0.0028921,0.0029175,0.0027300,0.0028713,32685542628.00000000,16020394703.00000000,-644753222.00000000
1683385200000,0.0028712,0.0029814,0.0028000,0.0029296,24765441945.00000000,12676028621.00000000,586615297.00000000
1683388800000,0.0029295,0.0030684,0.0028900,0.0029515,24127550180.00000000,12301321854.00000000,475093528.00000000
1683392400000,0.0029514,0.0030120,0.0028042,0.0028693,20062624110.00000000,9654971045.00000000,-752682020.00000000
1683396000000,0.0028693,0.0029050,0.0027251,0.0027687,18151378124.00000000,8580087926.00000000,-991202272.00000000
1683399600000,0.0027687,0.0027864,0.0024468,0.0025779,53311621031.00000000,25217175827.00000000,-2877269377.00000000
1683403200000,0.0025776,0.0026639,0.0025013,0.0025344,23671264274.00000000,11542189098.00000000,-586886078.00000000
1683406800000,0.0025349,0.0026101,0.0022908,0.0023704,43454847913.00000000,20515868019.00000000,-2423111875.00000000
1683410400000,0.0023703,0.0024473,0.0023286,0.0024010,23899622204.00000000,11956382852.00000000,13143500.00000000
1683414000000,0.0024011,0.0026760,0.0024000,0.0026200,29299502953.00000000,15566298676.00000000,1833094399.00000000
1683417600000,0.0026197,0.0026865,0.0024348,0.0024791,25679039727.00000000,12225756059.00000000,-1227527609.00000000
1683421200000,0.0024789,0.0026259,0.0024724,0.0025540,19041307064.00000000,10073789328.00000000,1106271592.00000000
1683424800000,0.0025539,0.0026899,0.0025200,0.0025480,16981667759.00000000,8644726679.00000000,307785599.00000000
1683428400000,0.0025479,0.0026306,0.0025000,0.0025990,11979149655.00000000,6427399511.00000000,875649367.00000000
1683432000000,0.0025990,0.0026600,0.0025435,0.0025654,14074517556.00000000,6618373726.00000000,-837770104.00000000
