open_time,open,high,low,close,volume,taker_buy,delta
1731326400000,0.4305200,0.4473100,0.3937500,0.3984500,23854211.00000000,10678691.00000000,-2496829.00000000
1731330000000,0.3984800,0.4280000,0.3768500,0.4108400,64615883.00000000,32981105.00000000,1346327.00000000
1731333600000,0.4108400,0.4470700,0.3953000,0.4343800,49245122.00000000,24583122.00000000,-78878.00000000
1731337200000,0.4340100,0.4491000,0.3909400,0.4058900,56964477.00000000,26517820.00000000,-3928837.00000000
1731340800000,0.4058900,0.4163200,0.3824500,0.3897700,39033665.00000000,18323716.00000000,-2386233.00000000
1731344400000,0.3896700,0.4070300,0.3850000,0.3980000,29634354.00000000,14560959.00000000,-512436.00000000
1731348000000,0.3980000,0.3985100,0.3778400,0.3907200,28246618.00000000,13032542.00000000,-2181534.00000000
1731351600000,0.3906700,0.3914200,0.3505100,0.3560000,50883774.00000000,22643603.00000000,-5596568.00000000
1731355200000,0.3560100,0.3744000,0.3280000,0.3713500,76109110.00000000,37421452.00000000,-1266206.00000000
1731358800000,0.3713900,0.3955500,0.3537700,0.3664000,47721321.00000000,23189903.00000000,-1341515.00000000
1731362400000,0.3663200,0.3840000,0.3503000,0.3766800,35600116.00000000,17749715.00000000,-100686.00000000
1731366000000,0.3766900,0.3972800,0.3582500,0.3910100,33999668.00000000,16274723.00000000,-1450222.00000000
1731369600000,0.3909600,0.4798900,0.3802000,0.4347500,96934306.00000000,49192556.00000000,1450806.00000000
1731373200000,0.4348800,0.4563800,0.4021700,0.4215500,38908234.00000000,18566899.00000000,-1774436.00000000
1731376800000,0.4215600,0.4410000,0.4078400,0.4190200,25262392.00000000,11985873.00000000,-1290646.00000000
1731380400000,0.4192200,0.4600000,0.4156400,0.4544200,25660153.00000000,13867515.00000000,2074877.00000000
1731384000000,0.4544800,0.5200000,0.4472700,0.5195200,102458658.00000000,51705847.00000000,953036.00000000
1731387600000,0.5195200,0.5509000,0.4682600,0.5003100,102943298.00000000,49401500.00000000,-4140298.00000000
1731391200000,0.5004800,0.5280000,0.4752600,0.5093200,49542105.00000000,23588024.00000000,-2366057.00000000
1731394800000,0.5090600,0.5098300,0.4724000,0.4815400,34337795.00000000,16157281.00000000,-2023233.00000000
1731398400000,0.4817200,0.4921300,0.4525000,0.4729700,48709775.00000000,24184477.00000000,-340821.00000000
1731402000000,0.4728500,0.4780300,0.4183900,0.4199600,70262737.00000000,33700242.00000000,-2862253.00000000
1731405600000,0.4199400,0.4397500,0.3850000,0.4149800,117031159.00000000,56362986.00000000,-4305187.00000000
1731409200000,0.4149700,0.4564800,0.4058800,0.4374200,70295899.00000000,34326058.00000000,-1643783.00000000
1731412800000,0.4374100,0.4488800,0.4078900,0.4227300,79556246.00000000,39244046.00000000,-1068154.00000000
