open_time,open,high,low,close,volume,taker_buy,delta
1726228800000,0.4078000,0.4329000,0.4057000,0.4251000,16169144.00000000,7632641.00000000,-903862.00000000
1726232400000,0.4249000,0.4462000,0.4248000,0.4314000,46114735.00000000,20640552.00000000,-4833631.00000000
1726236000000,0.4316000,0.4384000,0.4211000,0.4285000,26626580.00000000,12471522.00000000,-1683536.00000000
1726239600000,0.4285000,0.4304000,0.4155000,0.4190000,20951343.00000000,9931334.00000000,-1088675.00000000
1726243200000,0.4190000,0.4301000,0.4133000,0.4165000,20095998.00000000,9161746.00000000,-1772506.00000000
1726246800000,0.4166000,0.4204000,0.4150000,0.4177000,9113038.00000000,4501603.00000000,-109832.00000000
1726250400000,0.4179000,0.4228000,0.4160000,0.4218000,9408802.00000000,4630740.00000000,-147322.00000000
1726254000000,0.4218000,0.4262000,0.4178000,0.4223000,9541393.00000000,4298621.00000000,-944151.00000000
1726257600000,0.4222000,0.4246000,0.4191000,0.4210000,5810398.00000000,2704692.00000000,-401014.00000000
1726261200000,0.4210000,0.4211000,0.4151000,0.4193000,7512292.00000000,3338123.00000000,-836046.00000000
1726264800000,0.4192000,0.4217000,0.4162000,0.4178000,6280955.00000000,3062731.00000000,-155493.00000000
1726268400000,0.4177000,0.4186000,0.4049000,0.4106000,13634295.00000000,5873515.00000000,-1887265.00000000
1726272000000,0.4105000,0.4200000,0.4061000,0.4192000,15918385.00000000,7674835.00000000,-568715.00000000
1726275600000,0.4191000,0.4239000,0.4161000,0.4175000,10943758.00000000,5477881.00000000,12004.00000000
1726279200000,0.4175000,0.4195000,0.4147000,0.4179000,5654240.00000000,2744382.00000000,-165476.00000000
1726282800000,0.4179000,0.4239000,0.4170000,0.4239000,5952403.00000000,3060645.00000000,168887.00000000
1726286400000,0.4239000,0.4241000,0.4184000,0.4186000,5625994.00000000,2269451.00000000,-1087092.00000000
1726290000000,0.4186000,0.4229000,0.4100000,0.4146000,9352253.00000000,3829165.00000000,-1693923.00000000
1726293600000,0.4147000,0.4205000,0.4126000,0.4187000,9714676.00000000,5488435.00000000,1262194.00000000
1726297200000,0.4187000,0.4198000,0.4140000,0.4144000,4756672.00000000,2016670.00000000,-723332.00000000
1726300800000,0.4145000,0.4164000,0.4108000,0.4133000,6191311.00000000,2890023.00000000,-411265.00000000
1726304400000,0.4134000,0.4152000,0.4119000,0.4149000,4070768.00000000,2105154.00000000,139540.00000000
1726308000000,0.4148000,0.4148000,0.4055000,0.4084000,10753800.00000000,4467996.00000000,-1817808.00000000
1726311600000,0.4085000,0.4096000,0.4050000,0.4083000,11458605.00000000,5883474.00000000,308343.00000000
1726315200000,0.4082000,0.4126000,0.4033000,0.4104000,12280936.00000000,6434358.00000000,587780.00000000
1726318800000,0.4105000,0.4130000,0.4059000,0.4091000,9974192.00000000,4651262.00000000,-671668.00000000
1726322400000,0.4090000,0.4114000,0.4063000,0.4111000,8712387.00000000,4275119.00000000,-162149.00000000
1726326000000,0.4111000,0.4135000,0.4097000,0.4102000,6440165.00000000,3204489.00000000,-31187.00000000
1726329600000,0.4101000,0.4113000,0.4080000,0.4096000,4359603.00000000,1979122.00000000,-401359.00000000
1726333200000,0.4096000,0.4096000,0.4060000,0.4078000,4640673.00000000,2038481.00000000,-563711.00000000
1726336800000,0.4077000,0.4077000,0.4016000,0.4065000,9215759.00000000,3785362.00000000,-1645035.00000000
1726340400000,0.4065000,0.4066000,0.3937000,0.4013000,12229181.00000000,4819770.00000000,-2589641.00000000
1726344000000,0.4014000,0.4057000,0.3993000,0.4046000,7500827.00000000,3876939.00000000,253051.00000000
1726347600000,0.4046000,0.4068000,0.4029000,0.4057000,4538763.00000000,2368533.00000000,198303.00000000
1726351200000,0.4057000,0.4058000,0.4015000,0.4046000,4517473.00000000,1986156.00000000,-545161.00000000
1726354800000,0.4048000,0.4064000,0.4038000,0.4053000,3347743.00000000,1589519.00000000,-168705.00000000
1726358400000,0.4053000,0.4056000,0.4010000,0.4019000,5303671.00000000,2634211.00000000,-35249.00000000
1726362000000,0.4019000,0.4067000,0.4016000,0.4050000,5198996.00000000,2612361.00000000,25726.00000000
1726365600000,0.4050000,0.4081000,0.4025000,0.4064000,4942726.00000000,2377647.00000000,-187432.00000000
1726369200000,0.4063000,0.4076000,0.4041000,0.4052000,3531417.00000000,1579008.00000000,-373401.00000000
1726372800000,0.4053000,0.4056000,0.4018000,0.4021000,5320247.00000000,2444579.00000000,-431089.00000000
1726376400000,0.4020000,0.4058000,0.4018000,0.4036000,3595335.00000000,1920106.00000000,244877.00000000
1726380000000,0.4035000,0.4048000,0.4027000,0.4036000,2633852.00000000,1239675.00000000,-154502.00000000
1726383600000,0.4036000,0.4045000,0.3971000,0.4009000,8470355.00000000,3482921.00000000,-1504513.00000000
1726387200000,0.4009000,0.4016000,0.3964000,0.3986000,8023762.00000000,3694815.00000000,-634132.00000000
1726390800000,0.3986000,0.4013000,0.3977000,0.3993000,4584306.00000000,2384477.00000000,184648.00000000
1726394400000,0.3992000,0.4011000,0.3980000,0.4000000,5118144.00000000,2431308.00000000,-255528.00000000
1726398000000,0.4000000,0.4005000,0.3975000,0.3992000,3962402.00000000,1927337.00000000,-107728.00000000
1726401600000,0.3994000,0.4020000,0.3986000,0.4015000,2855197.00000000,1442930.00000000,30663.00000000
1726405200000,0.4014000,0.4036000,0.4007000,0.4026000,5394621.00000000,2649345.00000000,-95931.00000000
1726408800000,0.4026000,0.4040000,0.3993000,0.4014000,5795374.00000000,2668245.00000000,-458884.00000000
1726412400000,0.4015000,0.4043000,0.4007000,0.4035000,2921650.00000000,1438993.00000000,-43664.00000000
1726416000000,0.4035000,0.4044000,0.3976000,0.3990000,3866902.00000000,1647666.00000000,-571570.00000000
1726419600000,0.3990000,0.4001000,0.3901000,0.3957000,13750961.00000000,5669255.00000000,-2412451.00000000
1726423200000,0.3957000,0.4017000,0.3949000,0.3973000,10433417.00000000,5930351.00000000,1427285.00000000
1726426800000,0.3973000,0.4013000,0.3971000,0.3998000,3776145.00000000,1660521.00000000,-455103.00000000
1726430400000,0.3998000,0.4000000,0.3937000,0.3981000,5651549.00000000,2214452.00000000,-1222645.00000000
1726434000000,0.3981000,0.3991000,0.3931000,0.3979000,6707655.00000000,2799034.00000000,-1109587.00000000
1726437600000,0.3979000,0.3998000,0.3943000,0.3958000,4892015.00000000,2413459.00000000,-65097.00000000
1726441200000,0.3957000,0.3958000,0.3860000,0.3887000,14778706.00000000,6144324.00000000,-2490058.00000000
1726444800000,0.3886000,0.3921000,0.3835000,0.3869000,13717435.00000000,6375439.00000000,-966557.00000000
1726448400000,0.3868000,0.3871000,0.3775000,0.3803000,15427809.00000000,6417286.00000000,-2593237.00000000
1726452000000,0.3803000,0.3811000,0.3736000,0.3750000,10986515.00000000,4891848.00000000,-1202819.00000000
1726455600000,0.3750000,0.3822000,0.3745000,0.3812000,5819260.00000000,3277313.00000000,735366.00000000
1726459200000,0.3813000,0.3829000,0.3811000,0.3825000,3468742.00000000,1716812.00000000,-35118.00000000
1726462800000,0.3825000,0.3852000,0.3815000,0.3850000,4471882.00000000,2499558.00000000,527234.00000000
1726466400000,0.3850000,0.3852000,0.3816000,0.3820000,4197622.00000000,1659002.00000000,-879618.00000000
1726470000000,0.3820000,0.3859000,0.3819000,0.3839000,3942901.00000000,2099677.00000000,256453.00000000
1726473600000,0.3839000,0.3856000,0.3825000,0.3830000,3644090.00000000,1807470.00000000,-29150.00000000
1726477200000,0.3830000,0.3847000,0.3757000,0.3768000,9382277.00000000,3672218.00000000,-2037841.00000000
1726480800000,0.3767000,0.3803000,0.3737000,0.3799000,8591771.00000000,4820049.00000000,1048327.00000000
1726484400000,0.3799000,0.3815000,0.3770000,0.3797000,5242104.00000000,2765348.00000000,288592.00000000
1726488000000,0.3798000,0.3815000,0.3770000,0.3776000,6758825.00000000,2915839.00000000,-927147.00000000
1726491600000,0.3776000,0.3815000,0.3748000,0.3811000,10256064.00000000,5091160.00000000,-73744.00000000
1726495200000,0.3812000,0.3812000,0.3745000,0.3776000,8333952.00000000,4134279.00000000,-65394.00000000
1726498800000,0.3776000,0.3799000,0.3772000,0.3774000,4243253.00000000,2195899.00000000,148545.00000000
1726502400000,0.3773000,0.3787000,0.3750000,0.3757000,4142334.00000000,1851618.00000000,-439098.00000000
