open_time,open,high,low,close,volume,taker_buy,delta
1724331600000,0.5617000,0.5768000,0.5405000,0.5708000,11062452.00000000,5596278.00000000,130104.00000000
1724335200000,0.5704000,0.5936000,0.5552000,0.5695000,11267086.00000000,5656862.00000000,46638.00000000
1724338800000,0.5695000,0.5822000,0.5535000,0.5609000,7746981.00000000,3640368.00000000,-466245.00000000
1724342400000,0.5609000,0.5902000,0.5564000,0.5861000,8860066.00000000,4300404.00000000,-259258.00000000
1724346000000,0.5862000,0.5900000,0.5733000,0.5782000,7041256.00000000,3435150.00000000,-170956.00000000
1724349600000,0.5777000,0.5880000,0.5696000,0.5731000,3352328.00000000,1642269.00000000,-67790.00000000
1724353200000,0.5726000,0.5732000,0.5588000,0.5643000,3355023.00000000,1623964.00000000,-107095.00000000
1724356800000,0.5647000,0.5807000,0.5640000,0.5785000,2083421.00000000,1102476.00000000,121531.00000000
1724360400000,0.5789000,0.5850000,0.5741000,0.5811000,2310479.00000000,1100653.00000000,-109173.00000000
1724364000000,0.5811000,0.5824000,0.5769000,0.5803000,1397278.00000000,718095.00000000,38912.00000000
1724367600000,0.5803000,0.5867000,0.5744000,0.5819000,2207583.00000000,1015908.00000000,-175767.00000000
1724371200000,0.5818000,0.6119000,0.5811000,0.6101000,7696455.00000000,4222229.00000000,748003.00000000
1724374800000,0.6097000,0.6320000,0.5978000,0.6014000,9357800.00000000,4625363.00000000,-107074.00000000
1724378400000,0.6016000,0.6068000,0.5913000,0.6026000,4284065.00000000,2147012.00000000,9959.00000000
1724382000000,0.6026000,0.6068000,0.5916000,0.5928000,2410794.00000000,1145218.00000000,-120358.00000000
1724385600000,0.5928000,0.5957000,0.5786000,0.5822000,3641762.00000000,1821431.00000000,1100.00000000
1724389200000,0.5820000,0.6226000,0.5818000,0.6217000,8501666.00000000,4113443.00000000,-274780.00000000
1724392800000,0.6217000,0.6219000,0.6011000,0.6124000,5262640.00000000,2388398.00000000,-485844.00000000
1724396400000,0.6125000,0.6128000,0.5900000,0.5938000,3967407.00000000,1941765.00000000,-83877.00000000
1724400000000,0.5943000,0.6051000,0.5893000,0.5945000,3830177.00000000,1967715.00000000,105253.00000000
1724403600000,0.5943000,0.6105000,0.5940000,0.6017000,4041652.00000000,1939600.00000000,-162452.00000000
1724407200000,0.6019000,0.6153000,0.6000000,0.6002000,4349914.00000000,2013863.00000000,-322188.00000000
1724410800000,0.6000000,0.6019000,0.5615000,0.5891000,14133176.00000000,7259514.00000000,385852.00000000
1724414400000,0.5891000,0.6130000,0.5851000,0.6052000,5113386.00000000,2451638.00000000,-210110.00000000
1724418000000,0.6052000,0.6480000,0.6051000,0.6366000,13536460.00000000,7129478.00000000,722496.00000000
1724421600000,0.6367000,0.7029000,0.6330000,0.6400000,42194942.00000000,20630842.00000000,-933258.00000000
1724425200000,0.6399000,0.6800000,0.6385000,0.6684000,18509162.00000000,9112983.00000000,-283196.00000000
1724428800000,0.6684000,0.6960000,0.6589000,0.6818000,16710825.00000000,8599080.00000000,487335.00000000
1724432400000,0.6818000,0.7078000,0.6800000,0.7037000,15411092.00000000,7914296.00000000,417500.00000000
1724436000000,0.7037000,0.7381000,0.6982000,0.6994000,18129836.00000000,8873257.00000000,-383322.00000000
1724439600000,0.6995000,0.7112000,0.6867000,0.6999000,13600702.00000000,6922391.00000000,244080.00000000
1724443200000,0.6999000,0.7261000,0.6995000,0.7101000,9323386.00000000,4732355.00000000,141324.00000000
1724446800000,0.7102000,0.7461000,0.7102000,0.7378000,10943068.00000000,5702958.00000000,462848.00000000
1724450400000,0.7382000,0.7665000,0.7280000,0.7423000,12711247.00000000,6168852.00000000,-373543.00000000
1724454000000,0.7421000,0.7446000,0.7245000,0.7390000,8904919.00000000,4400109.00000000,-104701.00000000
1724457600000,0.7391000,0.7800000,0.7355000,0.7382000,15823306.00000000,8065557.00000000,307808.00000000
1724461200000,0.7378000,0.7479000,0.7150000,0.7467000,9610576.00000000,4693791.00000000,-222994.00000000
1724464800000,0.7467000,0.7791000,0.7407000,0.7670000,10378157.00000000,5288626.00000000,199095.00000000
1724468400000,0.7671000,0.7755000,0.7561000,0.7693000,7344510.00000000,3526305.00000000,-291900.00000000
1724472000000,0.7693000,0.7775000,0.7400000,0.7435000,9447309.00000000,4376098.00000000,-695113.00000000
1724475600000,0.7435000,0.7730000,0.7431000,0.7486000,10181871.00000000,4767946.00000000,-645979.00000000
1724479200000,0.7487000,0.7571000,0.7400000,0.7511000,7129524.00000000,3874420.00000000,619316.00000000
1724482800000,0.7513000,0.7637000,0.7458000,0.7500000,4778031.00000000,2369025.00000000,-39981.00000000
1724486400000,0.7497000,0.7507000,0.7277000,0.7455000,7531011.00000000,3681443.00000000,-168125.00000000
1724490000000,0.7454000,0.7574000,0.7300000,0.7503000,5984672.00000000,2997775.00000000,10878.00000000
1724493600000,0.7503000,0.7615000,0.7415000,0.7481000,6271193.00000000,3038951.00000000,-193291.00000000
1724497200000,0.7482000,0.7504000,0.7120000,0.7216000,9688021.00000000,3995015.00000000,-1697991.00000000
1724500800000,0.7215000,0.7428000,0.7214000,0.7339000,6881179.00000000,3642889.00000000,404599.00000000
1724504400000,0.7340000,0.7558000,0.7340000,0.7497000,6821037.00000000,3624202.00000000,427367.00000000
1724508000000,0.7496000,0.7497000,0.7268000,0.7355000,4575029.00000000,2115285.00000000,-344459.00000000
1724511600000,0.7353000,0.7449000,0.7226000,0.7426000,4847839.00000000,2436260.00000000,24681.00000000
1724515200000,0.7426000,0.7864000,0.7424000,0.7807000,11065708.00000000,5831375.00000000,597042.00000000
1724518800000,0.7810000,0.7946000,0.7489000,0.7579000,11445292.00000000,5600350.00000000,-244592.00000000
1724522400000,0.7578000,0.7730000,0.7505000,0.7705000,4853771.00000000,2606743.00000000,359715.00000000
1724526000000,0.7703000,0.7932000,0.7560000,0.7607000,8535662.00000000,3978800.00000000,-578062.00000000
1724529600000,0.7608000,0.7722000,0.7435000,0.7493000,4164523.00000000,1892331.00000000,-379861.00000000
1724533200000,0.7494000,0.7500000,0.7250000,0.7306000,6444408.00000000,2828822.00000000,-786764.00000000
1724536800000,0.7303000,0.7446000,0.7225000,0.7261000,5316495.00000000,2844755.00000000,373015.00000000
1724540400000,0.7263000,0.7558000,0.7242000,0.7527000,3258547.00000000,1834646.00000000,410745.00000000
1724544000000,0.7527000,0.7696000,0.7372000,0.7431000,5724564.00000000,2549263.00000000,-626038.00000000
1724547600000,0.7432000,0.7576000,0.7355000,0.7492000,4017156.00000000,2033435.00000000,49714.00000000
1724551200000,0.7490000,0.7566000,0.7417000,0.7457000,2799420.00000000,1290227.00000000,-218966.00000000
1724554800000,0.7459000,0.7477000,0.7326000,0.7423000,3326382.00000000,1756809.00000000,187236.00000000
1724558400000,0.7422000,0.7507000,0.7269000,0.7499000,4895375.00000000,2413972.00000000,-67431.00000000
1724562000000,0.7498000,0.7524000,0.7321000,0.7380000,3756001.00000000,1859272.00000000,-37457.00000000
1724565600000,0.7382000,0.7437000,0.7237000,0.7328000,3780729.00000000,1836035.00000000,-108659.00000000
1724569200000,0.7327000,0.7365000,0.6923000,0.7184000,13023767.00000000,6133298.00000000,-757171.00000000
1724572800000,0.7186000,0.7536000,0.7073000,0.7381000,7720076.00000000,3947963.00000000,175850.00000000
1724576400000,0.7380000,0.7425000,0.7290000,0.7363000,3140384.00000000,1422147.00000000,-296090.00000000
1724580000000,0.7363000,0.7388000,0.7109000,0.7256000,3786905.00000000,1711259.00000000,-364387.00000000
1724583600000,0.7259000,0.7469000,0.7236000,0.7435000,3554949.00000000,1769442.00000000,-16065.00000000
1724587200000,0.7433000,0.7552000,0.7341000,0.7549000,4442632.00000000,2148968.00000000,-144696.00000000
1724590800000,0.7550000,0.7679000,0.7470000,0.7579000,6580362.00000000,3072210.00000000,-435942.00000000
1724594400000,0.7581000,0.7741000,0.7525000,0.7563000,7266629.00000000,3668470.00000000,70311.00000000
1724598000000,0.7565000,0.7568000,0.7272000,0.7354000,6927517.00000000,3129818.00000000,-667881.00000000
1724601600000,0.7353000,0.7436000,0.7322000,0.7380000,4093310.00000000,2270144.00000000,446978.00000000
1724605200000,0.7380000,0.7482000,0.7372000,0.7400000,3574952.00000000,1659101.00000000,-256750.00000000
1724608800000,0.7400000,0.7662000,0.7354000,0.7602000,4697608.00000000,2328990.00000000,-39628.00000000
1724612400000,0.7600000,0.7756000,0.7549000,0.7731000,5300766.00000000,2701568.00000000,102370.00000000
1724616000000,0.7736000,0.7807000,0.7537000,0.7613000,5889781.00000000,2805901.00000000,-277979.00000000
1724619600000,0.7613000,0.8080000,0.7571000,0.7989000,13300289.00000000,6739113.00000000,177937.00000000
1724623200000,0.7993000,0.8039000,0.7578000,0.7651000,9832661.00000000,4530451.00000000,-771759.00000000
1724626800000,0.7653000,0.7799000,0.7550000,0.7601000,7221629.00000000,3523837.00000000,-173955.00000000
1724630400000,0.7602000,0.7696000,0.7394000,0.7526000,7452563.00000000,3704273.00000000,-44017.00000000
1724634000000,0.7526000,0.7592000,0.7381000,0.7439000,4502968.00000000,2355702.00000000,208436.00000000
1724637600000,0.7440000,0.7585000,0.7413000,0.7572000,4398717.00000000,2298159.00000000,197601.00000000
1724641200000,0.7573000,0.7696000,0.7501000,0.7687000,3739037.00000000,2006100.00000000,273163.00000000
1724644800000,0.7686000,0.7726000,0.7529000,0.7603000,3921093.00000000,1907278.00000000,-106537.00000000
1724648400000,0.7603000,0.7613000,0.7465000,0.7588000,2815146.00000000,1391014.00000000,-33118.00000000
1724652000000,0.7588000,0.7596000,0.7406000,0.7449000,4997837.00000000,2452223.00000000,-93391.00000000
1724655600000,0.7446000,0.7549000,0.7362000,0.7439000,4901537.00000000,2299651.00000000,-302235.00000000
1724659200000,0.7442000,0.7564000,0.7407000,0.7495000,3127877.00000000,1649561.00000000,171245.00000000
1724662800000,0.7496000,0.7623000,0.7394000,0.7599000,4409914.00000000,2176993.00000000,-55928.00000000
1724666400000,0.7599000,0.7655000,0.7542000,0.7625000,4060595.00000000,2062700.00000000,64805.00000000
1724670000000,0.7625000,0.7800000,0.7578000,0.7650000,9938020.00000000,4813511.00000000,-310998.00000000
1724673600000,0.7651000,0.7720000,0.7430000,0.7514000,8393080.00000000,4212538.00000000,31996.00000000
1724677200000,0.7512000,0.7636000,0.7448000,0.7598000,6673123.00000000,3285545.00000000,-102033.00000000
1724680800000,0.7599000,0.7700000,0.7376000,0.7505000,9441967.00000000,4843235.00000000,244503.00000000
1724684400000,0.7504000,0.7504000,0.7163000,0.7287000,11312166.00000000,5088654.00000000,-1134858.00000000
1724688000000,0.7285000,0.7424000,0.7151000,0.7206000,7183795.00000000,3247913.00000000,-687969.00000000
1724691600000,0.7206000,0.7227000,0.6902000,0.7062000,11846648.00000000,5713893.00000000,-418862.00000000
1724695200000,0.7062000,0.7265000,0.6965000,0.7223000,6478787.00000000,3345115.00000000,211443.00000000
1724698800000,0.7218000,0.7274000,0.7083000,0.7122000,3374722.00000000,1556238.00000000,-262246.00000000
1724702400000,0.7121000,0.7197000,0.7012000,0.7163000,3795629.00000000,2133569.00000000,471509.00000000
1724706000000,0.7162000,0.7180000,0.6833000,0.6943000,6430567.00000000,2704289.00000000,-1021989.00000000
1724709600000,0.6943000,0.7096000,0.6933000,0.7045000,3918053.00000000,1993205.00000000,68357.00000000
1724713200000,0.7045000,0.7142000,0.6961000,0.7015000,3800433.00000000,1907157.00000000,13881.00000000
1724716800000,0.7015000,0.7185000,0.7013000,0.7082000,4173152.00000000,2076884.00000000,-19384.00000000
1724720400000,0.7081000,0.7358000,0.7061000,0.7130000,6090685.00000000,3156961.00000000,223237.00000000
1724724000000,0.7131000,0.7236000,0.6986000,0.6993000,3563918.00000000,1626289.00000000,-311340.00000000
1724727600000,0.6992000,0.7067000,0.6861000,0.7057000,4992385.00000000,2541958.00000000,91531.00000000
1724731200000,0.7057000,0.7121000,0.6980000,0.7048000,3320979.00000000,1516914.00000000,-287151.00000000
1724734800000,0.7048000,0.7366000,0.7028000,0.7355000,7329544.00000000,3468700.00000000,-392144.00000000
1724738400000,0.7355000,0.7356000,0.6875000,0.6938000,8836709.00000000,3778099.00000000,-1280511.00000000
1724742000000,0.6938000,0.6977000,0.6710000,0.6767000,8407890.00000000,3719295.00000000,-969300.00000000
1724745600000,0.6768000,0.6827000,0.6631000,0.6724000,6069564.00000000,3027988.00000000,-13588.00000000
1724749200000,0.6723000,0.6800000,0.6654000,0.6749000,4357743.00000000,2195919.00000000,34095.00000000
1724752800000,0.6748000,0.6775000,0.6600000,0.6676000,5967411.00000000,2830064.00000000,-307283.00000000
1724756400000,0.6677000,0.6818000,0.6657000,0.6776000,4274463.00000000,2248519.00000000,222575.00000000
1724760000000,0.6774000,0.6800000,0.6668000,0.6777000,4951366.00000000,2409402.00000000,-132562.00000000
1724763600000,0.6778000,0.6791000,0.6633000,0.6685000,5041099.00000000,2414396.00000000,-212307.00000000
1724767200000,0.6686000,0.6900000,0.6620000,0.6725000,8456431.00000000,4147416.00000000,-161599.00000000
1724770800000,0.6724000,0.6877000,0.6655000,0.6793000,5674187.00000000,2822333.00000000,-29521.00000000
1724774400000,0.6791000,0.6956000,0.6699000,0.6733000,7008602.00000000,3346602.00000000,-315398.00000000
1724778000000,0.6731000,0.6872000,0.6720000,0.6864000,3469762.00000000,1792742.00000000,115722.00000000
1724781600000,0.6864000,0.7165000,0.6825000,0.7101000,6595948.00000000,3375051.00000000,154154.00000000
1724785200000,0.7100000,0.7136000,0.6966000,0.7029000,4255473.00000000,2084760.00000000,-85953.00000000
1724788800000,0.7026000,0.7028000,0.6917000,0.6946000,3142539.00000000,1496200.00000000,-150139.00000000
1724792400000,0.6948000,0.6977000,0.6505000,0.6656000,12461490.00000000,5865221.00000000,-731048.00000000
1724796000000,0.6656000,0.6833000,0.6387000,0.6797000,16158569.00000000,8586833.00000000,1015097.00000000
1724799600000,0.6794000,0.6855000,0.6651000,0.6770000,6429937.00000000,3409739.00000000,389541.00000000
1724803200000,0.6771000,0.6878000,0.6672000,0.6801000,6385525.00000000,3001612.00000000,-382301.00000000
1724806800000,0.6802000,0.6864000,0.6666000,0.6857000,5121917.00000000,2449962.00000000,-221993.00000000
1724810400000,0.6853000,0.7161000,0.6813000,0.7140000,9218306.00000000,4810432.00000000,402558.00000000
1724814000000,0.7142000,0.7254000,0.7062000,0.7173000,8149104.00000000,4113741.00000000,78378.00000000
1724817600000,0.7175000,0.7200000,0.7022000,0.7054000,7608586.00000000,3524380.00000000,-559826.00000000
1724821200000,0.7054000,0.7417000,0.7002000,0.7176000,10712419.00000000,5822403.00000000,932387.00000000
1724824800000,0.7176000,0.7219000,0.7066000,0.7170000,5863082.00000000,2934426.00000000,5770.00000000
