open_time,open,high,low,close,volume,taker_buy,delta
1752130800000,0.0059500,0.0059500,0.0050400,0.0051790,3101427179.00000000,1677118293.00000000,252809407.00000000
1752134400000,0.0051770,0.0054240,0.0051500,0.0052780,2033744051.00000000,1061654383.00000000,89564715.00000000
1752138000000,0.0052800,0.0053340,0.0047770,0.0048760,3737206915.00000000,1808394932.00000000,-120417051.00000000
1752141600000,0.0048760,0.0051730,0.0048400,0.0050490,2751982637.00000000,1660495148.00000000,569007659.00000000
1752145200000,0.0050500,0.0050640,0.0048000,0.0048820,1867236149.00000000,935111115.00000000,2986081.00000000
1752148800000,0.0048820,0.0050150,0.0048100,0.0049500,1888444829.00000000,943169092.00000000,-2106645.00000000
1752152400000,0.0049500,0.0049650,0.0047040,0.0048170,3071839985.00000000,1622605100.00000000,173370215.00000000
1752156000000,0.0048140,0.0049180,0.0047510,0.0047920,1392040334.00000000,704548422.00000000,17056510.00000000
1752159600000,0.0047950,0.0049400,0.0047600,0.0049180,1107404057.00000000,590603319.00000000,73802581.00000000
1752163200000,0.0049170,0.0050770,0.0048300,0.0050430,2700876372.00000000,1609946314.00000000,519016256.00000000
1752166800000,0.0050420,0.0051200,0.0049220,0.0049370,1771897803.00000000,919399236.00000000,66900669.00000000
1752170400000,0.0049380,0.0051550,0.0049100,0.0051340,1539701596.00000000,860641985.00000000,181582374.00000000
1752174000000,0.0051320,0.0051730,0.0049860,0.0051360,1521458661.00000000,777764085.00000000,34069509.00000000
1752177600000,0.0051370,0.0051690,0.0050400,0.0051380,901252602.00000000,445083973.00000000,-11084656.00000000
1752181200000,0.0051380,0.0051870,0.0050500,0.0051530,1094244357.00000000,596612102.00000000,98979847.00000000
1752184800000,0.0051540,0.0052880,0.0051150,0.0051530,1523690445.00000000,846188390.00000000,168686335.00000000
1752188400000,0.0051540,0.0052880,0.0051050,0.0051840,1285582514.00000000,644256997.00000000,2931480.00000000
1752192000000,0.0051850,0.0052360,0.0049000,0.0049540,1601148434.00000000,589596427.00000000,-421955580.00000000
1752195600000,0.0049540,0.0051130,0.0049520,0.0050690,867235895.00000000,497240190.00000000,127244485.00000000
