open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,24.5200,24.5950,24.5150,24.5770,474185.00000000,256286.00000000,38387.00000000
1675512000000,24.5780,24.6640,24.5320,24.6440,541248.00000000,286284.00000000,31320.00000000
1675515600000,24.6440,24.9430,24.6420,24.8320,1558693.00000000,818544.00000000,78395.00000000
1675519200000,24.8310,24.8640,24.6790,24.7970,599156.00000000,283346.00000000,-32464.00000000
1675522800000,24.7960,24.8060,24.6210,24.7050,557734.00000000,262729.00000000,-32276.00000000
1675526400000,24.7070,24.7510,24.5060,24.6230,920693.00000000,440618.00000000,-39457.00000000
1675530000000,24.6220,24.7460,24.5160,24.7230,723834.00000000,351600.00000000,-20634.00000000
1675533600000,24.7230,24.8090,24.5250,24.6670,645009.00000000,299193.00000000,-46623.00000000
1675537200000,24.6670,24.7070,24.6200,24.6550,334897.00000000,157258.00000000,-20381.00000000
1675540800000,24.6550,24.7510,24.5970,24.6890,439502.00000000,233641.00000000,27780.00000000
1675544400000,24.6900,24.7050,24.5690,24.6570,357621.00000000,158751.00000000,-40119.00000000
1675548000000,24.6570,24.7460,24.5800,24.6320,273898.00000000,133020.00000000,-7858.00000000
1675551600000,24.6330,24.6870,24.1440,24.3180,1514568.00000000,631155.00000000,-252258.00000000
1675555200000,24.3180,24.4190,24.0750,24.1790,1096386.00000000,497584.00000000,-101218.00000000
1675558800000,24.1800,24.2910,24.1250,24.2590,514764.00000000,262924.00000000,11084.00000000
1675562400000,24.2580,24.3700,24.1260,24.1310,564844.00000000,284974.00000000,5104.00000000
1675566000000,24.1310,24.2850,24.0210,24.2820,856663.00000000,433792.00000000,10921.00000000
1675569600000,24.2810,24.3380,24.2250,24.3070,393544.00000000,210868.00000000,28192.00000000
1675573200000,24.3080,24.3940,24.2910,24.3840,337176.00000000,173283.00000000,9390.00000000
1675576800000,24.3850,24.4600,24.3060,24.3980,529126.00000000,264675.00000000,224.00000000
1675580400000,24.3960,24.4310,24.3210,24.3350,304122.00000000,142076.00000000,-19970.00000000
1675584000000,24.3370,24.4330,24.3020,24.3990,462223.00000000,202437.00000000,-57349.00000000
1675587600000,24.3980,24.4400,24.2910,24.3110,429580.00000000,196038.00000000,-37504.00000000
1675591200000,24.3120,24.3790,24.2420,24.3180,383584.00000000,180696.00000000,-22192.00000000
1675594800000,24.3180,24.3370,24.1300,24.1870,652835.00000000,293380.00000000,-66075.00000000
1675598400000,24.1870,24.2200,23.1530,23.5750,3389126.00000000,1437394.00000000,-514338.00000000
1675602000000,23.5760,23.7690,23.4080,23.6270,2655443.00000000,1357536.00000000,59629.00000000
1675605600000,23.6270,23.7830,23.5610,23.7230,1350098.00000000,719224.00000000,88350.00000000
1675609200000,23.7230,23.8500,23.5810,23.6180,1333064.00000000,642779.00000000,-47506.00000000
1675612800000,23.6170,23.6900,23.3110,23.3430,1520885.00000000,679807.00000000,-161271.00000000
1675616400000,23.3430,23.5700,23.1700,23.3490,2112133.00000000,1037302.00000000,-37529.00000000
1675620000000,23.3490,23.5540,23.2880,23.3710,971802.00000000,474518.00000000,-22766.00000000
1675623600000,23.3700,23.4470,23.1700,23.3470,957216.00000000,444809.00000000,-67598.00000000
1675627200000,23.3460,23.4440,23.2020,23.2640,914537.00000000,439786.00000000,-34965.00000000
1675630800000,23.2630,23.4080,23.0000,23.3970,1406341.00000000,682706.00000000,-40929.00000000
1675634400000,23.3960,23.6620,23.3490,23.5690,867476.00000000,461406.00000000,55336.00000000
1675638000000,23.5690,23.6180,23.4310,23.4640,772131.00000000,351628.00000000,-68875.00000000
1675641600000,23.4650,23.7150,23.4520,23.6520,772900.00000000,431055.00000000,89210.00000000
1675645200000,23.6510,23.7170,23.5000,23.5230,524991.00000000,245448.00000000,-34095.00000000
