open_time,open,high,low,close,volume,taker_buy,delta
1676988000000,0.6480000,0.6480000,0.6120000,0.6191000,3203414.00000000,1469924.00000000,-263566.00000000
1676991600000,0.6191000,0.6214000,0.5962000,0.6082000,4800847.00000000,2241963.00000000,-316921.00000000
1676995200000,0.6087000,0.6207000,0.5993000,0.6200000,2217712.00000000,1063651.00000000,-90410.00000000
1676998800000,0.6206000,0.6543000,0.6122000,0.6533000,3374358.00000000,1557673.00000000,-259012.00000000
1677002400000,0.6535000,0.6971000,0.6287000,0.6473000,11714634.00000000,5524828.00000000,-664978.00000000
1677006000000,0.6470000,0.6576000,0.6380000,0.6470000,2748287.00000000,1256438.00000000,-235411.00000000
1677009600000,0.6468000,0.6517000,0.6392000,0.6413000,1471154.00000000,664224.00000000,-142706.00000000
1677013200000,0.6415000,0.6690000,0.6107000,0.6500000,7838210.00000000,3840543.00000000,-157124.00000000
1677016800000,0.6505000,0.6529000,0.6271000,0.6301000,3744668.00000000,1774185.00000000,-196298.00000000
1677020400000,0.6307000,0.6530000,0.6198000,0.6498000,4382412.00000000,2311516.00000000,240620.00000000
1677024000000,0.6496000,0.7024000,0.6492000,0.6712000,15255604.00000000,7720264.00000000,184924.00000000
1677027600000,0.6713000,0.7184000,0.6655000,0.6909000,14223325.00000000,7359775.00000000,496225.00000000
1677031200000,0.6910000,0.7028000,0.6644000,0.6940000,12144278.00000000,6292449.00000000,440620.00000000
1677034800000,0.6943000,0.6999000,0.6773000,0.6925000,8906175.00000000,4402893.00000000,-100389.00000000
1677038400000,0.6924000,0.6926000,0.6711000,0.6812000,5990322.00000000,2935906.00000000,-118510.00000000
1677042000000,0.6816000,0.6816000,0.6523000,0.6673000,5341013.00000000,2585508.00000000,-169997.00000000
1677045600000,0.6676000,0.6796000,0.6397000,0.6424000,7383455.00000000,3405444.00000000,-572567.00000000
1677049200000,0.6423000,0.6655000,0.6331000,0.6551000,6195108.00000000,3025034.00000000,-145040.00000000
1677052800000,0.6550000,0.6619000,0.6364000,0.6501000,4276471.00000000,2182293.00000000,88115.00000000
1677056400000,0.6501000,0.6994000,0.6481000,0.6876000,11301346.00000000,5745367.00000000,189388.00000000
1677060000000,0.6877000,0.6950000,0.6741000,0.6838000,7431349.00000000,3713332.00000000,-4685.00000000
1677063600000,0.6836000,0.7533000,0.6822000,0.7381000,42067065.00000000,21714086.00000000,1361107.00000000
1677067200000,0.7381000,0.7880000,0.7257000,0.7690000,63523591.00000000,33450028.00000000,3376465.00000000
1677070800000,0.7690000,0.8290000,0.7527000,0.8096000,71912414.00000000,37209249.00000000,2506084.00000000
1677074400000,0.8093000,0.8428000,0.7660000,0.7693000,82955564.00000000,40596747.00000000,-1762070.00000000
1677078000000,0.7695000,0.7861000,0.7500000,0.7572000,41472274.00000000,19963514.00000000,-1545246.00000000
1677081600000,0.7572000,0.7679000,0.7251000,0.7428000,39513126.00000000,20312680.00000000,1112234.00000000
