open_time,open,high,low,close,volume,taker_buy,delta
1683129600000,1.403000,1.403000,1.265200,1.373300,52709026.60000000,26111659.80000000,-485707.00000000
1683133200000,1.373100,1.392800,1.310000,1.333100,42348873.00000000,20368715.70000000,-1611441.60000000
1683136800000,1.332700,1.362400,1.307900,1.315700,32206412.20000000,16313904.60000000,421397.00000000
1683140400000,1.315600,1.340800,1.281100,1.317900,24572765.20000000,11944186.40000000,-684392.40000000
1683144000000,1.317800,1.374900,1.304700,1.371300,20362390.70000000,11001352.40000000,1640314.10000000
1683147600000,1.371300,1.378400,1.340000,1.356000,15484930.60000000,7835039.10000000,185147.60000000
1683151200000,1.356000,1.410000,1.353500,1.374500,21616114.60000000,11875617.90000000,2135121.20000000
1683154800000,1.374700,1.412500,1.362300,1.393200,25390591.20000000,13442312.60000000,1494034.00000000
1683158400000,1.393400,1.493100,1.385100,1.465400,59188289.40000000,29894816.20000000,601343.00000000
1683162000000,1.465200,1.489700,1.426600,1.447600,29590893.10000000,13804276.30000000,-1982340.50000000
1683165600000,1.447700,1.452500,1.414000,1.446100,22341056.40000000,11690657.40000000,1040258.40000000
1683169200000,1.446000,1.446500,1.375000,1.404800,30846052.70000000,14051056.10000000,-2743940.50000000
1683172800000,1.404700,1.418000,1.385000,1.412500,18316954.80000000,9503347.30000000,689739.80000000
1683176400000,1.412500,1.412600,1.385400,1.396100,15146640.50000000,7164287.00000000,-818066.50000000
1683180000000,1.396100,1.397600,1.350000,1.371100,27334024.30000000,12359880.40000000,-2614263.50000000
1683183600000,1.371000,1.382000,1.355000,1.370700,17933639.90000000,9308788.40000000,683936.90000000
1683187200000,1.370900,1.397200,1.363000,1.382400,22747218.20000000,11740880.00000000,734541.80000000
1683190800000,1.382400,1.390000,1.365000,1.386600,13850595.30000000,7095128.80000000,339662.30000000
1683194400000,1.386700,1.388000,1.355000,1.363700,26707824.40000000,12651514.70000000,-1404795.00000000
1683198000000,1.363700,1.368000,1.296000,1.300200,49878625.90000000,22163297.20000000,-5552031.50000000
1683201600000,1.300600,1.331900,1.294300,1.320600,32708421.00000000,16875752.60000000,1043084.20000000
1683205200000,1.320700,1.337900,1.311700,1.328400,25366610.80000000,12728312.30000000,90013.80000000
1683208800000,1.328400,1.333500,1.302200,1.325800,19685634.70000000,9641577.70000000,-402479.30000000
1683212400000,1.325700,1.348500,1.322000,1.330300,17606833.80000000,9117571.50000000,628309.20000000
1683216000000,1.330200,1.345600,1.322200,1.332900,16018718.80000000,8165668.80000000,312618.80000000
1683219600000,1.333000,1.342900,1.312200,1.323700,15409990.90000000,6993693.20000000,-1422604.50000000
1683223200000,1.323700,1.328000,1.312000,1.319900,10812651.50000000,5424893.90000000,37136.30000000
1683226800000,1.319900,1.337600,1.316400,1.332700,11310176.10000000,6081740.80000000,853305.50000000
1683230400000,1.332600,1.343700,1.321600,1.327200,9285390.60000000,4576675.80000000,-132039.00000000
1683234000000,1.327300,1.334500,1.316100,1.327100,6826726.10000000,3395615.90000000,-35494.30000000
1683237600000,1.327100,1.328500,1.315000,1.321000,5930438.20000000,2912594.10000000,-105250.00000000
1683241200000,1.321100,1.332900,1.306300,1.329500,10587867.00000000,5058566.00000000,-470735.00000000
1683244800000,1.329500,1.338500,1.301000,1.311100,15624300.80000000,7294982.00000000,-1034336.80000000
1683248400000,1.311100,1.311400,1.272000,1.300000,35299457.70000000,16329238.10000000,-2640981.50000000
1683252000000,1.300000,1.308800,1.282000,1.294000,16919245.00000000,8504903.30000000,90561.60000000
1683255600000,1.294100,1.298900,1.258600,1.267900,20749881.20000000,8770958.60000000,-3207964.00000000
1683259200000,1.267900,1.284400,1.260200,1.283300,18471447.90000000,9358226.70000000,245005.50000000
1683262800000,1.283200,1.289100,1.270000,1.285300,13252489.50000000,6625033.00000000,-2423.50000000
1683266400000,1.285400,1.289900,1.266900,1.273800,11724583.60000000,5166988.40000000,-1390606.80000000
1683270000000,1.273800,1.282900,1.267500,1.275000,12657314.90000000,6335068.20000000,12821.50000000
1683273600000,1.275100,1.278500,1.262000,1.268700,15612255.30000000,7191687.90000000,-1228879.50000000
1683277200000,1.268700,1.321700,1.267700,1.305200,38047925.50000000,19387571.90000000,727218.30000000
1683280800000,1.305200,1.373000,1.292000,1.365600,54901745.30000000,29194016.20000000,3486287.10000000
1683284400000,1.365800,1.380000,1.324500,1.343100,67095540.70000000,31668868.00000000,-3757804.70000000
1683288000000,1.343000,1.369900,1.320000,1.336800,46925404.40000000,23024547.90000000,-876308.60000000
1683291600000,1.336800,1.365000,1.332000,1.349500,28337851.20000000,14699598.20000000,1061345.20000000
1683295200000,1.349500,1.355500,1.310000,1.323800,31549771.30000000,14466190.50000000,-2617390.30000000
1683298800000,1.323800,1.327300,1.295000,1.306600,31484412.70000000,14720871.60000000,-2042669.50000000
1683302400000,1.306600,1.325500,1.299800,1.308900,23078122.60000000,11325925.40000000,-426271.80000000
1683306000000,1.308900,1.317800,1.293600,1.296200,13814020.40000000,5801553.50000000,-2210913.40000000
1683309600000,1.296400,1.308000,1.278300,1.301700,18658259.70000000,8808729.00000000,-1040801.70000000
1683313200000,1.301600,1.309900,1.297500,1.308100,6442715.50000000,3296908.50000000,151101.50000000
1683316800000,1.308200,1.308800,1.285200,1.296300,8444561.20000000,3838866.90000000,-766827.40000000
1683320400000,1.296200,1.308000,1.292300,1.296100,5197425.60000000,2202784.40000000,-791856.80000000
1683324000000,1.296100,1.316300,1.296100,1.309400,5905006.00000000,3200445.00000000,495884.00000000
1683327600000,1.309300,1.316700,1.300400,1.305900,5240736.80000000,2416017.40000000,-408702.00000000
1683331200000,1.305900,1.354000,1.290700,1.342300,19202604.70000000,10071141.20000000,939677.70000000
1683334800000,1.342200,1.352000,1.309500,1.313600,22266721.30000000,10447748.60000000,-1371224.10000000
1683338400000,1.313300,1.339500,1.303900,1.335100,14644357.80000000,8582625.60000000,2520893.40000000
1683342000000,1.334900,1.360000,1.317800,1.342500,25553125.40000000,13253431.80000000,953738.20000000
1683345600000,1.342500,1.363000,1.332200,1.336400,18720127.00000000,9637509.30000000,554891.60000000
1683349200000,1.336500,1.341900,1.325800,1.330300,8375395.90000000,4082798.50000000,-209798.90000000
1683352800000,1.330300,1.360000,1.324100,1.354300,14756273.60000000,7730400.90000000,704528.20000000
1683356400000,1.354200,1.376900,1.340000,1.345200,30775798.70000000,15184880.70000000,-406037.30000000
1683360000000,1.345200,1.346800,1.313700,1.326000,22948133.40000000,11070762.80000000,-806607.80000000
1683363600000,1.325900,1.329400,1.308300,1.323300,10018170.20000000,4461661.70000000,-1094846.80000000
1683367200000,1.323300,1.333700,1.300600,1.312900,16166224.90000000,7115462.30000000,-1935300.30000000
1683370800000,1.312900,1.327500,1.306500,1.323800,8990346.00000000,4540612.40000000,90878.80000000
1683374400000,1.323500,1.337600,1.305100,1.311100,18560953.70000000,8243298.10000000,-2074357.50000000
1683378000000,1.311100,1.314800,1.275000,1.289200,24352139.70000000,9867076.60000000,-4617986.50000000
1683381600000,1.289200,1.305500,1.268000,1.299800,19518343.70000000,9535854.90000000,-446633.90000000
1683385200000,1.299800,1.352500,1.285000,1.334900,41621022.50000000,21018979.10000000,416935.70000000
1683388800000,1.334900,1.345500,1.301500,1.311700,30101005.70000000,14369209.30000000,-1362587.10000000
1683392400000,1.311700,1.329000,1.306600,1.312500,12063163.80000000,6114100.00000000,165036.20000000
1683396000000,1.312300,1.324400,1.301500,1.321600,10003026.20000000,5132238.00000000,261449.80000000
1683399600000,1.321300,1.339700,1.305800,1.327600,12313601.00000000,6426304.80000000,539008.60000000
1683403200000,1.327600,1.335800,1.313300,1.320000,8440410.30000000,4153408.00000000,-133594.30000000
1683406800000,1.319900,1.329400,1.308000,1.312500,6487638.60000000,3375206.10000000,262773.60000000
1683410400000,1.312500,1.338900,1.305500,1.329600,9151111.90000000,4646098.90000000,141085.90000000
1683414000000,1.329600,1.337500,1.323200,1.329100,7937168.40000000,3855651.00000000,-225866.40000000
1683417600000,1.329300,1.347200,1.315000,1.330800,15561146.40000000,7714263.10000000,-132620.20000000
1683421200000,1.330400,1.342500,1.293100,1.299600,22225154.60000000,9258283.10000000,-3708588.40000000
1683424800000,1.299400,1.313200,1.296900,1.303700,7852307.30000000,4048874.90000000,245442.50000000
1683428400000,1.303800,1.311300,1.286000,1.295300,9665914.10000000,3726437.40000000,-2213039.30000000
1683432000000,1.295300,1.305000,1.293100,1.299400,4478565.50000000,2193334.00000000,-91897.50000000
1683435600000,1.299500,1.308600,1.298200,1.301600,3896775.50000000,1915420.80000000,-65933.90000000
1683439200000,1.301700,1.306800,1.295000,1.302800,5406948.90000000,2383047.80000000,-640853.30000000
1683442800000,1.302800,1.309300,1.298500,1.299100,5361986.00000000,2598796.60000000,-164392.80000000
1683446400000,1.299200,1.313900,1.299100,1.302900,6619714.90000000,3430310.50000000,240906.10000000
1683450000000,1.302900,1.311500,1.300000,1.307300,5495339.40000000,2644897.70000000,-205544.00000000
1683453600000,1.307400,1.309700,1.295500,1.299800,7310999.50000000,3556926.00000000,-197147.50000000
1683457200000,1.299800,1.300600,1.280000,1.289900,11232002.60000000,4348924.60000000,-2534153.40000000
1683460800000,1.290000,1.299600,1.280500,1.291400,8798010.40000000,4082285.40000000,-633439.60000000
1683464400000,1.291400,1.307600,1.290400,1.301600,10500176.00000000,5105473.80000000,-289228.40000000
1683468000000,1.301600,1.310400,1.298300,1.305500,8111997.60000000,3767099.50000000,-577798.60000000
1683471600000,1.305500,1.306200,1.282400,1.285800,10632442.00000000,4796418.20000000,-1039605.60000000
1683475200000,1.285700,1.291900,1.273400,1.290300,12951361.50000000,5811129.10000000,-1329103.30000000
1683478800000,1.290300,1.297500,1.279000,1.283100,7540291.70000000,3566904.70000000,-406482.30000000
1683482400000,1.283000,1.291200,1.278700,1.282500,4393163.90000000,2100461.40000000,-192241.10000000
1683486000000,1.282600,1.283700,1.268800,1.279500,9803020.70000000,4579529.70000000,-643961.30000000
1683489600000,1.279600,1.286000,1.275000,1.282200,4543956.50000000,1917495.00000000,-708966.50000000
1683493200000,1.282100,1.289000,1.274000,1.276400,4499705.10000000,2317738.80000000,135772.50000000
1683496800000,1.276400,1.285900,1.273300,1.282500,3829201.30000000,1898763.30000000,-31674.70000000
1683500400000,1.282600,1.288800,1.213500,1.241900,27478365.20000000,11100381.50000000,-5277602.20000000
1683504000000,1.241800,1.243500,1.214700,1.229900,21703413.10000000,10713589.80000000,-276233.50000000
1683507600000,1.229900,1.232400,1.100000,1.151700,63264989.00000000,26778357.00000000,-9708275.00000000
1683511200000,1.151700,1.172000,1.143200,1.170900,22030582.20000000,11435711.10000000,840840.00000000
1683514800000,1.170900,1.171200,1.144400,1.159700,21526657.70000000,10443215.80000000,-640226.10000000
1683518400000,1.159700,1.164500,1.145600,1.150300,11425953.10000000,5420816.00000000,-584321.10000000
1683522000000,1.150400,1.164800,1.143500,1.159600,13063514.40000000,6465160.40000000,-133193.60000000
1683525600000,1.159700,1.161200,1.120000,1.126700,18707656.70000000,8263674.00000000,-2180308.70000000
1683529200000,1.127100,1.139800,1.113000,1.129500,22612349.50000000,11327538.70000000,42727.90000000
1683532800000,1.129400,1.143700,1.124700,1.137300,18409649.60000000,9630273.00000000,850896.40000000
1683536400000,1.137300,1.153600,1.135600,1.152200,15824678.00000000,8838578.40000000,1852478.80000000
1683540000000,1.152300,1.158000,1.142800,1.151300,11463366.20000000,5983950.30000000,504534.40000000
1683543600000,1.151200,1.158900,1.133700,1.142700,17620066.70000000,8123360.90000000,-1373344.90000000
1683547200000,1.142700,1.148500,1.130200,1.145600,13103798.60000000,6758823.30000000,413848.00000000
1683550800000,1.145600,1.161800,1.138800,1.151500,14704654.20000000,7359832.20000000,15010.20000000
1683554400000,1.151400,1.158400,1.133800,1.154300,15426589.50000000,7456586.90000000,-513415.70000000
1683558000000,1.154200,1.160100,1.140500,1.144600,12574392.90000000,6828557.70000000,1082722.50000000
1683561600000,1.144600,1.147900,1.121600,1.131700,18522059.60000000,8865627.60000000,-790804.40000000
1683565200000,1.131700,1.134000,1.056000,1.063600,49005790.10000000,22379871.00000000,-4246048.10000000
1683568800000,1.064700,1.070000,1.011300,1.053100,44852981.90000000,21428335.50000000,-1996310.90000000
1683572400000,1.053100,1.062800,1.040900,1.043000,21105189.50000000,10944626.10000000,784062.70000000
1683576000000,1.043000,1.109900,1.042800,1.096200,40574761.30000000,21276876.00000000,1978990.70000000
1683579600000,1.096000,1.158300,1.087100,1.120900,31785291.50000000,16139869.00000000,494446.50000000
1683583200000,1.120900,1.133000,1.103500,1.127200,18276018.70000000,9711018.80000000,1146018.90000000
1683586800000,1.126900,1.144100,1.117900,1.135900,12340139.50000000,6552041.60000000,763943.70000000
1683590400000,1.135600,1.142000,1.111400,1.116600,15714402.70000000,7321651.20000000,-1071100.30000000
1683594000000,1.116800,1.134700,1.112800,1.129300,12612297.60000000,6673664.10000000,735030.60000000
1683597600000,1.129200,1.141600,1.108700,1.121500,12991268.80000000,6599664.70000000,208060.60000000
1683601200000,1.121600,1.124700,1.101500,1.113500,12148604.70000000,5564451.10000000,-1019702.50000000
1683604800000,1.113500,1.119700,1.105600,1.114100,8186551.20000000,4018932.10000000,-148687.00000000
1683608400000,1.114100,1.128800,1.104600,1.121800,11506761.40000000,5825899.10000000,145036.80000000
1683612000000,1.122100,1.125000,1.093900,1.110000,16354900.30000000,7922916.80000000,-509066.70000000
1683615600000,1.110100,1.155100,1.100000,1.149500,23709478.10000000,12848358.10000000,1987238.10000000
1683619200000,1.149400,1.149700,1.122700,1.125700,18625159.80000000,8630158.10000000,-1364843.60000000
1683622800000,1.125800,1.130700,1.103600,1.111200,15350673.00000000,7022841.30000000,-1304990.40000000
1683626400000,1.111300,1.134800,1.110200,1.126600,14190479.90000000,7094140.30000000,-2199.30000000
1683630000000,1.126700,1.140900,1.118000,1.137400,10388219.00000000,5257278.20000000,126337.40000000
1683633600000,1.137300,1.164900,1.125200,1.144800,36426492.40000000,18838754.10000000,1251015.80000000
1683637200000,1.144800,1.151500,1.126400,1.132100,16869730.20000000,7989740.70000000,-890248.80000000
1683640800000,1.132200,1.151800,1.121100,1.145700,16237660.20000000,8309129.70000000,380599.20000000
1683644400000,1.145400,1.174400,1.132600,1.148800,37535507.70000000,18533673.50000000,-468160.70000000
1683648000000,1.148900,1.177700,1.138000,1.166400,33314475.30000000,17062941.70000000,811408.10000000
1683651600000,1.166400,1.174000,1.142100,1.153000,21040986.80000000,10212339.10000000,-616308.60000000
1683655200000,1.153100,1.165000,1.146000,1.153000,13599580.50000000,6596581.40000000,-406417.70000000
1683658800000,1.152900,1.187000,1.151900,1.181900,24981385.00000000,12372385.30000000,-236614.40000000
1683662400000,1.181900,1.213500,1.168200,1.181100,42351239.20000000,22368923.40000000,2386607.59999999
1683666000000,1.181000,1.190400,1.157900,1.166000,15076657.80000000,6918241.70000000,-1240174.40000000
1683669600000,1.165900,1.175000,1.143400,1.165900,18588325.40000000,8788515.70000000,-1011294.00000000
1683673200000,1.165800,1.189900,1.165800,1.182600,11885625.60000000,6140358.30000000,395091.00000000
1683676800000,1.182700,1.213000,1.166600,1.207700,30488625.40000000,14301979.90000000,-1884665.60000000
1683680400000,1.207700,1.211900,1.195000,1.205700,18020215.80000000,9166880.40000000,313545.00000000
1683684000000,1.205600,1.207500,1.185200,1.188000,14793341.90000000,7072283.70000000,-648774.50000000
1683687600000,1.188100,1.200000,1.186900,1.196300,10092190.90000000,5312741.30000000,533291.70000000
1683691200000,1.196200,1.205700,1.175300,1.190400,18439353.60000000,9333548.50000000,227743.40000000
1683694800000,1.190300,1.198000,1.165300,1.168500,17832625.30000000,7880882.90000000,-2070859.50000000
1683698400000,1.168500,1.173700,1.150000,1.167200,21372024.60000000,10808056.60000000,244088.60000000
1683702000000,1.167200,1.171500,1.158900,1.167900,18231914.70000000,9687009.90000000,1142105.10000000
1683705600000,1.167800,1.167800,1.126700,1.150400,41809493.90000000,20734058.10000000,-341377.70000000
1683709200000,1.150300,1.154500,1.123300,1.130600,34089516.80000000,16744864.30000000,-599788.20000000
1683712800000,1.130500,1.146000,1.112000,1.137100,58522575.40000000,30318709.00000000,2114842.60000000
1683716400000,1.137200,1.153600,1.135100,1.147900,25270667.30000000,13123843.00000000,977018.70000000
1683720000000,1.147800,1.217000,1.137100,1.211900,63297950.20000000,34067614.00000000,4837277.80000000
1683723600000,1.212000,1.246300,1.183100,1.191700,74137831.50000000,35845170.30000000,-2447490.90000001
1683727200000,1.191600,1.206000,1.184200,1.187700,27749883.40000000,14127321.50000000,504759.60000000
1683730800000,1.187700,1.214100,1.180600,1.202700,39795540.40000000,20311756.70000000,827973.00000000
1683734400000,1.202600,1.210000,1.186000,1.186900,23670054.10000000,11539083.80000000,-591886.50000000
1683738000000,1.186900,1.189600,1.092800,1.164200,68831363.90000001,31892524.40000000,-5046315.10000001
1683741600000,1.164200,1.167400,1.150100,1.154800,19365881.50000000,9504330.20000000,-357221.10000000
1683745200000,1.154800,1.179100,1.153700,1.176800,16652353.30000000,8295757.40000000,-60838.50000000
1683748800000,1.176800,1.199700,1.176500,1.194400,14545073.10000000,7356836.40000000,168599.70000000
1683752400000,1.194400,1.196800,1.163300,1.170900,15561822.30000000,6840116.40000000,-1881589.50000000
1683756000000,1.170900,1.187300,1.168500,1.185100,10622644.50000000,5412966.90000000,203289.30000000
1683759600000,1.185200,1.194000,1.174900,1.178300,8393965.10000000,4039443.40000000,-315078.30000000
1683763200000,1.178200,1.181300,1.144800,1.156600,17213618.60000000,7313666.60000000,-2586285.40000000
1683766800000,1.156600,1.167300,1.147700,1.153200,10023588.00000000,5169648.30000000,315708.60000000
1683770400000,1.153200,1.156600,1.140100,1.146800,10857664.90000000,5071833.50000000,-713997.90000000
1683774000000,1.146700,1.147200,1.130000,1.132300,11182586.70000000,4835181.70000000,-1512223.30000000
1683777600000,1.132200,1.146900,1.128800,1.143000,8566510.90000000,4312581.10000000,58651.30000000
1683781200000,1.143000,1.143300,1.124000,1.137500,10441626.20000000,4865548.20000000,-710529.80000000
1683784800000,1.137500,1.138300,1.124500,1.134900,8723644.10000000,4487887.90000000,252131.70000000
1683788400000,1.134900,1.143600,1.133100,1.135700,8307288.10000000,3929017.70000000,-449252.70000000
1683792000000,1.135900,1.144100,1.120000,1.127100,18834924.00000000,8927433.70000000,-980056.60000000
1683795600000,1.127400,1.133600,1.125200,1.127600,6621582.50000000,3231963.70000000,-157655.10000000
1683799200000,1.127600,1.136700,1.120100,1.128700,9302613.30000000,4243044.70000000,-816523.90000000
1683802800000,1.128800,1.136500,1.124500,1.126400,7825784.70000000,4009169.60000000,192554.50000000
1683806400000,1.126400,1.146000,1.113100,1.119300,17787306.90000000,8655967.20000000,-475372.50000000
1683810000000,1.119300,1.125700,1.092800,1.104000,25033334.50000000,11715245.20000000,-1602844.10000000
1683813600000,1.104200,1.110600,1.070900,1.092300,25697301.20000000,12079119.20000000,-1539062.80000000
1683817200000,1.092300,1.101400,1.084200,1.095700,17168035.10000000,9296443.80000000,1424852.50000000
1683820800000,1.095700,1.100500,1.066000,1.074700,16865760.50000000,7518027.80000000,-1829704.90000000
1683824400000,1.074700,1.078400,1.050100,1.063100,30948016.50000000,14900577.70000000,-1146861.10000000
1683828000000,1.062800,1.063100,1.033000,1.047000,23413969.40000000,10331217.00000000,-2751535.40000000
1683831600000,1.047100,1.057400,1.037500,1.047400,14137367.40000000,7428318.70000000,719270.00000000
1683835200000,1.047300,1.062600,1.037900,1.060700,10836082.10000000,5674709.10000000,513336.10000000
1683838800000,1.060600,1.069200,1.056100,1.062000,6752162.60000000,3179191.70000000,-393779.20000000
1683842400000,1.062000,1.071100,1.058000,1.059000,7143053.60000000,3392661.50000000,-357730.60000000
1683846000000,1.058900,1.080500,1.055700,1.072700,14315435.00000000,7800886.20000000,1286337.40000000
1683849600000,1.073000,1.079800,1.058400,1.076300,12570818.40000000,6095601.60000000,-379615.20000000
1683853200000,1.076000,1.082900,1.041400,1.051900,17258027.00000000,7688517.40000000,-1880992.20000000
1683856800000,1.052000,1.061700,1.022100,1.034600,18983765.70000000,8388109.00000000,-2207547.70000000
1683860400000,1.034600,1.041000,1.024100,1.030000,14585238.90000000,7114828.30000000,-355582.30000000
1683864000000,1.030000,1.047300,1.021100,1.042000,11919546.30000000,6031232.90000000,142919.50000000
1683867600000,1.042200,1.044200,1.012000,1.022100,16844528.90000000,7386978.30000000,-2070572.30000000
1683871200000,1.022200,1.037800,1.017000,1.037300,15542926.00000000,7830253.50000000,117581.00000000
1683874800000,1.037200,1.047200,1.031300,1.040700,13570336.50000000,6962512.90000000,354689.30000000
1683878400000,1.040800,1.057500,1.037000,1.046300,14771252.10000000,7759667.60000000,748083.10000000
1683882000000,1.046400,1.072100,1.046400,1.063900,17358500.70000000,8811390.60000000,264280.50000000
1683885600000,1.063900,1.068700,1.052200,1.054300,9562891.10000000,4673683.40000000,-215524.30000000
1683889200000,1.054300,1.064200,1.042400,1.047700,12409769.10000000,6091439.90000000,-226889.30000000
1683892800000,1.047600,1.079400,1.043300,1.069800,18160250.10000000,9781548.90000000,1402847.70000000
1683896400000,1.069900,1.079600,1.057900,1.071600,14433014.90000000,7101990.30000000,-229034.30000000
1683900000000,1.071500,1.078900,1.047500,1.053600,16548903.70000000,7464621.40000000,-1619660.90000000
1683903600000,1.053500,1.059500,1.042300,1.049200,11741614.50000000,5869903.10000000,-1808.30000000
1683907200000,1.049100,1.063300,1.042700,1.052200,11397140.70000000,5849322.90000000,301505.10000000
1683910800000,1.052200,1.069300,1.051200,1.059800,9834124.40000000,5087169.50000000,340214.60000000
1683914400000,1.059800,1.076800,1.059100,1.063100,9652666.20000000,4657744.90000000,-337176.40000000
1683918000000,1.063000,1.089500,1.027500,1.083900,26773725.30000000,13237233.40000000,-299258.50000000
1683921600000,1.083900,1.095500,1.075400,1.085500,16553183.50000000,8259770.60000000,-33642.30000000
1683925200000,1.085600,1.104600,1.085600,1.099600,12956826.50000000,6624515.90000000,292205.30000000
1683928800000,1.099600,1.112900,1.098100,1.103200,14660771.50000000,7364308.60000000,67845.70000000
1683932400000,1.103300,1.122600,1.102300,1.114400,10490017.00000000,5663495.60000000,836974.20000000
1683936000000,1.114300,1.123000,1.094100,1.103000,11715775.90000000,5833946.20000000,-47883.50000000
1683939600000,1.103100,1.110000,1.091200,1.091900,8743104.70000000,4070003.60000000,-603097.50000000
1683943200000,1.092000,1.094400,1.085100,1.087900,6856768.60000000,3021821.50000000,-813125.60000000
1683946800000,1.088000,1.098400,1.087000,1.094600,6605595.40000000,3829048.70000000,1052502.00000000
1683950400000,1.094500,1.105100,1.091900,1.095900,6691022.40000000,3272263.10000000,-146496.20000000
1683954000000,1.095900,1.103800,1.089300,1.091800,6481698.70000000,3080886.60000000,-319925.50000000
1683957600000,1.091600,1.102300,1.090000,1.097100,4944500.10000000,2364356.00000000,-215788.10000000
1683961200000,1.097100,1.108100,1.096600,1.104400,5230291.30000000,2622878.00000000,15464.70000000
