open_time,open,high,low,close,volume,taker_buy,delta
1712844000000,697.76,718.48,685.00,699.43,12346.69100000,6250.70400000,154.71700000
1712847600000,699.06,705.55,624.49,646.12,42132.73300000,21021.18100000,-90.37100000
1712851200000,645.77,659.67,617.12,630.00,36852.83400000,18304.39000000,-244.05400000
1712854800000,630.18,649.00,628.65,634.43,17208.59000000,8729.19900000,249.80800000
1712858400000,634.40,647.11,631.89,636.79,10244.61400000,5241.89200000,239.17000000
1712862000000,636.37,642.40,621.41,637.40,11240.89600000,5769.78800000,298.68000000
1712865600000,637.75,652.00,631.02,650.95,8990.33200000,4729.47900000,468.62600000
1712869200000,650.79,670.00,640.21,650.37,21418.10100000,11079.85500000,741.60900000
1712872800000,650.51,650.61,621.61,633.68,18786.75900000,9176.46700000,-433.82500000
1712876400000,633.97,637.92,622.00,624.45,8254.84100000,4153.45300000,52.06500000
1712880000000,624.19,639.20,605.64,633.00,18561.86400000,9454.39000000,346.91600000
1712883600000,633.00,633.41,610.56,614.00,9022.76000000,4366.52800000,-289.70400000
1712887200000,614.00,622.36,608.47,617.19,7695.35900000,4032.16400000,368.96900000
1712890800000,617.19,618.66,601.81,613.39,7313.80400000,3796.05500000,278.30600000
1712894400000,613.61,631.00,594.50,622.88,19895.46200000,10271.31800000,647.17400000
1712898000000,622.88,639.00,617.40,629.83,19151.32800000,9921.90000000,692.47200000
1712901600000,629.86,643.78,622.56,624.89,16928.81600000,8530.70300000,132.59000000
1712905200000,624.88,643.78,624.81,638.00,17502.59100000,8894.54200000,286.49300000
1712908800000,637.73,644.32,628.00,632.02,18332.03900000,9172.04800000,12.05700000
1712912400000,631.73,641.69,616.70,624.19,24658.73300000,12844.77600000,1030.81900000
1712916000000,624.25,626.49,614.40,620.70,10004.92600000,5256.16100000,507.39600000
1712919600000,620.82,622.22,612.38,615.03,11627.40800000,5920.01800000,212.62800000
1712923200000,614.86,615.05,586.85,594.57,28345.60500000,14175.83700000,6.06900000
1712926800000,594.57,594.98,552.90,572.83,59713.30200000,30121.21100000,529.12000000
1712930400000,572.67,589.29,570.43,579.56,29816.00700000,15329.68800000,843.36900000
1712934000000,579.61,584.00,567.60,573.46,14809.21700000,7536.20900000,263.20100000
1712937600000,573.25,600.00,572.47,579.61,23839.87400000,12479.21000000,1118.54600000
1712941200000,579.60,585.10,556.02,575.84,18193.82400000,9145.04200000,96.26000000
1712944800000,575.84,583.37,465.69,534.33,33386.74800000,16706.70500000,26.66200000
1712948400000,534.33,546.51,522.96,538.00,16032.52000000,8399.15400000,765.78800000
1712952000000,538.00,550.55,523.80,545.53,9040.78500000,4881.91500000,723.04500000
1712955600000,545.53,553.70,539.22,550.70,4260.98000000,2250.13300000,239.28600000
1712959200000,550.42,552.84,539.00,547.38,3929.20200000,2046.96400000,164.72600000
1712962800000,547.44,547.56,536.00,537.38,4141.18400000,1966.76200000,-207.66000000
1712966400000,537.59,547.04,530.46,532.38,4677.44400000,2457.02700000,236.61000000
1712970000000,532.38,535.00,510.00,510.00,6449.35000000,3157.62600000,-134.09800000
1712973600000,510.31,534.66,509.55,529.08,7252.00000000,3944.23300000,636.46600000
1712977200000,529.06,552.00,527.71,549.60,5732.15200000,3152.12600000,572.10000000
1712980800000,549.59,560.00,539.70,554.20,7237.67100000,3814.93700000,392.20300000
1712984400000,554.14,571.67,548.99,551.55,8039.71500000,4213.58500000,387.45500000
1712988000000,551.52,556.62,544.14,553.91,5189.10100000,2515.63300000,-157.83500000
1712991600000,553.80,554.86,541.47,542.25,3907.25000000,1917.37700000,-72.49600000
1712995200000,542.25,550.28,531.59,536.40,6995.68000000,3275.54300000,-444.59400000
1712998800000,536.58,545.59,536.36,540.90,3085.08600000,1612.40800000,139.73000000
1713002400000,540.95,550.69,540.48,547.29,2835.11100000,1465.63900000,96.16700000
1713006000000,547.35,551.98,533.51,534.23,3991.08400000,1896.19600000,-198.69200000
1713009600000,534.19,539.26,525.80,535.68,5002.11000000,2610.55800000,219.00600000
1713013200000,535.54,536.87,520.85,523.29,5112.42500000,2422.10900000,-268.20700000
1713016800000,523.22,525.04,509.52,514.85,8360.33800000,4139.88500000,-80.56800000
1713020400000,514.69,521.99,509.16,510.37,6338.91700000,3350.59800000,362.27900000
1713024000000,510.38,510.87,500.00,501.34,9728.77000000,4694.08800000,-340.59400000
1713027600000,501.46,501.60,481.00,488.84,16790.26700000,8487.78800000,185.30900000
1713031200000,488.94,528.97,483.80,524.02,13107.95000000,7444.67700000,1781.40400000
1713034800000,524.04,524.04,454.86,469.73,21443.52600000,9992.00600000,-1459.51400000
1713038400000,469.71,476.66,387.82,449.21,36913.67800000,17336.06000000,-2241.55800000
1713042000000,449.32,474.90,439.03,474.50,11941.31300000,6391.76600000,842.21900000
1713045600000,474.64,532.00,462.11,526.31,16035.61800000,8421.88500000,808.15200000
1713049200000,526.16,540.00,494.34,509.80,26757.35600000,13993.53900000,1229.72200000
1713052800000,509.76,514.50,492.55,493.87,9629.10900000,4900.80100000,172.49300000
1713056400000,493.85,505.00,482.47,487.46,8809.62300000,4384.97900000,-39.66500000
1713060000000,487.42,492.00,477.75,485.94,5575.55400000,3078.08100000,580.60800000
1713063600000,486.00,488.00,471.00,486.02,6283.84500000,3174.73600000,65.62700000
1713067200000,486.10,498.31,482.29,495.93,4705.03400000,2449.86700000,194.70000000
1713070800000,495.79,516.80,494.41,507.69,9320.41200000,5025.71600000,731.02000000
1713074400000,507.88,522.56,502.99,515.32,6189.90100000,3043.80100000,-102.29900000
1713078000000,515.56,534.88,512.81,523.72,8368.91700000,4276.44700000,183.97700000
1713081600000,523.47,526.43,511.56,515.83,5156.10200000,2356.29000000,-443.52200000
1713085200000,515.69,521.49,513.72,516.60,4576.82000000,2405.27300000,233.72600000
1713088800000,516.64,532.40,516.04,523.77,5146.95600000,2710.26300000,273.57000000
1713092400000,523.79,529.93,513.12,520.06,5824.07700000,2951.15000000,78.22300000
1713096000000,519.95,560.32,519.57,547.10,28807.48800000,14261.05400000,-285.38000000
1713099600000,547.32,571.74,538.01,553.08,28847.97900000,14605.26400000,362.54900000
