open_time,open,high,low,close,volume,taker_buy,delta
1698775200000,2.2340000,2.3485000,2.0926000,2.2701000,15165975.00000000,7487523.00000000,-190929.00000000
1698778800000,2.2715000,2.4795000,2.2040000,2.4425000,17879459.00000000,8888135.00000000,-103189.00000000
1698782400000,2.4423000,2.5130000,2.3155000,2.3627000,12297323.00000000,5869435.00000000,-558453.00000000
1698786000000,2.3635000,2.4695000,2.3350000,2.4376000,7071194.00000000,3473624.00000000,-123946.00000000
1698789600000,2.4390000,2.4883000,2.3236000,2.3900000,6624327.00000000,3233860.00000000,-156607.00000000
1698793200000,2.3900000,2.4310000,2.2245000,2.2757000,5768052.00000000,2642771.00000000,-482510.00000000
1698796800000,2.2757000,2.3933000,2.2347000,2.3566000,4821721.00000000,2218422.00000000,-384877.00000000
1698800400000,2.3566000,2.4100000,2.2813000,2.3192000,3921657.00000000,1768152.00000000,-385353.00000000
1698804000000,2.3199000,2.3570000,2.2268000,2.2621000,4562896.00000000,2098737.00000000,-365422.00000000
1698807600000,2.2620000,2.2950000,2.1500000,2.2810000,5471700.00000000,2542316.00000000,-387068.00000000
1698811200000,2.2820000,2.3188000,2.2430000,2.2578000,3168197.00000000,1543685.00000000,-80827.00000000
1698814800000,2.2578000,2.2710000,2.2000000,2.2160000,3431189.00000000,1460401.00000000,-510387.00000000
1698818400000,2.2160000,2.2488000,2.1810000,2.2278000,3711128.00000000,1766946.00000000,-177236.00000000
1698822000000,2.2274000,2.2544000,2.1245000,2.2222000,6821372.00000000,3267986.00000000,-285400.00000000
1698825600000,2.2221000,2.2960000,2.2114000,2.2599000,4551397.00000000,2410244.00000000,269091.00000000
1698829200000,2.2599000,2.3000000,2.2239000,2.2793000,4004796.00000000,1987494.00000000,-29808.00000000
1698832800000,2.2793000,2.2799000,2.2023000,2.2416000,3535790.00000000,1562404.00000000,-410982.00000000
1698836400000,2.2415000,2.2701000,2.2101000,2.2551000,2463911.00000000,1233400.00000000,2889.00000000
1698840000000,2.2551000,2.4220000,2.2472000,2.3599000,12815195.00000000,6157911.00000000,-499373.00000000
1698843600000,2.3593000,2.3704000,2.2660000,2.2904000,6085258.00000000,2539424.00000000,-1006410.00000000
1698847200000,2.2902000,2.3538000,2.2744000,2.2869000,4345757.00000000,2065044.00000000,-215669.00000000
1698850800000,2.2855000,2.3354000,2.2110000,2.3059000,4748662.00000000,2224155.00000000,-300352.00000000
1698854400000,2.3063000,2.4600000,2.3011000,2.4015000,17139116.00000000,8315731.00000000,-507654.00000000
1698858000000,2.4011000,2.6685000,2.3960000,2.5830000,19656312.00000000,10196937.00000000,737562.00000000
