open_time,open,high,low,close,volume,taker_buy,delta
1737205200000,22.099000,23.224000,17.721000,22.912000,15787616.39000000,8014830.64000000,242044.89000000
1737208800000,22.925000,31.880000,22.757000,31.819000,27257710.74000000,13582780.08000000,-92150.58000000
1737212400000,31.838000,34.500000,27.111000,33.950000,28665218.00000000,13512189.55000000,-1640838.90000000
1737216000000,33.950000,34.800000,25.350000,26.020000,34438445.66000000,15716856.57000000,-3004732.52000000
1737219600000,26.000000,31.500000,25.999000,29.699000,24169637.32000000,12214777.32000000,259917.32000000
1737223200000,29.696000,32.000000,27.300000,28.394000,15719781.31000000,7478532.76000000,-762715.79000000
1737226800000,28.394000,29.024000,25.530000,26.136000,10542210.82000000,4985619.07000000,-570972.68000000
1737230400000,26.137000,27.507000,22.400000,24.929000,20974168.77000000,9819866.72000000,-1334435.33000000
1737234000000,24.928000,28.000000,24.516000,25.558000,12389890.22000000,6210803.53000000,31716.84000000
1737237600000,25.564000,27.696000,25.465000,27.632000,7058300.03000000,3536536.38000000,14772.73000000
1737241200000,27.633000,29.924000,27.514000,28.447000,8752099.48000000,4295713.49000000,-160672.50000000
1737244800000,28.449000,28.913000,26.010000,26.108000,7243950.34000000,3463630.59000000,-316689.16000000
1737248400000,26.107000,27.467000,25.417000,25.553000,5254598.65000000,2564915.80000000,-124767.05000000
1737252000000,25.554000,27.777000,24.300000,27.187000,7980695.17000000,4001612.43000000,22529.69000000
1737255600000,27.181000,33.144000,26.809000,32.813000,15764952.51000000,7908362.93000000,51773.35000000
1737259200000,32.809000,37.850000,30.584000,37.283000,25595183.98000000,12716169.25000000,-162845.48000000
1737262800000,37.272000,39.237000,35.010000,36.505000,21354130.72000000,10329940.19000000,-694250.34000000
1737266400000,36.509000,44.438000,35.518000,42.774000,22019798.54000000,11128184.24000000,236569.94000000
1737270000000,42.767000,48.444000,42.024000,46.606000,34415266.30000000,16843354.38000000,-728557.54000000
1737273600000,46.610000,64.000000,45.501000,58.826000,47050427.50000000,23389195.47000000,-272036.56000000
1737277200000,58.804000,79.700000,56.000000,62.874000,65959083.52000000,31754760.36000000,-2449562.80000000
1737280800000,62.868000,69.955000,61.414000,67.535000,25952891.98000000,12600547.17000000,-751797.64000000
1737284400000,67.534000,77.117000,67.526000,73.776000,28494519.13000000,13988980.05000000,-516559.03000000
1737288000000,73.777000,75.141000,65.789000,69.391000,28028317.36000000,13410383.58000000,-1207550.20000000
1737291600000,69.391000,73.372000,69.010000,71.086000,13400202.66000000,6574143.69000000,-251915.28000000
1737295200000,71.097000,71.898000,57.000000,61.871000,36671094.11000000,17431011.08000000,-1809071.95000000
1737298800000,61.880000,64.497000,55.240000,62.073000,30995542.07000000,15299064.94000000,-397412.19000000
1737302400000,62.089000,67.698000,59.100000,66.932000,17270310.87000000,8492834.81000000,-284641.25000000
1737306000000,66.932000,66.955000,62.171000,65.987000,9991200.53000000,4884119.75000000,-222961.03000000
1737309600000,65.995000,70.691000,65.713000,69.097000,9595758.90000000,4843424.64000000,91090.38000000
1737313200000,69.093000,69.518000,64.000000,66.014000,8020625.66000000,3777821.16000000,-464983.34000000
1737316800000,66.015000,73.692000,65.991000,73.465000,9056593.06000000,4665376.43000000,274159.80000000
1737320400000,73.462000,75.499000,40.000000,48.455000,70855272.14000000,33124342.64000000,-4606586.86000000
1737324000000,48.469000,53.500000,41.210000,46.869000,47268354.25000000,23349063.16000000,-570227.93000000
1737327600000,46.866000,48.695000,37.571000,46.618000,35696997.56000000,17326854.66000000,-1043288.24000000
1737331200000,46.610000,52.363000,43.300000,46.150000,27742149.95000000,13574497.96000000,-593154.03000000
1737334800000,46.157000,50.670000,45.000000,46.533000,14025624.82000000,6838823.70000000,-347977.42000000
1737338400000,46.534000,49.274000,42.034000,44.434000,12975689.32000000,6180877.63000000,-613934.06000000
1737342000000,44.439000,46.561000,42.894000,44.751000,9521246.76000000,4699714.47000000,-121817.82000000
1737345600000,44.765000,54.687000,44.438000,51.829000,14989450.10000000,7445206.78000000,-99036.54000000
1737349200000,51.820000,63.980000,50.756000,58.712000,24907469.59000000,12176943.09000000,-553583.41000000
1737352800000,58.723000,62.090000,55.200000,59.289000,13622130.77000000,6531877.49000000,-558375.79000000
1737356400000,59.283000,61.900000,56.129000,59.333000,9789227.38000000,4737561.79000000,-314103.80000000
1737360000000,59.337000,59.500000,55.523000,58.855000,7804884.60000000,3753462.34000000,-297959.92000000
1737363600000,58.855000,59.064000,50.221000,53.375000,14890678.93000000,7061342.26000000,-767994.41000000
1737367200000,53.375000,56.222000,52.061000,54.247000,9042349.82000000,4410110.66000000,-222128.50000000
1737370800000,54.247000,55.153000,52.511000,53.294000,6113457.12000000,2993077.21000000,-127302.70000000
1737374400000,53.294000,56.344000,46.920000,49.151000,17697560.07000000,8364561.37000000,-968437.33000000
1737378000000,49.151000,50.190000,44.920000,49.081000,17463398.80000000,8485229.85000000,-492939.10000000
1737381600000,49.093000,54.550000,48.146000,54.004000,14456786.72000000,7063720.64000000,-329345.44000000
1737385200000,53.995000,54.920000,48.159000,49.363000,15988234.62000000,7389147.30000000,-1209940.02000000
1737388800000,49.362000,51.940000,46.500000,50.376000,17793287.52000000,8709275.19000000,-374737.14000000
1737392400000,50.376000,51.560000,35.300000,41.713000,49394642.73000000,23529264.64000000,-2336113.45000000
1737396000000,41.713000,43.490000,39.700000,41.064000,18766901.92000000,9293913.10000000,-179075.72000000
1737399600000,41.063000,43.452000,37.500000,42.381000,17125665.32000000,8549262.12000000,-27141.08000000
1737403200000,42.388000,42.598000,40.000000,40.219000,6894068.96000000,3325360.47000000,-243348.02000000
1737406800000,40.219000,40.408000,35.939000,36.694000,9379339.08000000,4545861.85000000,-287615.38000000
1737410400000,36.693000,41.026000,34.540000,40.583000,11453923.37000000,5678289.67000000,-97344.03000000
1737414000000,40.584000,40.691000,36.005000,36.546000,9226610.48000000,4347356.98000000,-531896.52000000
1737417600000,36.547000,37.541000,31.081000,31.411000,17228900.34000000,8130876.76000000,-967146.82000000
1737421200000,31.411000,35.016000,30.392000,32.051000,15974647.78000000,7929912.76000000,-114822.26000000
1737424800000,32.050000,35.448000,32.011000,35.036000,11375680.28000000,5836317.69000000,296955.10000000
1737428400000,35.036000,37.330000,34.770000,35.305000,8692132.76000000,4410778.25000000,129423.74000000
1737432000000,35.307000,35.407000,32.020000,33.591000,9332631.21000000,4590633.90000000,-151363.41000000
1737435600000,33.592000,34.524000,32.316000,33.638000,7479007.94000000,3761770.09000000,44532.24000000
1737439200000,33.625000,36.329000,33.082000,35.977000,8370992.26000000,4319452.12000000,267911.98000000
1737442800000,35.976000,38.900000,34.736000,38.821000,7860921.41000000,4009438.96000000,157956.51000000
1737446400000,38.818000,41.099000,37.200000,40.183000,13433658.67000000,6598660.12000000,-236338.43000000
1737450000000,40.176000,41.919000,37.973000,38.655000,10169441.05000000,4764210.11000000,-641020.83000000
1737453600000,38.655000,39.580000,37.341000,39.082000,7024408.27000000,3521052.37000000,17696.47000000
1737457200000,39.082000,40.282000,36.500000,37.868000,8861406.33000000,4214200.98000000,-433004.37000000
1737460800000,37.868000,38.792000,36.845000,38.305000,5885614.26000000,2897971.86000000,-89670.54000000
1737464400000,38.308000,38.876000,36.641000,38.577000,6435731.07000000,3184755.27000000,-66220.53000000
1737468000000,38.577000,41.361000,36.979000,39.301000,12881377.65000000,6370082.42000000,-141212.81000000
1737471600000,39.297000,39.548000,37.332000,38.942000,6703018.13000000,3192628.28000000,-317761.57000000
1737475200000,38.942000,41.187000,38.439000,38.931000,7396987.86000000,3640208.40000000,-116571.06000000
1737478800000,38.932000,40.040000,38.001000,39.324000,5128974.24000000,2622023.38000000,115072.52000000
1737482400000,39.324000,44.530000,39.072000,43.035000,11842939.58000000,6099337.14000000,355734.70000000
1737486000000,43.035000,44.580000,41.000000,41.896000,8374015.14000000,4011790.26000000,-350434.62000000
1737489600000,41.893000,44.348000,41.566000,43.824000,5909794.44000000,2953453.39000000,-2887.66000000
1737493200000,43.825000,48.352000,43.251000,47.821000,10450620.91000000,5388670.73000000,326720.55000000
1737496800000,47.825000,48.181000,39.754000,40.697000,13805685.27000000,6336993.30000000,-1131698.67000000
1737500400000,40.699000,45.284000,35.156000,43.745000,29974247.15000000,14849175.75000000,-275895.65000000
1737504000000,43.734000,44.578000,42.351000,42.932000,7639797.63000000,3802692.33000000,-34412.97000000
1737507600000,42.934000,43.452000,40.677000,41.947000,6158569.45000000,3007965.59000000,-142638.27000000
1737511200000,41.950000,42.336000,40.840000,41.088000,3507240.44000000,1767159.73000000,27079.02000000
1737514800000,41.090000,42.026000,40.761000,41.275000,4392986.10000000,2169652.58000000,-53680.94000000
1737518400000,41.271000,41.800000,40.415000,41.798000,3880043.86000000,1869503.72000000,-141036.42000000
1737522000000,41.795000,43.700000,41.621000,43.607000,3859423.71000000,2053387.01000000,247350.31000000
1737525600000,43.617000,43.846000,42.195000,43.009000,2800722.11000000,1383050.11000000,-34621.89000000
1737529200000,43.010000,43.914000,42.369000,42.506000,3046873.70000000,1478469.84000000,-89934.02000000
1737532800000,42.501000,42.645000,40.862000,41.615000,4449882.86000000,2225500.55000000,1118.24000000
1737536400000,41.614000,42.079000,41.102000,41.697000,2154751.63000000,1094333.62000000,33915.61000000
1737540000000,41.696000,42.440000,41.107000,41.755000,2739894.92000000,1381638.62000000,23382.32000000
1737543600000,41.754000,42.431000,41.390000,42.123000,2459375.67000000,1173270.43000000,-112834.81000000
1737547200000,42.121000,42.449000,41.548000,42.084000,2857664.56000000,1459125.29000000,60586.02000000
1737550800000,42.084000,42.838000,41.473000,41.751000,4831150.60000000,2368398.72000000,-94353.16000000
1737554400000,41.754000,41.849000,38.929000,40.123000,9916749.89000000,4691425.83000000,-533898.23000000
1737558000000,40.123000,40.300000,38.120000,38.749000,7421630.53000000,3509273.64000000,-403083.25000000
1737561600000,38.749000,39.218000,37.770000,38.942000,6735266.54000000,3333568.57000000,-68129.40000000
1737565200000,38.940000,39.921000,38.750000,39.193000,4145552.70000000,2206772.52000000,267992.34000000
1737568800000,39.194000,39.455000,37.478000,38.056000,4262850.47000000,2021805.37000000,-219239.73000000
1737572400000,38.056000,39.331000,37.432000,39.144000,4112836.85000000,2110516.95000000,108197.05000000
1737576000000,39.144000,39.850000,39.009000,39.448000,2911344.97000000,1397412.38000000,-116520.21000000
1737579600000,39.447000,39.760000,38.471000,38.574000,2517795.07000000,1141703.17000000,-234388.73000000
1737583200000,38.572000,38.800000,37.040000,37.258000,3617928.22000000,1788115.17000000,-41697.88000000
