open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,0.06371,0.06392,0.06370,0.06390,15553837.00000000,7395144.00000000,-763549.00000000
1675512000000,0.06390,0.06440,0.06390,0.06429,51369089.00000000,28381497.00000000,5393905.00000000
1675515600000,0.06430,0.06451,0.06424,0.06444,51396807.00000000,23685244.00000000,-4026319.00000000
1675519200000,0.06444,0.06451,0.06410,0.06444,43008885.00000000,20683175.00000000,-1642535.00000000
1675522800000,0.06445,0.06447,0.06419,0.06433,25733973.00000000,11525516.00000000,-2682941.00000000
1675526400000,0.06433,0.06441,0.06412,0.06423,19984176.00000000,9275511.00000000,-1433154.00000000
1675530000000,0.06423,0.06448,0.06412,0.06441,26593496.00000000,15053587.00000000,3513678.00000000
1675533600000,0.06441,0.06449,0.06402,0.06424,26359976.00000000,10960530.00000000,-4438916.00000000
1675537200000,0.06425,0.06438,0.06417,0.06422,17175005.00000000,6910286.00000000,-3354433.00000000
1675540800000,0.06423,0.06435,0.06412,0.06431,16223721.00000000,8187102.00000000,150483.00000000
1675544400000,0.06432,0.06438,0.06415,0.06419,11630109.00000000,4516243.00000000,-2597623.00000000
1675548000000,0.06420,0.06433,0.06415,0.06415,15288708.00000000,9025353.00000000,2761998.00000000
1675551600000,0.06415,0.06428,0.06356,0.06383,36471541.00000000,16101931.00000000,-4267679.00000000
1675555200000,0.06383,0.06411,0.06377,0.06398,26856952.00000000,12968524.00000000,-919904.00000000
1675558800000,0.06399,0.06428,0.06390,0.06412,21163132.00000000,11137538.00000000,1111944.00000000
1675562400000,0.06412,0.06425,0.06391,0.06391,9077773.00000000,4422911.00000000,-231951.00000000
1675566000000,0.06392,0.06411,0.06388,0.06409,12409921.00000000,6982646.00000000,1555371.00000000
1675569600000,0.06409,0.06432,0.06404,0.06428,9289214.00000000,5074580.00000000,859946.00000000
1675573200000,0.06427,0.06458,0.06427,0.06457,15670594.00000000,9512931.00000000,3355268.00000000
1675576800000,0.06457,0.06459,0.06433,0.06447,20079963.00000000,8123227.00000000,-3833509.00000000
1675580400000,0.06447,0.06475,0.06447,0.06471,30684512.00000000,17245172.00000000,3805832.00000000
1675584000000,0.06471,0.06526,0.06470,0.06525,63044176.00000000,36763886.00000000,10483596.00000000
1675587600000,0.06524,0.06539,0.06497,0.06505,55087451.00000000,23040863.00000000,-9005725.00000000
1675591200000,0.06505,0.06582,0.06501,0.06553,78323673.00000000,47836074.00000000,17348475.00000000
