open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,7.2430,7.2730,7.2170,7.2400,282740.00000000,126522.00000000,-29696.00000000
1675512000000,7.2410,7.2970,7.2180,7.2950,257931.00000000,126936.00000000,-4059.00000000
1675515600000,7.2960,7.3480,7.2790,7.3290,491144.00000000,233924.00000000,-23296.00000000
1675519200000,7.3300,7.3570,7.2650,7.3190,345738.00000000,148180.00000000,-49378.00000000
1675522800000,7.3170,7.3330,7.2570,7.2810,299794.00000000,126592.00000000,-46610.00000000
1675526400000,7.2810,7.3200,7.2330,7.2580,291202.00000000,141396.00000000,-8410.00000000
1675530000000,7.2580,7.2900,7.2220,7.2870,286109.00000000,132348.00000000,-21413.00000000
1675533600000,7.2870,7.3230,7.2560,7.3100,281136.00000000,140946.00000000,756.00000000
1675537200000,7.3100,7.3250,7.2500,7.2540,167292.00000000,76756.00000000,-13780.00000000
1675540800000,7.2530,7.2880,7.2330,7.2520,153857.00000000,78863.00000000,3869.00000000
1675544400000,7.2520,7.2800,7.2390,7.2590,123235.00000000,59187.00000000,-4861.00000000
1675548000000,7.2590,7.3030,7.2500,7.2890,136673.00000000,76048.00000000,15423.00000000
1675551600000,7.2890,7.3430,7.1900,7.2110,472863.00000000,216285.00000000,-40293.00000000
1675555200000,7.2110,7.2590,7.1540,7.1670,495534.00000000,228080.00000000,-39374.00000000
1675558800000,7.1680,7.2290,7.1570,7.1930,211939.00000000,100637.00000000,-10665.00000000
1675562400000,7.1940,7.2330,7.1610,7.1610,193099.00000000,93454.00000000,-6191.00000000
1675566000000,7.1620,7.1960,7.1530,7.1930,148180.00000000,70172.00000000,-7836.00000000
1675569600000,7.1920,7.2710,7.1780,7.2400,252169.00000000,127004.00000000,1839.00000000
1675573200000,7.2390,7.2730,7.2310,7.2600,178043.00000000,78109.00000000,-21825.00000000
1675576800000,7.2600,7.2820,7.2310,7.2560,166530.00000000,77236.00000000,-12058.00000000
1675580400000,7.2560,7.2710,7.2390,7.2630,119552.00000000,56490.00000000,-6572.00000000
1675584000000,7.2630,7.3090,7.2540,7.3050,183061.00000000,101985.00000000,20909.00000000
1675587600000,7.3060,7.3340,7.2390,7.2480,285910.00000000,128313.00000000,-29284.00000000
1675591200000,7.2490,7.2740,7.2380,7.2610,145536.00000000,74130.00000000,2724.00000000
1675594800000,7.2610,7.2760,7.1710,7.1840,197458.00000000,89439.00000000,-18580.00000000
1675598400000,7.1840,7.2200,6.9460,7.0120,915142.00000000,412637.00000000,-89868.00000000
1675602000000,7.0130,7.0570,6.9580,7.0480,697639.00000000,351976.00000000,6313.00000000
1675605600000,7.0470,7.1080,6.9870,6.9950,788886.00000000,394538.00000000,190.00000000
1675609200000,6.9950,7.0300,6.9070,6.9280,480635.00000000,214983.00000000,-50669.00000000
1675612800000,6.9270,6.9630,6.8830,6.8900,473963.00000000,235768.00000000,-2427.00000000
1675616400000,6.8900,6.9390,6.8110,6.8350,646748.00000000,297027.00000000,-52694.00000000
1675620000000,6.8340,6.8630,6.7880,6.8010,337881.00000000,153850.00000000,-30181.00000000
1675623600000,6.8000,6.8400,6.7830,6.8260,255196.00000000,120590.00000000,-14016.00000000
