open_time,open,high,low,close,volume,taker_buy,delta
1733832000000,1.4101000,1.7178000,1.4101000,1.6421000,3223609.20000000,1644256.40000000,64903.60000000
1733835600000,1.6421000,1.6920000,1.6030000,1.6682000,5564401.10000000,2741779.90000000,-80841.30000000
1733839200000,1.6690000,1.7400000,1.6410000,1.6630000,7051902.50000000,3335194.30000000,-381513.90000000
1733842800000,1.6632000,1.6735000,1.5464000,1.5574000,6949330.00000000,3434352.10000000,-80625.80000000
1733846400000,1.5574000,1.6071000,1.5324000,1.5887000,5903660.20000000,3102961.50000000,302262.80000000
1733850000000,1.5887000,1.5898000,1.4952000,1.5094000,4627069.40000000,2359811.70000000,92554.00000000
1733853600000,1.5096000,1.5504000,1.4970000,1.5352000,2141536.30000000,1143270.80000000,145005.30000000
1733857200000,1.5348000,1.5977000,1.5303000,1.5916000,1921393.10000000,1029375.50000000,137357.90000000
1733860800000,1.5921000,1.6097000,1.5730000,1.5944000,1459156.90000000,779354.20000000,99551.50000000
1733864400000,1.5953000,1.6079000,1.5658000,1.5788000,1271551.50000000,655577.20000000,39602.90000000
1733868000000,1.5795000,1.5987000,1.5693000,1.5722000,635533.50000000,291286.50000000,-52960.50000000
1733871600000,1.5704000,1.5919000,1.5534000,1.5622000,1011272.30000000,493170.30000000,-24931.70000000
1733875200000,1.5624000,1.5751000,1.5321000,1.5580000,964155.80000000,408103.60000000,-147948.60000000
1733878800000,1.5578000,1.5646000,1.5005000,1.5008000,1361550.00000000,603126.70000000,-155296.60000000
1733882400000,1.5015000,1.5547000,1.4970000,1.5400000,1388997.60000000,710653.70000000,32309.80000000
1733886000000,1.5405000,1.5609000,1.5380000,1.5537000,674820.10000000,347412.60000000,20005.10000000
1733889600000,1.5550000,1.5827000,1.5502000,1.5678000,1118210.60000000,532960.80000000,-52289.00000000
1733893200000,1.5683000,1.5925000,1.5582000,1.5773000,1522651.60000000,693644.90000000,-135361.80000000
1733896800000,1.5772000,1.6467000,1.5671000,1.6394000,2756065.40000000,1467208.80000000,178352.20000000
1733900400000,1.6394000,1.6412000,1.5741000,1.5954000,2651144.30000000,1341807.90000000,32471.50000000
1733904000000,1.5964000,1.7000000,1.5954000,1.6518000,2741196.10000000,1373920.70000000,6645.30000000
1733907600000,1.6521000,1.6980000,1.6470000,1.6918000,2474029.20000000,1229540.40000000,-14948.40000000
1733911200000,1.6919000,1.7424000,1.6706000,1.6926000,3800163.90000000,1793736.60000000,-212690.70000000
1733914800000,1.6923000,1.7182000,1.6652000,1.6840000,1731748.00000000,807019.60000000,-117708.80000000
1733918400000,1.6832000,1.7205000,1.6650000,1.6957000,2213352.60000000,1125550.90000000,37749.20000000
1733922000000,1.6965000,1.7078000,1.6602000,1.6817000,2145790.70000000,1019461.90000000,-106866.90000000
1733925600000,1.6817000,1.7441000,1.6636000,1.7416000,1958565.10000000,1106606.80000000,254648.50000000
1733929200000,1.7417000,1.7940000,1.7312000,1.7507000,2810466.80000000,1465471.20000000,120475.60000000
1733932800000,1.7501000,1.7790000,1.7318000,1.7562000,1334250.30000000,585376.30000000,-163497.70000000
1733936400000,1.7560000,1.8010000,1.7558000,1.7876000,1886794.40000000,960847.30000000,34900.20000000
1733940000000,1.7877000,1.8230000,1.7743000,1.8148000,1400763.50000000,762737.20000000,124710.90000000
1733943600000,1.8134000,1.8229000,1.7898000,1.7992000,1247960.20000000,531082.50000000,-185795.20000000
1733947200000,1.7992000,1.8449000,1.7958000,1.8391000,1171580.10000000,664295.70000000,157011.30000000
1733950800000,1.8387000,1.8880000,1.8344000,1.8832000,2281732.90000000,1214016.70000000,146300.50000000
1733954400000,1.8827000,1.9500000,1.8699000,1.9404000,3860562.80000000,2023487.90000000,186413.00000000
1733958000000,1.9388000,1.9606000,1.9070000,1.9109000,3484827.40000000,1662413.60000000,-160000.20000000
1733961600000,1.9116000,1.9328000,1.8959000,1.9133000,2513487.80000000,1245535.00000000,-22417.80000000
1733965200000,1.9132000,1.9307000,1.8185000,1.8523000,5971353.30000000,2931474.60000000,-108404.10000000
1733968800000,1.8521000,1.9040000,1.8495000,1.9023000,3165000.00000000,1680500.90000000,196001.80000000
1733972400000,1.9016000,1.9732000,1.8868000,1.9387000,4227330.20000000,2240482.80000000,253635.40000000
1733976000000,1.9388000,1.9500000,1.8935000,1.9008000,2015237.80000000,902104.20000000,-211029.40000000
1733979600000,1.9018000,1.9176000,1.8838000,1.8846000,1544791.70000000,690873.10000000,-163045.50000000
1733983200000,1.8847000,1.9051000,1.8427000,1.8968000,2227529.30000000,998170.70000000,-231187.90000000
1733986800000,1.8973000,1.9045000,1.8489000,1.8519000,1511001.60000000,675932.40000000,-159136.80000000
1733990400000,1.8522000,1.8649000,1.8335000,1.8573000,1498872.10000000,761002.20000000,23132.30000000
1733994000000,1.8569000,1.8828000,1.8553000,1.8666000,1205764.10000000,569783.00000000,-66198.10000000
1733997600000,1.8668000,1.8700000,1.8340000,1.8669000,1600422.20000000,813281.80000000,26141.40000000
1734001200000,1.8667000,1.9075000,1.8504000,1.9036000,1985503.20000000,987623.90000000,-10255.40000000
1734004800000,1.9039000,1.9450000,1.9000000,1.9170000,2690752.60000000,1295038.50000000,-100675.60000000
1734008400000,1.9173000,1.9795000,1.8908000,1.9144000,3297938.60000000,1607648.10000000,-82642.40000000
1734012000000,1.9147000,1.9387000,1.8714000,1.9134000,2719226.90000000,1382626.30000000,46025.70000000
1734015600000,1.9141000,1.9338000,1.8941000,1.9258000,1670477.50000000,798409.30000000,-73658.90000000
1734019200000,1.9256000,1.9750000,1.9235000,1.9517000,3127159.80000000,1552364.00000000,-22431.80000000
1734022800000,1.9520000,1.9564000,1.8984000,1.9506000,2233374.80000000,1079005.10000000,-75364.60000000
1734026400000,1.9502000,1.9642000,1.9257000,1.9471000,1730520.70000000,789705.10000000,-151110.50000000
1734030000000,1.9472000,2.0286000,1.8822000,1.9358000,7118099.10000000,3557456.80000000,-3185.50000000
1734033600000,1.9363000,2.0318000,1.9326000,2.0058000,3278245.30000000,1634893.50000000,-8458.30000000
1734037200000,2.0062000,2.0137000,1.9645000,1.9970000,3304059.80000000,1520109.50000000,-263840.80000000
1734040800000,1.9965000,2.0995000,1.9948000,2.0697000,4161098.70000000,2098083.90000000,35069.10000000
1734044400000,2.0698000,2.1815000,2.0609000,2.1771000,4415862.50000000,2310154.20000000,204445.90000000
1734048000000,2.1777000,2.2168000,2.1419000,2.1626000,5972177.10000000,2932512.10000000,-107152.90000000
1734051600000,2.1624000,2.1629000,2.1028000,2.1411000,4311489.20000000,2122374.60000000,-66740.00000000
1734055200000,2.1414000,2.2016000,2.1255000,2.1798000,3687609.10000000,1971975.20000000,256341.30000000
1734058800000,2.1796000,2.2562000,2.1757000,2.2285000,5569267.60000000,2895028.40000000,220789.20000000
