open_time,open,high,low,close,volume,taker_buy,delta
1705586400000,0.4475000,0.4484000,0.3933000,0.3984000,15148877.30000000,6804902.60000000,-1539072.10000000
1705590000000,0.3984000,0.4386000,0.3796000,0.4291000,25000758.50000000,13054014.20000000,1107269.90000000
1705593600000,0.4292000,0.4328000,0.3834000,0.4028000,19833383.30000000,9313179.50000000,-1207024.30000000
1705597200000,0.4028000,0.4148000,0.3716000,0.3783000,26437412.90000000,12621264.90000000,-1194883.10000000
1705600800000,0.3780000,0.3921000,0.3704000,0.3895000,15925144.50000000,7568691.90000000,-787760.70000000
1705604400000,0.3897000,0.3901000,0.3724000,0.3821000,12122356.90000000,5799186.10000000,-523984.70000000
1705608000000,0.3823000,0.3890000,0.3641000,0.3818000,14583265.10000000,6958262.90000000,-666739.30000000
1705611600000,0.3817000,0.4098000,0.3748000,0.3947000,9922902.50000000,4767698.80000000,-387504.90000000
1705615200000,0.3946000,0.4055000,0.3757000,0.3788000,7431654.30000000,3092910.40000000,-1245833.50000000
1705618800000,0.3789000,0.3843000,0.3511000,0.3616000,13089624.80000000,6092764.40000000,-904096.00000000
1705622400000,0.3617000,0.3829000,0.3530000,0.3777000,10255648.50000000,4999412.50000000,-256823.50000000
1705626000000,0.3776000,0.3844000,0.3601000,0.3690000,9357371.40000000,3968520.40000000,-1420330.60000000
1705629600000,0.3689000,0.3738000,0.3410000,0.3519000,9814347.80000000,4192139.40000000,-1430069.00000000
1705633200000,0.3520000,0.3613000,0.3400000,0.3577000,11717960.50000000,5757375.60000000,-203209.30000000
1705636800000,0.3576000,0.3645000,0.3541000,0.3600000,6374903.50000000,2983156.70000000,-408590.10000000
1705640400000,0.3598000,0.3651000,0.3556000,0.3630000,4308261.70000000,2352686.90000000,397112.10000000
1705644000000,0.3632000,0.3705000,0.3560000,0.3691000,6144184.80000000,3350405.00000000,556625.20000000
1705647600000,0.3689000,0.3691000,0.3540000,0.3564000,9020482.80000000,4613129.00000000,205775.20000000
1705651200000,0.3563000,0.3647000,0.3501000,0.3631000,6700994.20000000,3247293.20000000,-206407.80000000
1705654800000,0.3631000,0.3719000,0.3589000,0.3704000,6440021.40000000,3328978.20000000,217935.00000000
1705658400000,0.3704000,0.3747000,0.3639000,0.3722000,5762464.30000000,2682779.20000000,-396905.90000000
1705662000000,0.3722000,0.3897000,0.3715000,0.3858000,9790785.00000000,4878591.30000000,-33602.40000000
1705665600000,0.3860000,0.3868000,0.3687000,0.3762000,10299231.00000000,4684965.90000000,-929299.20000000
1705669200000,0.3761000,0.3814000,0.3655000,0.3769000,8847600.50000000,4142238.50000000,-563123.50000000
1705672800000,0.3769000,0.3770000,0.3594000,0.3664000,7769157.70000000,3374161.70000000,-1020834.30000000
1705676400000,0.3664000,0.3744000,0.3601000,0.3611000,6819809.90000000,2881677.60000000,-1056454.70000000
1705680000000,0.3612000,0.3639000,0.3220000,0.3314000,21505760.60000000,9257484.40000000,-2990791.80000000
1705683600000,0.3310000,0.3590000,0.3248000,0.3563000,9930203.90000000,5486243.10000000,1042282.30000000
1705687200000,0.3564000,0.3887000,0.3514000,0.3853000,10107934.90000000,4982235.70000000,-143463.50000000
1705690800000,0.3853000,0.4067000,0.3813000,0.4048000,12251029.40000000,5889488.30000000,-472052.80000000
1705694400000,0.4046000,0.4096000,0.3903000,0.4007000,11924280.30000000,5542435.60000000,-839409.10000000
1705698000000,0.4007000,0.4174000,0.3957000,0.4097000,8524452.20000000,4367072.50000000,209692.80000000
1705701600000,0.4097000,0.4160000,0.3981000,0.4085000,5250556.40000000,2725956.70000000,201357.00000000
1705705200000,0.4084000,0.4104000,0.3937000,0.4004000,6212454.00000000,2914001.40000000,-384451.20000000
1705708800000,0.4004000,0.4100000,0.3907000,0.3920000,9541848.30000000,4957685.40000000,373522.50000000
1705712400000,0.3921000,0.4026000,0.3908000,0.3994000,2779063.00000000,1324981.20000000,-129100.60000000
1705716000000,0.3995000,0.4005000,0.3786000,0.3796000,3695029.50000000,1482592.60000000,-729844.30000000
1705719600000,0.3795000,0.3835000,0.3756000,0.3790000,2693366.70000000,1259875.90000000,-173614.90000000
1705723200000,0.3790000,0.3801000,0.3693000,0.3723000,2084188.00000000,771684.00000000,-540820.00000000
1705726800000,0.3723000,0.3761000,0.3663000,0.3676000,3394848.40000000,1602427.90000000,-189992.60000000
1705730400000,0.3676000,0.3723000,0.3617000,0.3649000,2452650.50000000,1163272.10000000,-126106.30000000
1705734000000,0.3650000,0.3668000,0.3601000,0.3613000,1743727.30000000,884942.40000000,26157.50000000
1705737600000,0.3614000,0.3626000,0.3475000,0.3493000,6553635.10000000,2585458.30000000,-1382718.50000000
