open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,0.09299,0.09320,0.09298,0.09314,5488332.00000000,2802616.00000000,116900.00000000
1675512000000,0.09314,0.09344,0.09308,0.09341,6674184.00000000,3769470.00000000,864756.00000000
1675515600000,0.09341,0.09400,0.09341,0.09390,13533662.00000000,8264532.00000000,2995402.00000000
1675519200000,0.09390,0.09397,0.09352,0.09370,11289436.00000000,6782441.00000000,2275446.00000000
1675522800000,0.09370,0.09374,0.09324,0.09361,6489593.00000000,3531196.00000000,572799.00000000
1675526400000,0.09360,0.09361,0.09302,0.09334,6625952.00000000,2829970.00000000,-966012.00000000
1675530000000,0.09334,0.09393,0.09319,0.09389,7619031.00000000,4038575.00000000,458119.00000000
1675533600000,0.09388,0.09395,0.09328,0.09379,7685700.00000000,3635603.00000000,-414494.00000000
1675537200000,0.09379,0.09389,0.09365,0.09381,4490371.00000000,2307427.00000000,124483.00000000
1675540800000,0.09381,0.09392,0.09355,0.09384,5445767.00000000,2803530.00000000,161293.00000000
1675544400000,0.09384,0.09404,0.09369,0.09390,5624027.00000000,3032208.00000000,440389.00000000
1675548000000,0.09389,0.09404,0.09381,0.09396,6710038.00000000,3244949.00000000,-220140.00000000
1675551600000,0.09395,0.09395,0.09254,0.09294,14381960.00000000,6457051.00000000,-1467858.00000000
1675555200000,0.09292,0.09299,0.09228,0.09264,11763930.00000000,5526268.00000000,-711394.00000000
1675558800000,0.09264,0.09281,0.09248,0.09274,5335591.00000000,2573106.00000000,-189379.00000000
1675562400000,0.09275,0.09294,0.09251,0.09255,4833895.00000000,2778282.00000000,722669.00000000
1675566000000,0.09253,0.09279,0.09250,0.09279,5428589.00000000,2354910.00000000,-718769.00000000
1675569600000,0.09279,0.09301,0.09265,0.09301,4016911.00000000,2161399.00000000,305887.00000000
1675573200000,0.09300,0.09303,0.09283,0.09292,4181124.00000000,2804179.00000000,1427234.00000000
1675576800000,0.09293,0.09311,0.09282,0.09307,6931547.00000000,3887376.00000000,843205.00000000
1675580400000,0.09307,0.09309,0.09283,0.09300,4929820.00000000,2102605.00000000,-724610.00000000
1675584000000,0.09302,0.09310,0.09282,0.09304,4937452.00000000,2548626.00000000,159800.00000000
1675587600000,0.09303,0.09329,0.09302,0.09314,5127167.00000000,2953993.00000000,780819.00000000
1675591200000,0.09315,0.09371,0.09313,0.09360,8681136.00000000,4916382.00000000,1151628.00000000
1675594800000,0.09360,0.09386,0.09321,0.09342,10403292.00000000,5015028.00000000,-373236.00000000
1675598400000,0.09342,0.09378,0.09007,0.09130,36939951.00000000,14855396.00000000,-7229159.00000000
1675602000000,0.09132,0.09192,0.09063,0.09177,29984789.00000000,14079697.00000000,-1825395.00000000
1675605600000,0.09177,0.09215,0.09158,0.09201,12346625.00000000,4696520.00000000,-2953585.00000000
1675609200000,0.09201,0.09213,0.09100,0.09122,14211499.00000000,6790666.00000000,-630167.00000000
1675612800000,0.09122,0.09169,0.09084,0.09105,15090365.00000000,8039325.00000000,988285.00000000
1675616400000,0.09108,0.09138,0.09029,0.09062,27438052.00000000,14740967.00000000,2043882.00000000
1675620000000,0.09062,0.09100,0.09038,0.09044,10560651.00000000,5316606.00000000,72561.00000000
1675623600000,0.09045,0.09093,0.09007,0.09080,12429267.00000000,5450577.00000000,-1528113.00000000
1675627200000,0.09080,0.09091,0.09021,0.09033,9749059.00000000,4171164.00000000,-1406731.00000000
1675630800000,0.09032,0.09037,0.08948,0.09008,34017222.00000000,17400537.00000000,783852.00000000
1675634400000,0.09008,0.09104,0.09003,0.09086,11663801.00000000,4289257.00000000,-3085287.00000000
1675638000000,0.09086,0.09113,0.09077,0.09087,10124677.00000000,4862714.00000000,-399249.00000000
1675641600000,0.09088,0.09140,0.09077,0.09125,13538485.00000000,5739337.00000000,-2059811.00000000
1675645200000,0.09127,0.09143,0.09086,0.09092,7196614.00000000,3764376.00000000,332138.00000000
1675648800000,0.09093,0.09113,0.08996,0.09000,9222891.00000000,4472700.00000000,-277491.00000000
1675652400000,0.09001,0.09041,0.08978,0.09017,8701404.00000000,4712272.00000000,723140.00000000
1675656000000,0.09017,0.09046,0.09007,0.09014,4793748.00000000,2221167.00000000,-351414.00000000
1675659600000,0.09013,0.09030,0.08909,0.08994,14787582.00000000,6405940.00000000,-1975702.00000000
