open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,0.4100,0.4111,0.4099,0.4110,14774833.70000000,6644833.40000000,-1485166.90000000
1675512000000,0.4109,0.4124,0.4106,0.4116,29430817.70000000,14851883.00000000,272948.30000000
1675515600000,0.4117,0.4136,0.4116,0.4129,49650882.60000000,24973941.40000000,297000.20000000
1675519200000,0.4129,0.4130,0.4109,0.4121,27505132.90000000,12274696.20000000,-2955740.50000000
1675522800000,0.4120,0.4132,0.4115,0.4131,29573736.40000000,14220956.50000000,-1131823.40000000
1675526400000,0.4131,0.4134,0.4108,0.4124,30819035.30000000,14460422.70000000,-1898189.90000000
1675530000000,0.4125,0.4163,0.4116,0.4151,57437759.80000000,32793465.60000000,8149171.40000001
1675533600000,0.4151,0.4207,0.4134,0.4141,111890496.80000000,56949805.20000000,2009113.60000001
1675537200000,0.4141,0.4168,0.4136,0.4166,31567676.10000000,15600134.90000000,-367406.30000000
1675540800000,0.4165,0.4169,0.4137,0.4155,27857486.30000000,12755517.00000000,-2346452.30000000
1675544400000,0.4155,0.4161,0.4139,0.4140,17565292.70000000,7050339.50000000,-3464613.70000000
1675548000000,0.4141,0.4158,0.4138,0.4144,14331162.20000000,7306813.60000000,282465.00000000
1675551600000,0.4143,0.4155,0.4072,0.4106,83830439.40000001,31015066.10000000,-21800307.20000000
1675555200000,0.4106,0.4120,0.4081,0.4092,59646850.40000000,27573407.50000000,-4500035.40000000
1675558800000,0.4093,0.4104,0.4084,0.4090,28381084.10000000,13410203.60000000,-1560676.90000000
1675562400000,0.4091,0.4104,0.4086,0.4087,19746480.50000000,9257300.30000000,-1231879.90000000
1675566000000,0.4087,0.4097,0.4072,0.4087,35429229.40000000,16226314.80000000,-2976599.80000000
1675569600000,0.4088,0.4098,0.4082,0.4097,18164666.90000000,9361123.00000000,557579.10000000
1675573200000,0.4096,0.4098,0.4089,0.4092,19004012.50000000,7619522.50000000,-3764967.50000000
1675576800000,0.4092,0.4104,0.4088,0.4102,22097645.90000000,10052265.00000000,-1993115.90000000
1675580400000,0.4102,0.4105,0.4092,0.4099,20778025.90000000,8320774.30000000,-4136477.30000000
1675584000000,0.4100,0.4116,0.4095,0.4110,28901592.20000000,14564413.60000000,227235.00000000
1675587600000,0.4110,0.4115,0.4092,0.4098,24289677.40000000,10963147.50000000,-2363382.40000000
1675591200000,0.4098,0.4106,0.4096,0.4102,14922026.70000000,6037865.30000000,-2846296.10000000
1675594800000,0.4103,0.4106,0.4089,0.4092,24914244.00000000,10565552.60000000,-3783138.80000000
1675598400000,0.4091,0.4100,0.3985,0.4015,148123030.59999999,62761099.00000000,-22600832.59999999
1675602000000,0.4014,0.4049,0.4003,0.4034,83637488.20000000,38151008.30000000,-7335471.60000001
1675605600000,0.4035,0.4047,0.4026,0.4029,40496413.90000000,18889879.00000000,-2716655.90000000
1675609200000,0.4029,0.4037,0.3978,0.4000,126427407.50000000,60578054.30000000,-5271298.90000001
1675612800000,0.3999,0.4012,0.3969,0.3987,87435917.00000000,41779740.00000000,-3876437.00000000
1675616400000,0.3988,0.3994,0.3943,0.3966,103187721.09999999,51323378.00000000,-540965.09999999
1675620000000,0.3966,0.3983,0.3933,0.3960,54882161.20000000,25047553.10000000,-4787055.00000000
1675623600000,0.3959,0.3982,0.3949,0.3977,46209701.20000000,23436242.50000000,662783.80000000
1675627200000,0.3977,0.3987,0.3970,0.3979,27695723.20000000,14002847.50000000,309971.80000000
1675630800000,0.3979,0.3982,0.3956,0.3975,37838433.30000000,18705055.30000000,-428322.70000000
1675634400000,0.3975,0.3996,0.3965,0.3986,30652848.90000000,13535751.90000000,-3581345.10000000
1675638000000,0.3986,0.3993,0.3976,0.3983,33143976.40000000,15659824.40000000,-1824327.60000000
1675641600000,0.3983,0.4026,0.3977,0.4023,47587121.00000000,25851485.50000000,4115850.00000000
1675645200000,0.4023,0.4031,0.3994,0.3996,38542825.10000000,17351396.10000000,-3840032.90000000
1675648800000,0.3995,0.4007,0.3965,0.3967,32532734.70000000,15587542.90000000,-1357648.90000000
1675652400000,0.3968,0.3983,0.3961,0.3980,32993296.10000000,18465824.50000000,3938352.90000000
1675656000000,0.3980,0.4010,0.3978,0.3995,41222086.80000000,22452874.90000000,3683663.00000000
1675659600000,0.3995,0.3999,0.3932,0.3982,80462926.30000000,39004340.20000000,-2454245.89999999
1675663200000,0.3983,0.4005,0.3976,0.3994,41590824.00000000,21486880.70000000,1382937.40000000
1675666800000,0.3993,0.4004,0.3979,0.3981,31395417.70000000,15438248.00000000,-518921.70000000
1675670400000,0.3980,0.3999,0.3976,0.3980,42747765.60000000,21890390.80000000,1033016.00000000
1675674000000,0.3981,0.3982,0.3964,0.3968,38663458.90000000,20439882.00000000,2216305.10000000
1675677600000,0.3968,0.3981,0.3961,0.3969,31016967.80000000,16232747.30000000,1448526.80000000
1675681200000,0.3968,0.3979,0.3950,0.3975,53774729.20000000,27005973.50000000,237217.80000000
1675684800000,0.3975,0.3985,0.3964,0.3973,43200353.30000000,22506268.40000000,1812183.50000000
1675688400000,0.3973,0.3990,0.3962,0.3965,44865069.60000000,22101216.50000000,-662636.60000000
1675692000000,0.3965,0.3990,0.3965,0.3977,59178243.50000000,30503743.30000000,1829243.10000000
1675695600000,0.3977,0.4005,0.3964,0.4004,51716956.70000000,27260737.50000000,2804518.30000000
1675699200000,0.4004,0.4010,0.3984,0.3992,63719619.50000000,29970008.30000000,-3779602.90000000
1675702800000,0.3993,0.4012,0.3987,0.4011,29170639.10000000,15617666.50000000,2064693.90000000
1675706400000,0.4011,0.4029,0.4002,0.4024,34994541.10000000,18925414.80000000,2856288.50000000
1675710000000,0.4024,0.4036,0.4017,0.4025,31009490.10000000,16912403.50000000,2815316.90000000
1675713600000,0.4025,0.4032,0.4014,0.4025,28371503.60000000,12905380.70000000,-2560742.20000000
1675717200000,0.4025,0.4026,0.3967,0.3972,67825713.30000000,27888763.60000000,-12048186.09999999
1675720800000,0.3971,0.3974,0.3953,0.3964,34952252.80000000,16568392.80000000,-1815467.20000000
1675724400000,0.3964,0.3967,0.3906,0.3920,128264874.80000000,57882472.50000000,-12499929.80000000
1675728000000,0.3919,0.3932,0.3912,0.3917,56393906.30000000,30146483.20000000,3899060.10000000
1675731600000,0.3918,0.3929,0.3899,0.3908,57197783.60000000,27394335.10000000,-2409113.40000000
1675735200000,0.3907,0.3951,0.3901,0.3949,50163848.20000000,26091402.50000000,2018956.80000000
1675738800000,0.3950,0.3951,0.3926,0.3931,30755450.90000000,14770408.70000000,-1214633.50000000
1675742400000,0.3931,0.3949,0.3925,0.3946,29436611.40000000,15943859.10000000,2451106.80000000
