open_time,open,high,low,close,volume,taker_buy,delta
1675508400000,46.58,47.02,46.52,46.89,24671.89500000,13119.10300000,1566.31100000
1675512000000,46.89,47.06,46.84,47.06,15805.26500000,7639.92200000,-525.42100000
1675515600000,47.05,47.39,46.99,47.20,53662.94800000,22902.85900000,-7857.23000000
1675519200000,47.20,47.21,46.90,47.10,28306.96500000,13027.24500000,-2252.47500000
1675522800000,47.09,47.21,46.89,46.99,17482.26900000,7403.52500000,-2675.21900000
1675526400000,46.98,47.15,46.82,46.99,23739.31800000,11494.91900000,-749.48000000
1675530000000,47.00,47.27,46.93,47.21,26856.42600000,11644.24500000,-3567.93600000
1675533600000,47.19,47.39,47.03,47.28,28803.18000000,13065.35700000,-2672.46600000
1675537200000,47.27,47.46,47.21,47.23,18101.22700000,8042.79200000,-2015.64300000
1675540800000,47.22,47.36,47.11,47.11,11608.05800000,5375.24700000,-857.56400000
1675544400000,47.10,47.26,47.05,47.12,11003.30500000,5441.39200000,-120.52100000
1675548000000,47.11,47.25,47.05,47.06,10215.58700000,5541.36600000,867.14500000
1675551600000,47.07,47.17,46.37,46.60,33492.27700000,15495.37800000,-2501.52100000
1675555200000,46.60,46.79,46.03,46.19,36267.18500000,13746.62100000,-8773.94300000
1675558800000,46.20,46.30,46.03,46.24,24153.54600000,12302.92200000,452.29800000
1675562400000,46.23,46.28,46.03,46.04,15178.79900000,7673.07700000,167.35500000
1675566000000,46.04,46.26,45.93,46.18,16703.72200000,7671.45600000,-1360.81000000
1675569600000,46.19,46.42,46.12,46.38,13754.55800000,7685.38300000,1616.20800000
1675573200000,46.38,46.47,46.26,46.28,13363.98500000,5477.92600000,-2408.13300000
1675576800000,46.28,46.53,46.16,46.40,17356.57700000,9679.81100000,2003.04500000
1675580400000,46.40,46.41,46.23,46.28,9290.34300000,3853.13300000,-1584.07700000
1675584000000,46.29,46.55,46.20,46.48,23370.78300000,13124.52000000,2878.25700000
1675587600000,46.47,46.50,46.08,46.11,19933.47500000,7730.96200000,-4471.55100000
1675591200000,46.11,46.25,46.07,46.21,14289.66900000,8548.30700000,2806.94500000
1675594800000,46.20,46.36,45.80,45.89,50093.96200000,22382.73700000,-5328.48800000
1675598400000,45.89,45.91,43.43,44.55,118566.30000000,50765.19900000,-17035.90200000
1675602000000,44.55,45.00,44.11,44.80,87648.09000000,44083.07200000,518.05400000
1675605600000,44.80,44.91,44.54,44.79,41830.29700000,21871.70500000,1913.11300000
1675609200000,44.79,44.91,44.12,44.30,42774.20300000,19674.55700000,-3425.08900000
1675612800000,44.30,44.51,43.88,44.09,41379.62700000,19170.89000000,-3037.84700000
1675616400000,44.09,44.25,43.65,43.89,53668.00800000,26883.48200000,98.95600000
1675620000000,43.87,44.10,43.72,43.73,30422.59000000,13926.35800000,-2569.87400000
1675623600000,43.74,44.02,43.61,43.93,36141.82200000,19768.48900000,3395.15600000
1675627200000,43.93,44.07,43.73,43.88,22480.08200000,10705.55000000,-1068.98200000
1675630800000,43.89,44.09,43.49,43.98,38111.42500000,19379.70700000,647.98900000
1675634400000,43.97,44.32,43.78,44.14,22171.04200000,10347.71300000,-1475.61600000
1675638000000,44.14,44.34,44.09,44.22,17998.85800000,8969.05700000,-60.74400000
1675641600000,44.23,44.73,44.20,44.61,32840.40600000,16292.94300000,-254.52000000
1675645200000,44.62,44.78,44.33,44.36,19621.39500000,8261.32100000,-3098.75300000
1675648800000,44.37,44.47,43.87,43.89,22821.52100000,10911.50100000,-998.51900000
1675652400000,43.88,44.07,43.71,43.79,24351.43700000,11256.55700000,-1838.32300000
1675656000000,43.80,44.07,43.74,43.76,16995.62200000,8230.34800000,-534.92600000
1675659600000,43.75,43.92,42.40,43.49,112030.15900000,46176.60300000,-19676.95300000
1675663200000,43.49,43.68,43.26,43.61,33451.78400000,18084.15600000,2716.52800000
1675666800000,43.62,44.04,43.45,44.00,25629.67000000,13575.58200000,1521.49400000
1675670400000,44.00,44.10,43.69,43.78,30947.43200000,14012.37000000,-2922.69200000
1675674000000,43.79,43.91,43.56,43.70,18421.45700000,8460.01200000,-1501.43300000
1675677600000,43.70,43.88,43.53,43.65,17260.56400000,7704.28000000,-1852.00400000
1675681200000,43.66,43.85,43.35,43.78,21822.32600000,10650.03700000,-522.25200000
1675684800000,43.78,44.02,43.57,43.90,22137.08300000,9639.11900000,-2858.84500000
1675688400000,43.91,44.15,43.80,43.87,20463.53400000,8221.31800000,-4020.89800000
1675692000000,43.87,44.22,43.74,44.07,30434.59200000,13729.72100000,-2975.15000000
1675695600000,44.07,44.36,43.64,44.35,32522.77600000,15593.75900000,-1335.25800000
1675699200000,44.35,44.62,44.12,44.28,49801.66400000,24919.96000000,38.25600000
1675702800000,44.28,44.81,44.22,44.59,28075.28200000,14229.12500000,382.96800000
1675706400000,44.60,44.67,44.18,44.40,29530.78700000,13740.35400000,-2050.07900000
1675710000000,44.40,44.50,44.20,44.46,27482.42600000,11496.77600000,-4488.87400000
1675713600000,44.46,44.51,44.30,44.45,17845.33800000,9904.03600000,1962.73400000
1675717200000,44.45,44.46,43.79,43.92,21607.31400000,8040.48500000,-5526.34400000
1675720800000,43.93,44.02,43.74,43.82,21082.57400000,11553.88400000,2025.19400000
